CW, Biomass , hydro , wind offshore , wind onshore , solar , other renewable , nuclear , brown coal , hard coal , fossil gas , hydrop pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , new exp MWh 
1," 1,001.91 ", 297.65 , 121.47 ," 4,678.80 ", 111.42 , 28.98 ," 2,483.35 "," 3,016.35 ", 713.15 , 290.11 , 262.40 ," 1,466.02 "," 12,496.88 "," 7,585.48 ", 270.30 ," 7,968.97 "," 6,502.62 "," 2,441.22 "
2," 1,003.26 ", 399.33 , 96.12 ," 3,857.14 ", 197.07 , 33.10 ," 2,775.44 "," 3,721.42 "," 1,686.83 ", 380.24 , 281.47 ," 1,883.90 "," 14,945.02 "," 10,794.98 ", 221.40 ," 10,447.82 "," 5,867.49 "," 2,125.76 "
3," 1,012.62 ", 420.65 , 109.25 ," 4,565.56 ", 239.04 , 31.99 ," 2,746.91 "," 3,685.50 "," 1,763.59 ", 340.21 , 280.76 ," 1,069.79 "," 15,436.87 "," 10,523.30 ", 221.17 ," 9,606.01 "," 6,659.86 "," 1,982.31 "
4," 1,013.84 ", 413.77 , 39.96 , 679.89 , 173.88 , 34.82 ," 2,838.41 "," 4,655.42 "," 2,935.65 ", 743.47 , 317.22 ," 2,310.58 "," 15,730.58 "," 14,837.17 ", 207.64 ," 13,483.52 "," 2,673.38 "," 1,254.32 "
5," 1,015.02 ", 366.54 , 93.03 ," 2,406.59 ", 175.32 , 33.87 ," 2,780.51 "," 4,205.30 "," 2,814.30 ", 504.11 , 292.10 ," 2,179.75 "," 15,708.90 "," 13,034.28 ", 196.46 ," 12,483.97 "," 4,382.45 "," 2,175.46 "
6," 1,018.02 ", 343.35 , 68.20 ," 1,449.04 ", 337.32 , 35.18 ," 2,830.24 "," 4,353.62 "," 3,028.73 ", 744.41 , 278.62 ," 2,253.83 "," 15,931.81 "," 14,077.59 ", 183.28 ," 13,210.84 "," 3,529.72 "," 1,742.43 "
7," 1,011.58 ", 317.52 , 95.28 ," 1,711.57 ", 434.46 , 33.86 ," 2,790.63 "," 4,142.92 "," 2,990.91 ", 647.35 , 284.27 ," 2,223.93 "," 15,736.20 "," 13,495.17 ", 204.76 ," 12,795.74 "," 3,888.54 "," 1,839.79 "
8, 996.25 , 309.71 , 125.94 ," 2,038.76 ", 587.10 , 30.63 ," 2,781.32 "," 4,031.80 "," 2,983.19 ", 546.98 , 272.90 ," 2,093.76 "," 15,497.13 "," 12,745.64 ", 209.97 ," 12,437.05 "," 4,361.29 "," 2,225.57 "
9, 994.40 , 318.81 , 131.83 ," 2,041.77 ", 681.53 , 25.73 ," 2,757.23 "," 4,212.86 "," 2,734.16 ", 465.57 , 289.77 ," 2,083.50 "," 15,477.45 "," 12,622.65 ", 196.01 ," 12,253.32 "," 4,483.84 "," 2,182.05 "
10, 998.28 , 355.04 , 179.33 ," 3,315.65 ", 777.87 , 26.25 ," 2,696.88 "," 4,277.86 "," 2,135.73 ", 433.67 , 312.49 ," 1,812.37 "," 15,323.47 "," 11,050.90 ", 225.26 ," 11,356.51 "," 5,964.91 "," 2,238.08 "
11, 986.52 , 330.19 , 129.82 ," 1,251.73 "," 1,036.77 ", 20.07 ," 2,485.64 "," 4,275.23 "," 2,900.05 ", 438.67 , 274.37 ," 2,067.95 "," 14,955.60 "," 12,537.58 ", 188.50 ," 12,167.54 "," 4,029.47 "," 2,051.26 "
