Date;Biomass;Hydro;Wind Offshore;Wind Onshore;Solar;Other renewable;Nuclear;Brown coal;Hard coal;Fossil Gas;Hydro pumped storage;Other Conventional;Total grid load;Residual load;Reverse hydro pumped;Sum conventional;Sum renewable;CW;Season;Net exp MWh
01.01.2015;1004;286;130;3113;178;23;2620;3277;633;248;247;1397;11426;8005;270;8175;4980;1;1;2569
02.01.2015;1003;282;108;6163;81;30;2276;2681;871;312;266;1550;13426;7075;284;7689;7933;1;1;2555
03.01.2015;999;324;126;4761;75;34;2555;3091;636;310;274;1451;12639;7676;257;8043;6595;1;1;2200
04.01.2015;1009;440;120;3948;208;34;2621;2999;492;224;276;1380;12270;7993;255;7717;6036;2;1;2200
05.01.2015;1005;397;81;2288;276;34;2782;4221;1844;366;268;2165;14854;12209;268;11379;4349;2;1;2200
06.01.2015;985;377;72;1070;343;34;2852;4413;2700;447;203;2265;14947;13463;232;12676;3083;2;1;1656
07.01.2015;997;370;112;2194;178;34;2861;4506;2701;587;279;2348;16134;13651;156;13004;4164;2;1;2088
08.01.2015;999;373;129;4381;90;31;2835;4156;2332;403;320;1975;16390;11792;217;11700;6323;2;1;2212
09.01.2015;1013;380;92;6618;71;31;2761;3459;1251;412;339;1600;16165;9384;193;9483;8545;2;1;2356
10.01.2015;1015;459;68;6501;213;34;2716;2296;488;223;284;1453;13856;7074;228;7176;8573;2;1;2168
11.01.2015;1011;449;100;6463;206;34;2553;1924;414;190;227;1434;12972;6204;248;6516;8490;3;1;2253
12.01.2015;1019;438;122;6479;115;33;2719;3332;1214;352;263;254;16377;9662;234;7871;8468;3;1;1868
13.01.2015;1013;417;93;5302;524;22;2780;3637;1729;395;286;240;16227;10308;176;8782;7658;3;1;2282
14.01.2015;1007;408;94;4167;189;31;2810;4145;2263;366;299;258;16190;11741;222;9841;6195;3;1;2019
15.01.2015;1013;413;128;5591;179;35;2751;3966;1819;381;304;1519;16467;10569;246;10435;7663;3;1;2116
16.01.2015;1009;408;108;2678;238;34;2801;4306;2520;382;297;2089;15980;12956;196;12098;4773;3;1;1533
17.01.2015;1016;412;120;1279;223;34;2815;4488;2386;316;290;1694;13844;12222;227;11699;3373;3;1;1806
18.01.2015;1020;402;55;1315;326;35;2768;4427;2121;371;254;1576;12949;11254;238;11262;3407;4;1;2225
19.01.2015;1011;407;5;343;247;35;2845;4729;2881;824;305;2521;16250;15655;173;13799;2352;4;1;751
20.01.2015;1016;429;13;166;112;34;2852;4889;2997;976;369;2694;16620;16328;199;14408;2141;4;1;670
21.01.2015;1018;438;24;471;230;35;2854;4741;3123;959;309;2616;16608;15882;217;14293;2526;4;1;1122
22.01.2015;1015;425;14;657;126;35;2856;4594;3340;910;376;2566;16729;15932;219;14267;2647;4;1;1116
23.01.2015;1007;411;46;328;73;35;2856;4616;3438;768;367;2453;16461;16014;207;14131;2267;4;1;930
24.01.2015;1010;384;122;1480;102;35;2838;4591;2651;397;240;1748;14499;12794;202;12225;3374;4;1;1967
25.01.2015;1017;347;90;1122;121;33;2782;4486;2337;356;243;1696;13178;11846;188;11657;2973;5;1;2216
26.01.2015;1022;344;150;2134;110;35;2841;4341;3170;599;303;2442;16469;14074;171;13393;4098;5;1;2184
27.01.2015;1021;364;116;2777;183;33;2843;4112;3056;525;271;2501;16586;13510;189;13036;4765;5;1;2304
28.01.2015;1014;365;143;4293;173;34;2825;3911;2720;515;266;2064;16807;12198;192;12034;6288;5;1;2699
29.01.2015;1012;371;114;4228;289;32;2817;3765;2468;489;368;2113;16631;12000;234;11652;6415;5;1;2177
30.01.2015;1011;395;17;925;140;35;2760;4498;3184;606;341;2462;16280;15198;227;13510;2863;5;1;1520
31.01.2015;1008;380;21;1368;211;35;2596;4325;2766;439;253;1981;14012;12413;175;12106;3274;5;1;2129
01.02.2015;1026;338;63;1188;257;36;2830;4398;2125;414;214;1625;13025;11517;211;11391;3122;6;1;2066
02.02.2015;1026;334;85;1977;211;36;2845;4560;3069;625;299;2429;16589;14316;174;13527;3967;6;1;2090
03.02.2015;1024;350;79;977;287;35;2833;4507;3443;942;261;2521;16885;15542;191;14246;3014;6;1;1400
04.02.2015;1020;364;29;405;333;35;2850;4359;3639;1101;251;2585;16941;16174;174;14533;2437;6;1;1088
05.02.2015;1011;352;58;1176;303;36;2839;4365;3535;912;325;2553;16912;15375;166;14205;3262;6;1;1487
06.02.2015;1009;337;18;1800;483;36;2838;4429;3335;654;314;2398;16639;14338;178;13653;3997;6;1;1854
07.02.2015;1011;328;145;2619;488;33;2778;3858;2056;563;286;1665;14533;11282;190;10921;4909;6;1;2212
08.02.2015;1015;309;166;4127;546;29;2542;3186;1135;484;240;1527;13345;8505;303;8874;6432;7;1;2356
09.02.2015;1006;299;180;3869;157;33;2817;3920;2489;635;285;2225;16624;12419;223;12086;5828;7;1;2180
10.02.2015;1017;320;111;1491;251;35;2834;4420;3365;762;233;2451;16664;14812;166;13833;3458;7;1;1581
11.02.2015;1013;322;8;274;292;34;2841;4437;3789;882;302;2555;16611;16038;150;14503;2244;7;1;1075
12.02.2015;1010;328;9;238;423;36;2841;4454;3872;717;364;2501;16596;15927;169;14386;2407;7;1;1211
13.02.2015;1009;335;84;872;672;35;2836;4430;3537;592;296;2438;16276;14647;151;13833;3304;7;1;2003
14.02.2015;1011;309;109;1110;700;35;2823;4152;2749;460;271;1871;14038;12119;271;12056;3546;7;1;2471
15.02.2015;1004;286;182;1895;635;30;2803;3959;1897;403;183;1547;12942;10230;240;10609;4214;8;1;2627
16.02.2015;998;288;135;2045;634;29;2774;4022;3179;554;235;2221;15753;12940;208;12751;4363;8;1;2339
17.02.2015;1000;315;48;655;420;32;2815;4363;3590;679;363;2505;16469;15346;178;13952;2832;8;1;1452
18.02.2015;995;338;159;1175;418;34;2763;4403;3672;640;269;2428;16557;14805;195;13906;3388;8;1;1984
19.02.2015;990;340;185;2310;656;34;2810;4215;3342;617;315;2330;16625;13475;194;13315;4830;8;1;2515
20.02.2015;993;310;129;3335;831;31;2771;3970;2881;576;226;1903;16220;11926;235;12100;5855;8;1;2474
21.02.2015;994;291;43;2856;517;25;2733;3290;2322;359;320;1722;13914;10497;219;10426;5047;8;1;2188
22.02.2015;996;292;151;1409;543;25;2727;3786;2034;351;244;1739;12905;10803;177;10637;3660;9;1;2256
23.02.2015;995;298;177;3698;292;26;2728;3751;2643;559;335;2067;16373;12206;206;11749;5821;9;1;2115
24.02.2015;995;335;190;3145;529;25;2768;4155;2954;456;266;2126;16507;12643;233;12459;5485;9;1;2375
25.02.2015;997;329;80;1116;753;25;2779;4370;3154;565;268;2493;16286;14337;195;13361;3569;9;1;1686
26.02.2015;994;328;104;1654;1107;26;2783;4492;3161;462;301;2232;16265;13400;235;13130;4514;9;1;2085
27.02.2015;989;321;58;1423;686;27;2789;4475;3340;449;368;2329;16130;13964;155;13382;3872;9;1;2218
28.02.2015;995;328;163;1848;860;26;2726;4461;1852;417;246;1599;13877;11006;171;11056;4466;9;1;2539
01.03.2015;1004;310;205;4530;382;20;2535;3880;640;394;279;1626;12862;7745;235;9075;6731;10;1;2876
