CW, biomass , hydro , wind offshore , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gas , hydro pumped , other conventional , total gird load , residual load , reverse hydro , sum conventional , sum renewable , net exp 
1," 1,150.68 ", 259.75 , 445.32 ," 2,230.08 ", 145.71 , 44.46 ," 2,613.40 "," 3,466.49 "," 1,046.03 ", 492.15 , 240.69 , 832.05 ," 11,725.81 "," 8,905.03 ", 203.32 ," 8,450.11 "," 4,516.69 "," 1,885.10 "
2," 1,143.07 ", 304.54 , 590.74 ," 2,540.20 ", 190.88 , 45.04 ," 2,627.92 "," 3,794.27 "," 2,734.96 ", 714.05 , 291.91 ," 1,272.69 "," 14,768.39 "," 11,446.91 ", 224.07 ," 11,143.89 "," 5,106.38 "," 2,426.47 "
3," 1,151.72 ", 360.03 , 317.35 ," 2,269.20 ", 176.21 , 46.46 ," 2,670.72 "," 4,326.73 "," 3,168.06 ", 741.68 , 280.02 ," 1,413.88 "," 15,501.07 "," 12,738.62 ", 229.32 ," 12,321.06 "," 4,601.00 "," 2,272.21 "
4," 1,152.66 ", 329.84 , 304.43 ," 1,207.86 ", 191.04 , 47.44 ," 2,675.52 "," 4,424.04 "," 3,759.95 "," 1,378.48 ", 351.18 ," 1,548.79 "," 16,042.57 "," 14,339.53 ", 227.84 ," 13,786.78 "," 3,584.46 "," 2,358.85 "
5," 1,143.88 ", 325.07 , 635.37 ," 4,620.38 ", 344.43 , 44.00 ," 2,545.02 "," 3,557.70 "," 1,947.41 ", 622.65 , 269.44 ," 1,172.43 "," 15,401.79 "," 9,801.91 ", 233.06 ," 9,845.21 "," 7,382.57 "," 2,737.38 "
6," 1,169.63 ", 421.45 , 546.08 ," 4,453.10 ", 281.39 , 40.31 ," 2,608.82 "," 3,474.14 "," 1,738.26 ", 521.68 , 338.37 ," 1,206.76 "," 15,365.63 "," 10,085.34 ", 268.32 ," 9,549.66 "," 7,250.33 "," 2,128.72 "
7," 1,177.14 ", 402.59 , 403.87 ," 3,886.09 ", 419.39 , 40.28 ," 2,587.85 "," 3,753.87 "," 1,990.76 ", 580.11 , 290.97 ," 1,229.62 "," 15,250.84 "," 10,541.82 ", 256.90 ," 10,142.22 "," 6,620.34 "," 2,299.65 "
8," 1,169.53 ", 396.65 , 431.38 ," 1,929.97 ", 384.89 , 43.88 ," 2,635.80 "," 4,239.59 "," 2,855.19 ", 724.98 , 294.99 ," 1,337.30 "," 15,587.04 "," 12,841.08 ", 229.32 ," 11,792.86 "," 4,651.30 "," 1,751.17 "
9," 1,172.20 ", 412.81 , 408.86 ," 2,768.61 ", 644.43 , 43.00 ," 2,521.46 "," 3,602.25 "," 2,589.01 ", 594.28 , 267.78 ," 1,277.62 "," 15,254.81 "," 11,433.17 ", 233.71 ," 10,584.62 "," 5,717.68 "," 1,774.51 "
10," 1,174.46 ", 469.38 , 244.57 ," 2,020.29 ", 541.69 , 48.32 ," 2,628.82 "," 3,887.81 "," 2,831.06 ", 519.17 , 281.04 ," 1,396.57 "," 15,276.49 "," 12,470.30 ", 209.84 ," 11,263.43 "," 4,779.75 "," 1,582.30 "
11," 1,176.33 ", 489.15 , 160.40 ," 1,016.93 ", 809.89 , 49.45 ," 2,637.05 "," 3,756.28 "," 3,094.62 ", 589.13 , 286.71 ," 1,473.33 "," 15,084.68 "," 13,097.74 ", 205.35 ," 11,550.39 "," 3,988.87 "," 1,403.30 "
12," 1,174.81 ", 446.99 , 175.71 ," 1,295.34 "," 1,014.45 ", 48.84 ," 2,617.24 "," 3,821.66 "," 2,770.96 ", 509.36 , 253.48 ," 1,375.15 "," 14,921.21 "," 12,436.02 ", 199.69 ," 11,094.36 "," 4,409.61 "," 1,713.96 "
13," 1,176.90 ", 411.57 , 366.44 ," 1,758.67 ", 730.71 , 48.28 ," 2,577.63 "," 3,884.88 "," 2,465.50 ", 486.34 , 271.86 ," 1,654.84 "," 14,186.38 "," 11,330.87 ", 200.57 ," 11,069.18 "," 4,764.41 "," 2,128.26 "
14," 1,177.65 ", 460.22 , 390.40 ," 2,633.32 "," 1,039.82 ", 43.11 ," 2,416.57 "," 3,195.03 "," 1,770.94 ", 405.35 , 280.56 ," 1,962.03 "," 13,721.63 "," 9,658.42 ", 216.37 ," 9,749.92 "," 6,025.08 "," 1,926.35 "
15," 1,158.99 ", 542.26 , 330.89 ," 1,647.06 "," 1,146.26 ", 40.30 ," 2,048.43 "," 3,652.57 "," 2,498.93 ", 378.28 , 275.39 ," 1,070.60 "," 14,123.92 "," 11,000.01 ", 208.51 ," 9,648.80 "," 5,141.15 "," 1,303.54 "
16," 1,164.67 ", 537.65 , 261.92 ," 1,434.13 "," 1,213.08 ", 42.23 ," 1,643.92 "," 3,891.39 "," 2,408.39 ", 472.31 , 264.22 ," 1,150.06 "," 14,067.16 "," 11,158.33 ", 178.68 ," 9,566.08 "," 4,917.90 "," 1,103.54 "
17," 1,151.64 ", 610.90 , 387.82 ," 1,851.29 "," 1,482.14 ", 42.03 ," 1,634.34 "," 3,784.05 "," 1,891.02 ", 332.73 , 269.70 ," 1,027.28 "," 13,936.89 "," 10,215.95 ", 185.43 ," 8,669.43 "," 5,795.52 "," 1,185.51 "
18," 1,148.38 ", 576.22 , 296.34 ," 2,280.99 "," 1,374.02 ", 42.42 ," 1,630.66 "," 3,648.51 "," 2,469.53 ", 380.25 , 300.19 ," 1,230.00 "," 14,282.27 "," 10,331.25 ", 223.22 ," 9,358.95 "," 6,018.56 "," 1,731.12 "
19," 1,142.80 ", 540.42 , 255.67 ," 1,639.75 "," 1,941.58 ", 39.25 ," 1,583.44 "," 3,444.43 "," 1,694.55 ", 337.86 , 260.58 , 976.76 ," 13,151.67 "," 9,314.98 ", 240.78 ," 8,037.04 "," 5,820.04 "," 1,327.76 "
20," 1,125.36 ", 610.79 , 516.64 ," 2,860.63 "," 1,728.33 ", 37.11 ," 1,597.61 "," 3,152.38 "," 1,548.83 ", 347.47 , 306.07 , 955.54 ," 13,930.30 "," 8,825.05 ", 217.10 ," 7,601.83 "," 7,184.94 "," 1,374.12 "
21," 1,133.15 ", 656.33 , 285.03 ," 1,690.44 "," 1,432.36 ", 38.17 ," 1,782.17 "," 3,384.09 "," 1,672.31 ", 428.02 , 275.59 ," 1,083.54 "," 13,345.42 "," 9,937.94 ", 219.67 ," 8,350.13 "," 5,511.08 "," 1,054.99 "
22," 1,114.73 ", 686.06 , 148.20 , 965.18 ," 1,340.47 ", 37.02 ," 1,604.94 "," 3,553.65 "," 2,233.97 ", 475.46 , 234.81 ," 1,194.48 "," 13,466.70 "," 11,013.17 ", 212.12 ," 9,062.50 "," 4,526.48 ", 717.07 
23," 1,099.12 ", 676.15 , 367.08 ," 1,071.91 "," 1,347.44 ", 36.64 ," 1,736.65 "," 3,386.18 "," 2,162.71 ", 427.44 , 271.52 ," 1,100.49 "," 13,871.81 "," 11,085.69 ", 218.73 ," 8,813.46 "," 4,869.86 ", 360.96 
24," 1,088.58 ", 666.68 , 161.52 , 751.70 ," 1,894.69 ", 33.20 ," 2,101.66 "," 3,317.94 "," 2,251.61 ", 323.74 , 203.34 ," 1,000.45 "," 13,620.82 "," 10,813.23 ", 190.76 ," 8,995.41 "," 4,799.71 ", 586.68 
