Date,Biomass,Hydro,Wind Offshore,Wind Onshore,Solar,Other renewable,Nuclear,Brown coal,Hard coal,Fossil Gas,Hydro pumped storage,Other Conventional,Total grid load,Residual load,Reverse hydro pumped,Sum conventional,Sum renewable,CW,Season,Net exp MWh
01/01/2016,1153,258,219,902,193,46,2635,3771,1252,496,237,810,11010,9697,199,8964,3008,1,1,1536
02/01/2016,1148,261,672,3559,98,43,2592,3162,841,488,244,854,12441,8113,208,7936,6025,1,1,2234
03/01/2016,1138,268,658,3714,141,44,2623,3236,766,510,247,769,12281,7769,213,7904,6209,2,1,2610
04/01/2016,1142,309,665,2432,105,45,2626,3969,2481,891,363,1366,15039,11837,210,11333,5061,2,1,2458
05/01/2016,1145,316,651,1676,131,46,2646,4072,3319,815,327,1413,15590,13133,200,12266,4292,2,1,1946
06/01/2016,1139,291,650,1085,131,45,2680,3903,3700,933,331,1450,15066,13200,190,12667,3672,2,1,2208
07/01/2016,1143,294,671,2580,153,46,2543,3960,3382,637,279,1488,16030,12627,261,12010,5166,2,1,2174
08/01/2016,1145,312,438,4589,427,43,2603,3579,2681,651,275,1322,15828,10375,267,10836,7228,2,1,3236
09/01/2016,1151,342,403,1706,249,46,2674,3841,2815,561,222,1100,13544,11187,227,10991,4118,2,1,2356
10/01/2016,1151,353,613,3067,197,45,2654,3726,1000,444,203,930,12688,8811,312,8754,5629,3,1,2257
11/01/2016,1145,366,312,1794,106,46,2671,4451,3136,760,298,1397,16102,13891,194,12415,4067,3,1,1598
12/01/2016,1151,380,270,2892,158,46,2669,4385,3289,643,315,1573,16363,13044,193,12559,5213,3,1,2247
13/01/2016,1144,369,275,3335,127,47,2666,4301,3537,796,226,1578,16504,12768,238,12878,5523,3,1,2671
14/01/2016,1153,355,278,2198,464,47,2677,4393,3798,904,278,1563,16375,13435,234,13335,4774,3,1,2518
15/01/2016,1157,351,202,1469,91,47,2681,4470,3983,1054,407,1621,16387,14627,193,13809,3723,3,1,2105
16/01/2016,1161,346,271,1130,91,47,2677,4561,3434,591,233,1236,14088,12595,241,12499,3280,3,1,2510
17/01/2016,1162,317,236,924,91,48,2677,4591,2991,626,231,1216,13176,11925,279,12101,3008,4,1,2584
18/01/2016,1157,308,295,611,202,48,2692,4564,4220,1514,399,1636,16681,15572,197,14626,3020,4,1,2065
19/01/2016,1150,328,409,1371,217,47,2688,4397,4444,1691,359,1680,17141,15145,202,14901,3881,4,1,2694
20/01/2016,1147,339,145,1089,148,48,2683,4449,4294,1826,416,1791,17041,15659,223,15043,3332,4,1,2384
21/01/2016,1151,362,159,316,201,48,2630,4443,3809,1868,508,1655,16945,16269,237,14405,2747,4,1,1443
22/01/2016,1150,347,499,1565,367,47,2684,4337,3764,1490,331,1677,16862,14432,230,13953,4306,4,1,2438
23/01/2016,1152,306,388,2578,111,47,2673,4187,2797,635,214,1187,14452,11375,228,11479,4796,4,1,2906
24/01/2016,1151,292,590,2130,181,47,2652,4025,2006,586,142,1082,13095,10193,199,10351,4533,5,1,2574
25/01/2016,1142,298,591,2643,352,47,2595,4047,3186,910,338,1374,15936,12352,180,12111,5410,5,1,2598
26/01/2016,1130,310,650,4394,434,44,2501,3886,2437,756,249,1246,16238,10760,244,10826,7211,5,1,2835
27/01/2016,1127,326,595,6334,255,42,2499,3365,1587,495,234,1099,16373,9189,223,9044,8914,5,1,2574
28/01/2016,1139,342,673,4334,381,44,2528,3693,2430,651,382,1265,16152,10764,218,10568,7295,5,1,2602
29/01/2016,1156,353,667,6064,516,46,2502,3213,1339,518,241,1101,16002,8756,320,8672,9042,5,1,2553
30/01/2016,1162,354,682,6445,291,38,2538,2676,646,443,301,1041,14017,6600,249,7345,9272,5,1,3425
31/01/2016,1166,390,619,4618,208,37,2532,2880,656,409,269,1014,12804,7359,291,7490,7308,6,1,2561
01/02/2016,1167,458,501,5253,154,39,2600,3436,1409,529,391,1219,16035,10127,264,9193,7962,6,1,1832
02/02/2016,1163,440,510,6805,264,35,2575,2959,870,526,396,1135,16416,8836,263,8065,9614,6,1,1994
03/02/2016,1165,417,648,5054,321,39,2642,3277,1921,562,353,1180,16401,10378,255,9583,7997,6,1,1915
04/02/2016,1172,415,392,3550,158,41,2665,3896,3245,545,349,1458,16398,12297,271,11808,6079,6,1,2319
05/02/2016,1176,417,483,2300,236,47,2635,4136,3364,656,344,1413,15950,12932,260,12204,5004,6,1,2013
06/02/2016,1178,412,671,3590,627,43,2613,3736,703,423,265,1029,13555,8667,275,8504,6787,6,1,2267
07/02/2016,1180,396,690,4740,397,35,2494,2927,461,366,286,972,12561,6735,355,7220,7724,7,1,2787
08/02/2016,1173,390,682,7109,336,36,2510,2775,847,470,308,1105,15679,7551,283,7707,10035,7,1,2706
09/02/2016,1175,409,491,5992,239,39,2500,3172,1706,497,321,1143,16181,9460,269,9017,8666,7,1,2405
10/02/2016,1175,426,354,3948,298,41,2639,4072,2545,649,350,1406,16411,11810,236,11311,6593,7,1,2390
11/02/2016,1179,417,297,3150,459,41,2657,4203,2841,701,285,1419,16126,12221,253,11821,5828,7,1,2348
12/02/2016,1179,395,36,891,692,46,2659,4677,3466,803,258,1414,15910,14292,208,13020,3497,7,1,1532
13/02/2016,1178,384,276,1373,514,46,2656,4451,2068,576,229,1148,13887,11724,195,10899,4000,7,1,1930
14/02/2016,1173,385,686,2352,280,43,2616,4043,1202,534,280,956,12842,9525,244,9352,5198,8,1,2188
15/02/2016,1163,391,461,1813,245,45,2653,4436,3268,634,352,1468,16196,13677,225,12460,4470,8,1,1743
16/02/2016,1170,410,128,663,495,45,2662,4520,3915,1040,361,1531,16495,15209,231,13668,3273,8,1,1441
17/02/2016,1164,398,474,1639,461,45,2655,4484,3441,815,249,1400,16640,14066,249,12796,4430,8,1,1618
18/02/2016,1169,398,261,598,662,46,2656,4401,3748,851,264,1486,16258,14736,234,13141,3399,8,1,1329
19/02/2016,1173,405,285,869,369,46,2652,4441,3706,746,329,1510,16248,14726,193,13055,3475,8,1,1255
20/02/2016,1175,390,723,5577,182,37,2556,3352,705,455,230,1010,14431,7949,228,8079,8313,8,1,2684
21/02/2016,1175,437,593,6062,235,32,2370,2624,421,353,162,1003,12921,6032,288,6770,8695,9,1,2969
22/02/2016,1170,430,682,5173,522,38,2410,3582,1680,490,319,1155,16027,9650,273,9317,8334,9,1,2210
23/02/2016,1170,412,627,2490,393,45,2589,4146,2858,591,350,1311,16231,12721,202,11494,5487,9,1,1541
24/02/2016,1174,420,491,2266,773,46,2609,3768,3254,692,273,1338,16133,12604,264,11661,5442,9,1,1643
25/02/2016,1171,404,348,1353,631,46,2624,3799,3762,779,293,1425,16205,13872,202,12389,4248,9,1,1361
26/02/2016,1172,410,115,868,811,47,2649,3672,3913,763,281,1537,15779,13985,175,12534,3703,9,1,1382
27/02/2016,1174,376,7,1168,1146,47,2398,3625,2236,492,196,1174,13488,11168,233,9926,4114,9,1,1315
28/02/2016,1180,352,75,1851,742,47,2613,3812,1409,454,176,992,12593,9925,174,9280,4423,10,1,1804
29/02/2016,1176,361,59,2556,452,47,2641,4020,3047,564,345,1480,15822,12755,181,11752,4996,10,1,1872
01/03/2016,1173,507,535,1918,499,49,2630,4166,3305,505,321,1694,16485,13533,235,12300,5002,10,1,1674
02/03/2016,1172,493,336,3520,352,48,2618,3922,3030,480,271,1437,16328,12120,255,11486,6192,10,1,2159
03/03/2016,1163,545,98,1020,542,48,2637,3958,3799,653,343,1658,16163,14504,216,12704,3759,10,1,1226
04/03/2016,1176,511,445,2473,771,49,2626,3842,2846,494,241,1322,15948,12259,219,11130,5667,10,1,1673
05/03/2016,1181,515,164,805,433,50,2638,3496,2381,485,271,1193,13597,12196,190,10192,3418,10,1,669
06/03/2016,1180,524,118,1088,513,50,2632,3248,1946,445,219,1039,12604,10885,202,9309,3691,11,1,905
07/03/2016,1176,501,98,551,755,50,2647,3819,3754,820,379,1560,15648,14244,187,12601,3510,11,1,1190
08/03/2016,1170,501,115,574,790,50,2648,4056,4065,879,305,1703,16128,14649,247,13352,3505,11,1,1649
09/03/2016,1165,470,430,2057,1240,49,2622,3993,3066,470,279,1545,16053,12327,270,11696,5689,11,1,2257
10/03/2016,1173,469,218,1114,1007,49,2636,4026,3289,495,245,1605,15922,13584,202,12050,4275,11,1,1277
11/03/2016,1187,488,88,889,711,50,2638,3880,3159,584,343,1624,15690,14002,182,11885,3756,11,1,1216
12/03/2016,1184,471,55,845,654,50,2637,3272,2383,431,237,1237,13548,11993,147,9960,3496,11,1,1330
13/03/2016,1185,454,37,1358,639,50,2620,2737,1441,395,231,883,12375,10341,245,8076,3955,12,1,1094
14/03/2016,1177,459,34,950,1380,49,2628,3146,2744,511,203,1370,15368,13004,196,10399,4252,12,1,1254
15/03/2016,1163,476,174,1458,367,50,2631,3972,3339,670,363,1573,16018,14018,194,12186,4051,12,1,1371
16/03/2016,1168,454,125,2586,1129,48,2613,4229,2874,506,266,1512,15983,12143,240,11734,5777,12,1,2348
17/03/2016,1167,439,129,726,1645,47,2619,4328,3239,525,243,1511,15655,13154,189,12222,4396,12,1,1978
18/03/2016,1179,438,333,1111,1164,49,2612,4298,3152,499,257,1502,15586,12978,178,12063,4531,12,1,1841
19/03/2016,1183,409,396,878,777,49,2597,4043,2607,461,211,1274,13465,11414,156,10981,3904,12,1,2111
20/03/2016,1179,405,561,2457,660,50,2582,3769,1288,415,244,1011,12448,8771,206,9066,5555,13,1,2779
21/03/2016,1171,413,608,2769,648,46,2575,3867,2783,458,281,1294,15495,11472,186,10978,5936,13,1,2479
22/03/2016,1176,417,315,1619,729,49,2597,4140,3283,601,247,1615,15722,13059,196,12236,4552,13,1,2098
23/03/2016,1173,424,247,1208,654,49,2599,4099,3486,622,280,1606,15646,13537,204,12412,4036,13,1,1817
24/03/2016,1176,399,126,642,751,50,2591,4111,3400,615,327,1568,15354,13835,180,12286,3472,13,1,1298
25/03/2016,1187,390,251,1634,358,49,2588,3826,2305,366,263,1196,12434,10191,203,10281,4132,13,1,2652
26/03/2016,1175,432,457,1981,1316,45,2510,3382,713,328,261,3293,12205,8451,229,10226,5669,13,1,1776
27/03/2016,1180,426,619,3618,962,40,2276,2246,456,267,283,3977,11301,6101,241,9222,7128,14,1,2411
28/03/2016,1177,428,665,4525,972,40,2281,2058,457,276,258,2979,11659,5497,276,8051,8064,14,1,2714
