CW,biomass,hydro,windoffshore,windon,solar,otherrenewable,nuclear,browncoal,hardcoal,fossilgas,hydropumped,otherconventional,totalgirdload,residualload,reversehydro,sumconventional,sumrenewable,netexp
1,1150.68,259.75,445.32,2230.08,145.71,44.46,2613.40,3466.49,1046.03,492.15,240.69,832.05,11725.81,8905.03,203.32,8450.11,4516.69,1885.10
2,1143.07,304.54,590.74,2540.20,190.88,45.04,2627.92,3794.27,2734.96,714.05,291.91,1272.69,14768.39,11446.91,224.07,11143.89,5106.38,2426.47
3,1151.72,360.03,317.35,2269.20,176.21,46.46,2670.72,4326.73,3168.06,741.68,280.02,1413.88,15501.07,12738.62,229.32,12321.06,4601.00,2272.21
4,1152.66,329.84,304.43,1207.86,191.04,47.44,2675.52,4424.04,3759.95,1378.48,351.18,1548.79,16042.57,14339.53,227.84,13786.78,3584.46,2358.85
5,1143.88,325.07,635.37,4620.38,344.43,44.00,2545.02,3557.70,1947.41,622.65,269.44,1172.43,15401.79,9801.91,233.06,9845.21,7382.57,2737.38
6,1169.63,421.45,546.08,4453.10,281.39,40.31,2608.82,3474.14,1738.26,521.68,338.37,1206.76,15365.63,10085.34,268.32,9549.66,7250.33,2128.72
7,1177.14,402.59,403.87,3886.09,419.39,40.28,2587.85,3753.87,1990.76,580.11,290.97,1229.62,15250.84,10541.82,256.90,10142.22,6620.34,2299.65
8,1169.53,396.65,431.38,1929.97,384.89,43.88,2635.80,4239.59,2855.19,724.98,294.99,1337.30,15587.04,12841.08,229.32,11792.86,4651.30,1751.17
9,1172.20,412.81,408.86,2768.61,644.43,43.00,2521.46,3602.25,2589.01,594.28,267.78,1277.62,15254.81,11433.17,233.71,10584.62,5717.68,1774.51
10,1174.46,469.38,244.57,2020.29,541.69,48.32,2628.82,3887.81,2831.06,519.17,281.04,1396.57,15276.49,12470.30,209.84,11263.43,4779.75,1582.30
11,1176.33,489.15,160.40,1016.93,809.89,49.45,2637.05,3756.28,3094.62,589.13,286.71,1473.33,15084.68,13097.74,205.35,11550.39,3988.87,1403.30
12,1174.81,446.99,175.71,1295.34,1014.45,48.84,2617.24,3821.66,2770.96,509.36,253.48,1375.15,14921.21,12436.02,199.69,11094.36,4409.61,1713.96
13,1176.90,411.57,366.44,1758.67,730.71,48.28,2577.63,3884.88,2465.50,486.34,271.86,1654.84,14186.38,11330.87,200.57,11069.18,4764.41,2128.26
14,1177.65,460.22,390.40,2633.32,1039.82,43.11,2416.57,3195.03,1770.94,405.35,280.56,1962.03,13721.63,9658.42,216.37,9749.92,6025.08,1926.35
15,1158.99,542.26,330.89,1647.06,1146.26,40.30,2048.43,3652.57,2498.93,378.28,275.39,1070.60,14123.92,11000.01,208.51,9648.80,5141.15,1303.54
16,1164.67,537.65,261.92,1434.13,1213.08,42.23,1643.92,3891.39,2408.39,472.31,264.22,1150.06,14067.16,11158.33,178.68,9566.08,4917.90,1103.54
17,1151.64,610.90,387.82,1851.29,1482.14,42.03,1634.34,3784.05,1891.02,332.73,269.70,1027.28,13936.89,10215.95,185.43,8669.43,5795.52,1185.51
18,1148.38,576.22,296.34,2280.99,1374.02,42.42,1630.66,3648.51,2469.53,380.25,300.19,1230.00,14282.27,10331.25,223.22,9358.95,6018.56,1731.12
19,1142.80,540.42,255.67,1639.75,1941.58,39.25,1583.44,3444.43,1694.55,337.86,260.58,976.76,13151.67,9314.98,240.78,8037.04,5820.04,1327.76
20,1125.36,610.79,516.64,2860.63,1728.33,37.11,1597.61,3152.38,1548.83,347.47,306.07,955.54,13930.30,8825.05,217.10,7601.83,7184.94,1374.12
21,1133.15,656.33,285.03,1690.44,1432.36,38.17,1782.17,3384.09,1672.31,428.02,275.59,1083.54,13345.42,9937.94,219.67,8350.13,5511.08,1054.99
22,1114.73,686.06,148.20,965.18,1340.47,37.02,1604.94,3553.65,2233.97,475.46,234.81,1194.48,13466.70,11013.17,212.12,9062.50,4526.48,717.07
23,1099.12,676.15,367.08,1071.91,1347.44,36.64,1736.65,3386.18,2162.71,427.44,271.52,1100.49,13871.81,11085.69,218.73,8813.46,4869.86,360.96
24,1088.58,666.68,161.52,751.70,1894.69,33.20,2101.66,3317.94,2251.61,323.74,203.34,1000.45,13620.82,10813.23,190.76,8995.41,4799.71,586.68
25,1100.27,658.20,143.87,826.14,1391.38,32.76,2022.42,3534.94,2434.00,424.32,254.18,1065.49,13704.45,11343.39,216.34,9481.17,4406.79,600.32
26,1082.81,656.70,184.66,1064.19,1791.13,32.31,2181.35,3106.08,2354.78,386.35,310.63,1167.46,13739.30,10699.69,219.67,9196.04,5122.42,886.06
27,1093.43,683.29,317.49,1656.93,1613.60,30.27,2127.90,3289.01,1884.53,363.12,260.06,1088.30,13841.08,10253.43,226.51,8752.86,5655.07,896.57
28,1089.12,702.76,382.70,1976.70,1878.70,26.93,2195.32,3301.86,1511.41,349.51,275.64,979.29,13831.03,9593.27,226.07,8337.39,6332.56,995.55
29,1072.36,653.73,418.04,1809.50,1527.15,26.94,2157.88,3764.10,1500.27,367.78,247.20,984.95,13791.06,10036.68,201.80,8774.99,5754.93,1096.36
30,1068.80,710.46,147.08,739.57,1796.87,27.26,1957.18,3741.85,2333.46,442.74,253.15,1253.38,13749.91,11066.74,159.25,9728.61,4743.19,1116.67
31,1069.39,732.53,84.31,622.47,1603.57,27.92,1949.80,3531.35,2768.36,441.19,217.23,1214.58,13559.78,11249.75,158.58,9905.27,4357.43,1070.05
32,1090.31,696.38,291.76,1365.42,1242.95,31.57,1980.37,3576.69,2079.20,419.60,201.80,1044.89,13337.22,10437.40,165.35,9100.74,4920.19,1021.05
33,1105.16,734.77,525.71,1859.85,1478.04,32.29,2239.14,3256.47,1243.15,352.20,255.84,881.99,13254.09,9390.85,215.84,7972.95,5991.65,916.39
34,1092.79,698.74,127.20,635.76,1712.99,31.71,2504.28,3632.01,1878.43,563.03,236.75,972.76,13207.72,10732.14,180.85,9550.52,4535.94,1163.37
35,1080.25,638.75,210.93,1284.59,1782.32,32.21,2553.30,3609.26,1901.88,860.52,254.61,1089.95,13677.43,10399.93,206.78,10014.91,5283.65,1837.68
36,1084.13,605.64,257.86,1096.59,1617.97,30.93,2438.32,3694.47,2185.20,776.72,263.00,1235.19,13631.60,10659.52,183.12,10329.89,4956.11,1916.55
37,1081.29,581.44,131.57,1033.15,1493.66,30.64,2252.77,3767.58,2281.88,852.54,262.75,1360.76,13605.42,10947.37,188.08,10515.53,4614.50,1844.10
38,1073.52,524.86,283.73,1336.25,1396.99,32.67,2254.69,3691.51,2244.95,887.77,237.12,1241.39,13679.68,10663.02,193.45,10320.30,4885.14,1978.50
39,1100.64,585.16,115.24,634.68,1120.71,38.24,2435.58,4145.00,2591.37,914.23,195.69,1255.37,13469.12,11598.82,177.96,11341.55,3790.36,1988.83
40,1098.32,476.88,452.98,2018.16,1146.44,36.06,2604.56,3727.73,1943.99,698.75,260.02,1235.62,13812.50,10195.23,223.71,10210.65,5488.86,2378.11
41,1115.09,437.18,470.61,2146.34,672.70,40.19,2626.46,3846.93,1880.96,856.94,246.32,1726.81,13732.97,10443.64,194.64,10938.09,5128.42,2440.31
