CW, biomass , hydro , wind off , wind on , solar , othe renewables , nuclear , brown coal , hard coal , fossil gas , hydro pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWH 
1," 1,187.07 ", 284.69 , 577.45 ," 3,228.06 ", 197.16 , 47.45 ," 1,658.61 "," 3,601.17 "," 2,626.32 ", 981.98 , 287.64 ," 1,719.10 "," 15,062.73 "," 11,060.34 ", 230.37 ," 10,587.17 "," 5,809.53 "," 2,023.60 "
2," 1,181.08 ", 294.43 , 540.03 ," 3,473.61 ", 121.22 , 47.79 ," 1,902.01 "," 3,988.77 "," 2,530.31 "," 1,096.17 ", 287.49 ," 1,787.63 "," 16,062.88 "," 11,928.33 ", 269.00 ," 11,304.89 "," 5,945.64 "," 2,277.99 "
3," 1,188.09 ", 295.27 , 177.40 ," 1,101.60 ", 301.57 , 49.88 ," 1,939.51 "," 4,195.77 "," 3,840.19 "," 1,490.59 ", 339.87 ," 2,178.19 "," 16,200.07 "," 14,619.78 ", 272.97 ," 13,644.24 "," 3,453.67 "," 1,973.51 "
4," 1,195.69 ", 282.03 , 286.52 ," 1,024.56 ", 442.65 , 48.02 ," 2,061.32 "," 4,004.08 "," 3,802.80 "," 1,445.46 ", 354.75 ," 2,111.23 "," 16,328.83 "," 14,575.43 ", 271.34 ," 13,424.89 "," 3,634.22 "," 1,887.90 "
5," 1,220.23 ", 339.15 , 545.50 ," 1,898.95 ", 333.38 , 56.21 ," 2,116.86 "," 3,824.39 "," 3,397.83 "," 1,124.36 ", 282.53 ," 2,089.73 "," 15,911.26 "," 13,133.72 ", 275.33 ," 12,553.17 "," 4,675.94 "," 2,157.52 "
6," 1,235.80 ", 333.78 , 735.41 ," 1,590.57 ", 402.78 , 64.08 ," 1,661.09 "," 3,974.86 "," 3,535.80 "," 1,220.34 ", 274.03 ," 2,008.45 "," 15,956.95 "," 13,228.45 ", 275.21 ," 12,400.54 "," 4,636.44 "," 1,817.03 "
7," 1,241.79 ", 284.52 , 606.05 ," 1,903.79 ", 758.73 , 64.18 ," 1,638.58 "," 4,276.03 "," 3,200.48 "," 1,022.20 ", 268.42 ," 1,913.34 "," 15,723.65 "," 12,455.38 ", 270.53 ," 12,050.64 "," 5,127.47 "," 2,245.77 "
8," 1,223.51 ", 347.92 , 817.58 ," 5,191.30 ", 550.74 , 62.67 ," 1,601.79 "," 3,635.51 "," 1,356.34 ", 652.45 , 258.13 ," 1,411.99 "," 15,506.97 "," 8,947.66 ", 273.35 ," 8,658.08 "," 8,451.85 "," 2,137.28 "
9," 1,208.84 ", 359.26 , 708.26 ," 4,361.54 ", 779.67 , 59.32 ," 1,693.06 "," 3,656.90 "," 1,226.95 ", 670.33 , 298.55 ," 1,413.63 "," 15,074.93 "," 9,225.76 ", 273.96 ," 8,660.86 "," 7,775.44 "," 2,000.76 "
10," 1,202.26 ", 406.25 , 447.05 ," 2,337.85 ", 734.82 , 57.78 ," 1,628.52 "," 3,894.57 "," 2,357.27 ", 913.54 , 282.91 ," 1,700.55 "," 15,178.03 "," 11,658.64 ", 284.81 ," 10,494.45 "," 5,468.91 "," 1,423.93 "
