Date, Biomass , Hydro , Wind Offshore , Wind Onshore , Solar , Other renewable , Nuclear , Brown coal , Hard coal , Fossil Gas , Hydro pumped storage , Other Conventional , Total grid load , Residual load , Reverse hydro pumped , Sum conventional , Sum renewable ,CW,Season
01/01/2017," 1,200.67 ", 280.53 , 539.40 ," 2,650.08 ", 367.65 , 47.57 ," 1,624.33 "," 3,319.06 "," 1,503.54 ", 571.86 , 263.05 ," 1,275.80 "," 11,824.40 "," 8,267.48 ", 286.01 ," 8,294.60 "," 5,348.95 ",1,1
02/01/2017," 1,202.94 ", 286.07 , 633.92 ," 2,349.97 ", 130.05 , 48.00 ," 1,609.29 "," 3,477.35 "," 3,069.23 ", 965.22 , 385.67 ," 1,685.38 "," 14,953.43 "," 11,839.80 ", 247.48 ," 10,806.47 "," 5,036.61 ",1,1
03/01/2017," 1,189.40 ", 287.27 , 773.82 ," 5,841.83 ", 97.46 , 46.02 ," 1,509.91 "," 3,039.81 "," 2,064.47 ", 796.32 , 221.60 ," 1,607.93 "," 16,008.28 "," 9,295.43 ", 203.16 ," 9,018.44 "," 8,457.41 ",1,1
04/01/2017," 1,169.46 ", 285.03 , 729.27 ," 6,463.11 ", 133.50 , 47.01 ," 1,489.14 "," 3,019.98 "," 1,841.76 ", 817.04 , 202.24 ," 1,737.41 "," 16,347.39 "," 9,021.85 ", 223.33 ," 8,905.32 "," 9,029.63 ",1,1
05/01/2017," 1,178.30 ", 292.48 , 358.25 ," 2,523.66 ", 216.69 , 48.25 ," 1,592.57 "," 3,801.31 "," 3,555.40 "," 1,340.23 ", 308.20 ," 2,021.40 "," 16,076.98 "," 12,978.74 ", 228.13 ," 12,310.91 "," 4,925.82 ",1,1
06/01/2017," 1,180.53 ", 289.70 , 408.19 , 720.39 , 347.41 , 47.64 ," 1,767.34 "," 4,305.14 "," 3,621.34 "," 1,411.90 ", 318.28 ," 1,960.86 "," 15,565.96 "," 14,090.27 ", 181.73 ," 13,066.58 "," 3,312.13 ",1,1
07/01/2017," 1,188.21 ", 271.78 , 599.32 ," 2,047.35 ", 87.39 , 47.68 ," 2,017.69 "," 4,245.54 "," 2,728.49 ", 971.25 , 314.44 ," 1,744.93 "," 14,662.65 "," 11,928.83 ", 242.76 ," 11,707.90 "," 4,556.17 ",1,1
08/01/2017," 1,191.42 ", 283.09 , 72.81 , 388.22 , 52.02 , 47.29 ," 1,965.01 "," 4,425.33 "," 3,297.94 ", 957.45 , 278.11 ," 1,731.14 "," 13,388.51 "," 12,875.76 ", 240.11 ," 12,376.86 "," 2,312.97 ",2,1
09/01/2017," 1,184.60 ", 290.56 , 582.26 ," 1,229.07 ", 73.68 , 47.52 ," 1,911.72 "," 4,365.25 "," 3,312.73 "," 1,506.29 ", 393.59 ," 2,147.30 "," 16,570.99 "," 14,686.30 ", 281.50 ," 13,243.29 "," 3,801.29 ",2,1
10/01/2017," 1,177.28 ", 301.18 , 481.00 ," 2,489.71 ", 135.93 , 48.06 ," 1,844.09 "," 4,146.23 "," 3,060.47 "," 1,624.78 ", 413.33 ," 2,113.60 "," 17,071.76 "," 13,965.44 ", 249.80 ," 12,789.18 "," 5,046.49 ",2,1
