CW,biomass,hydro,windoff,windon,solar,otherenewables,nuclear,browncoal,hardcoal,fossilgas,hydropumpedstorage,otherconventional,totalgridload,residualload,reversehydropumped,sumconventional,sumrenewable,netexpMWH
1,1187.07,284.69,577.45,3228.06,197.16,47.45,1658.61,3601.17,2626.32,981.98,287.64,1719.10,15062.73,11060.34,230.37,10587.17,5809.53,2023.60
2,1181.08,294.43,540.03,3473.61,121.22,47.79,1902.01,3988.77,2530.31,1096.17,287.49,1787.63,16062.88,11928.33,269.00,11304.89,5945.64,2277.99
3,1188.09,295.27,177.40,1101.60,301.57,49.88,1939.51,4195.77,3840.19,1490.59,339.87,2178.19,16200.07,14619.78,272.97,13644.24,3453.67,1973.51
4,1195.69,282.03,286.52,1024.56,442.65,48.02,2061.32,4004.08,3802.80,1445.46,354.75,2111.23,16328.83,14575.43,271.34,13424.89,3634.22,1887.90
5,1220.23,339.15,545.50,1898.95,333.38,56.21,2116.86,3824.39,3397.83,1124.36,282.53,2089.73,15911.26,13133.72,275.33,12553.17,4675.94,2157.52
6,1235.80,333.78,735.41,1590.57,402.78,64.08,1661.09,3974.86,3535.80,1220.34,274.03,2008.45,15956.95,13228.45,275.21,12400.54,4636.44,1817.03
7,1241.79,284.52,606.05,1903.79,758.73,64.18,1638.58,4276.03,3200.48,1022.20,268.42,1913.34,15723.65,12455.38,270.53,12050.64,5127.47,2245.77
8,1223.51,347.92,817.58,5191.30,550.74,62.67,1601.79,3635.51,1356.34,652.45,258.13,1411.99,15506.97,8947.66,273.35,8658.08,8451.85,2137.28
9,1208.84,359.26,708.26,4361.54,779.67,59.32,1693.06,3656.90,1226.95,670.33,298.55,1413.63,15074.93,9225.76,273.96,8660.86,7775.44,2000.76
10,1202.26,406.25,447.05,2337.85,734.82,57.78,1628.52,3894.57,2357.27,913.54,282.91,1700.55,15178.03,11658.64,284.81,10494.45,5468.91,1423.93
11,1205.47,403.57,674.20,2983.71,1177.26,57.82,1627.00,3788.79,1825.26,667.51,278.19,1495.14,14758.52,9923.68,288.66,9403.69,6780.21,2007.03
