CW, biomass , hydro , wind off , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gass , hydro pumped storage , other conventioanl , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWh 
1," 1,206.62 ", 450.77 , 565.66 ," 5,344.67 ", 200.95 , 51.94 ," 2,122.36 "," 3,140.71 "," 1,240.27 "," 1,039.19 ", 436.59 , 303.81 ," 14,694.34 "," 8,583.38 ", 385.77 ," 7,846.35 "," 8,257.19 "," 2,137.72 "
2," 1,211.81 ", 471.47 , 500.03 ," 2,634.53 ", 235.34 , 56.49 ," 2,326.11 "," 4,175.22 "," 2,241.28 "," 1,678.61 ", 360.87 , 307.74 ," 15,628.99 "," 12,259.42 ", 282.67 ," 10,728.95 "," 5,470.54 "," 1,443.71 "
3," 1,208.78 ", 473.25 , 705.35 ," 4,747.01 ", 235.61 , 57.28 ," 2,303.40 "," 3,956.29 "," 1,425.95 "," 1,364.95 ", 357.21 , 298.75 ," 16,144.67 "," 10,457.05 ", 249.22 ," 9,349.33 "," 7,784.48 "," 2,106.19 "
4," 1,204.42 ", 474.09 , 581.01 ," 2,843.45 ", 254.98 , 56.35 ," 2,308.69 "," 4,042.81 "," 2,272.80 "," 1,418.45 ", 343.77 , 438.24 ," 15,637.54 "," 11,958.34 ", 213.35 ," 10,480.98 "," 5,758.08 "," 1,373.34 "
5," 1,212.01 ", 462.43 , 785.68 ," 5,039.67 ", 331.10 , 55.97 ," 2,194.19 "," 3,435.71 "," 1,730.12 "," 1,358.45 ", 308.31 , 295.81 ," 15,897.25 "," 9,741.11 ", 224.59 ," 9,014.28 "," 8,195.17 "," 2,184.63 "
6," 1,209.05 ", 455.52 , 483.13 ," 1,092.38 ", 476.87 , 60.64 ," 2,346.70 "," 4,387.97 "," 3,309.74 "," 2,261.62 ", 354.96 , 267.99 ," 15,868.96 "," 13,816.92 ", 208.92 ," 12,574.02 "," 4,132.55 "," 1,776.02 "
7," 1,216.44 ", 422.51 , 739.05 ," 3,122.92 ", 630.99 , 59.65 ," 2,309.88 "," 3,754.07 "," 2,592.52 "," 1,714.36 ", 319.10 , 278.73 ," 15,850.43 "," 11,357.78 ", 216.39 ," 10,649.56 "," 6,510.66 "," 2,307.70 "
8," 1,216.29 ", 441.54 , 295.76 ," 2,136.98 ", 863.74 , 60.35 ," 2,282.48 "," 4,300.89 "," 3,224.64 "," 1,949.64 ", 336.04 , 287.10 ," 15,856.02 "," 12,559.82 ", 217.50 ," 12,044.74 "," 5,350.70 "," 2,611.01 "
9," 1,204.52 ", 375.90 , 956.68 ," 3,985.46 "," 1,041.06 ", 59.28 ," 2,003.67 "," 4,193.70 "," 2,840.59 "," 1,480.87 ", 356.96 , 270.01 ," 16,807.26 "," 10,824.35 ", 226.12 ," 10,788.84 "," 7,979.86 "," 3,363.92 "
10," 1,188.68 ", 377.32 , 527.94 ," 2,657.59 ", 832.54 , 56.13 ," 2,001.02 "," 4,131.27 "," 2,922.22 "," 1,507.33 ", 308.61 , 285.00 ," 15,592.36 "," 11,574.56 ", 262.49 ," 10,846.84 "," 5,948.81 "," 2,213.92 "
11," 1,166.43 ", 416.31 , 471.80 ," 4,027.42 ", 695.82 , 54.59 ," 1,973.53 "," 3,449.06 "," 2,007.08 "," 1,135.09 ", 362.44 , 270.79 ," 15,483.51 "," 10,288.72 ", 340.10 ," 8,835.55 "," 7,194.81 "," 1,481.42 "
12," 1,114.12 ", 361.60 , 479.37 ," 2,677.69 "," 1,015.47 ", 55.24 ," 2,085.61 "," 3,753.24 "," 3,219.11 "," 1,622.77 ", 365.51 , 257.54 ," 15,736.79 "," 11,564.60 ", 351.17 ," 10,938.28 "," 6,068.99 "," 2,203.48 "
13," 1,162.93 ", 361.04 , 487.75 ," 1,966.72 "," 1,059.43 ", 55.50 ," 2,282.62 "," 3,732.41 "," 2,562.52 "," 1,313.17 ", 322.89 , 271.10 ," 14,446.02 "," 10,932.44 ", 355.56 ," 10,161.82 "," 5,416.24 "," 2,029.95 "
