CW,biomass,hydro,windoff,windon,solar,otherrenewable,nuclear,browncoal,hardcoal,fossilgass,hydropumpedstorage,otherconventioanl,totalgridload,residualload,reversehydropumped,sumconventional,sumrenewable,netexpMWh
1,1206.62,450.77,565.66,5344.67,200.95,51.94,2122.36,3140.71,1240.27,1039.19,436.59,303.81,14694.34,8583.38,385.77,7846.35,8257.19,2137.72
2,1211.81,471.47,500.03,2634.53,235.34,56.49,2326.11,4175.22,2241.28,1678.61,360.87,307.74,15628.99,12259.42,282.67,10728.95,5470.54,1443.71
3,1208.78,473.25,705.35,4747.01,235.61,57.28,2303.40,3956.29,1425.95,1364.95,357.21,298.75,16144.67,10457.05,249.22,9349.33,7784.48,2106.19
4,1204.42,474.09,581.01,2843.45,254.98,56.35,2308.69,4042.81,2272.80,1418.45,343.77,438.24,15637.54,11958.34,213.35,10480.98,5758.08,1373.34
5,1212.01,462.43,785.68,5039.67,331.10,55.97,2194.19,3435.71,1730.12,1358.45,308.31,295.81,15897.25,9741.11,224.59,9014.28,8195.17,2184.63
6,1209.05,455.52,483.13,1092.38,476.87,60.64,2346.70,4387.97,3309.74,2261.62,354.96,267.99,15868.96,13816.92,208.92,12574.02,4132.55,1776.02
7,1216.44,422.51,739.05,3122.92,630.99,59.65,2309.88,3754.07,2592.52,1714.36,319.10,278.73,15850.43,11357.78,216.39,10649.56,6510.66,2307.70
8,1216.29,441.54,295.76,2136.98,863.74,60.35,2282.48,4300.89,3224.64,1949.64,336.04,287.10,15856.02,12559.82,217.50,12044.74,5350.70,2611.01
9,1204.52,375.90,956.68,3985.46,1041.06,59.28,2003.67,4193.70,2840.59,1480.87,356.96,270.01,16807.26,10824.35,226.12,10788.84,7979.86,3363.92
10,1188.68,377.32,527.94,2657.59,832.54,56.13,2001.02,4131.27,2922.22,1507.33,308.61,285.00,15592.36,11574.56,262.49,10846.84,5948.81,2213.92
11,1166.43,416.31,471.80,4027.42,695.82,54.59,1973.53,3449.06,2007.08,1135.09,362.44,270.79,15483.51,10288.72,340.10,8835.55,7194.81,1481.42
12,1114.12,361.60,479.37,2677.69,1015.47,55.24,2085.61,3753.24,3219.11,1622.77,365.51,257.54,15736.79,11564.60,351.17,10938.28,6068.99,2203.48
13,1162.93,361.04,487.75,1966.72,1059.43,55.50,2282.62,3732.41,2562.52,1313.17,322.89,271.10,14446.02,10932.44,355.56,10161.82,5416.24,2029.95
14,1168.11,426.41,607.56,3534.17,1539.03,54.36,1933.04,3317.98,1097.42,800.23,338.93,396.78,14022.37,8341.96,446.56,7545.46,7668.56,1915.61
15,1121.68,469.22,672.36,2631.57,1537.82,47.50,1897.58,3751.87,1718.88,769.62,360.65,384.84,14345.46,9504.04,364.66,8522.79,6840.81,1552.99
16,1114.97,511.57,327.30,912.73,1917.81,46.12,1851.60,4006.65,2245.70,885.00,330.65,282.94,13825.85,10668.33,336.02,9271.89,5161.15,850.09
17,1062.12,565.09,575.54,2792.43,1697.23,48.23,1602.76,3446.15,1010.07,691.34,353.28,283.31,14099.53,9034.68,429.03,7033.62,7093.91,499.40
18,1152.54,558.06,418.62,2759.78,1853.36,47.09,1577.73,2899.04,1200.58,698.29,335.00,247.56,13329.29,8297.86,382.07,6623.19,7124.46,744.70
19,1144.07,558.61,396.94,1810.48,2142.10,46.60,1803.25,3285.87,856.74,628.71,349.73,247.88,13243.87,8894.71,339.62,6822.45,6448.54,428.11
20,1130.81,582.57,487.61,2076.06,1718.42,46.63,1625.01,3459.10,1314.71,730.56,348.09,261.19,13995.49,9713.72,360.87,7390.57,6390.20,237.60
21,1129.05,559.62,521.76,2177.20,2083.54,46.92,1540.14,3334.35,1267.03,689.77,342.44,258.57,13400.55,8618.40,353.54,7089.86,6860.53,1013.45
22,1088.26,564.43,332.70,1308.02,2006.86,45.03,1594.82,3867.84,1593.74,723.48,291.92,240.00,13630.44,9983.20,300.22,8019.87,5637.22,375.08
23,1079.45,563.45,148.89,1006.36,2104.22,40.84,1621.60,3931.17,2093.57,814.81,275.82,326.95,14074.20,10815.05,268.80,8788.11,5219.02,473.82
24,1122.31,596.61,426.13,1124.56,1664.08,40.79,1873.64,4108.37,1838.05,1048.51,267.05,221.47,14096.29,10881.86,249.12,9090.04,5241.53,643.55
