CW, biomass , hydro , wind off , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gass , hydrop pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWh 
1," 1,207.85 ", 357.33 , 774.98 ," 5,344.12 ", 166.98 , 31.65 ," 2,160.45 "," 2,812.55 "," 1,695.86 "," 1,405.29 ", 226.64 , 380.57 ," 14,067.03 "," 7,781.23 ", 363.11 ," 8,454.72 "," 8,109.55 "," 2,641.52 "
2," 1,212.49 ", 385.42 , 839.77 ," 4,873.31 ", 107.13 , 38.46 ," 2,303.53 "," 3,203.46 "," 2,254.95 "," 1,814.54 ", 296.99 , 394.89 ," 15,660.46 "," 9,840.57 ", 306.38 ," 9,971.36 "," 7,753.56 "," 2,574.31 "
3," 1,212.56 ", 408.81 , 860.31 ," 5,757.19 ", 309.83 , 48.53 ," 2,258.54 "," 2,884.35 "," 2,117.89 "," 1,685.53 ", 257.34 , 358.69 ," 15,788.40 "," 8,861.36 ", 337.06 ," 9,305.00 "," 8,854.57 "," 2,788.66 "
4," 1,228.79 ", 413.29 , 477.37 ," 1,603.19 ", 315.64 , 50.62 ," 2,369.89 "," 3,949.20 "," 3,536.52 "," 2,534.12 ", 361.82 , 377.19 ," 16,141.98 "," 13,746.09 ", 314.08 ," 12,766.93 "," 4,450.72 "," 1,723.89 "
5," 1,213.14 ", 358.39 , 751.99 ," 3,125.81 ", 317.13 , 49.10 ," 2,347.63 "," 3,692.21 "," 3,031.31 "," 2,123.03 ", 306.61 , 372.45 ," 15,849.82 "," 11,655.21 ", 333.42 ," 11,566.63 "," 6,122.18 "," 2,578.95 "
6," 1,212.56 ", 343.75 , 906.40 ," 4,758.86 ", 456.38 , 47.79 ," 2,270.65 "," 3,238.57 "," 2,077.59 "," 1,767.61 ", 276.03 , 379.56 ," 15,898.19 "," 9,776.83 ", 339.93 ," 9,733.98 "," 8,001.77 "," 2,462.60 "
7," 1,218.48 ", 377.10 , 844.71 ," 4,087.16 ", 805.57 , 46.43 ," 2,273.63 "," 3,416.50 "," 1,930.35 "," 1,606.07 ", 282.71 , 419.67 ," 15,490.06 "," 9,752.88 ", 333.85 ," 9,646.22 "," 7,662.16 "," 2,163.67 "
8," 1,223.25 ", 382.03 , 762.75 ," 2,666.16 ", 943.53 , 47.79 ," 2,337.66 "," 4,085.24 "," 1,940.18 "," 1,568.14 ", 250.55 , 455.74 ," 15,112.45 "," 10,740.34 ", 325.89 ," 10,386.95 "," 6,276.06 "," 1,982.29 "
9," 1,213.09 ", 423.78 , 323.68 ," 1,760.17 "," 1,095.25 ", 47.69 ," 2,338.55 "," 3,903.53 "," 1,945.85 "," 1,510.81 ", 263.89 , 412.49 ," 14,762.71 "," 11,583.90 ", 309.51 ," 10,111.21 "," 5,127.55 ", 971.98 
10," 1,196.41 ", 437.04 ," 1,125.57 "," 7,386.64 ", 731.75 , 43.43 ," 2,118.79 "," 2,002.40 ", 716.18 ," 1,088.67 ", 321.13 , 413.08 ," 14,902.02 "," 5,658.36 ", 423.37 ," 6,339.10 "," 11,241.98 "," 2,641.14 "
11," 1,166.93 ", 475.91 ," 1,060.86 "," 7,022.73 ", 643.11 , 45.26 ," 2,287.16 "," 1,937.33 ", 726.03 ," 1,014.17 ", 367.47 , 330.22 ," 15,127.52 "," 6,401.14 ", 344.33 ," 6,294.90 "," 10,782.28 "," 2,281.37 "
12," 1,185.11 ", 486.78 , 727.34 ," 2,971.76 "," 1,467.21 ", 44.50 ," 2,280.54 "," 3,297.39 "," 1,480.82 "," 1,451.64 ", 284.03 , 320.96 ," 14,731.22 "," 9,565.23 ", 335.04 ," 8,831.35 "," 7,166.73 "," 1,686.01 "
13," 1,204.10 ", 443.34 , 645.40 ," 2,167.49 "," 1,348.65 ", 45.95 ," 2,324.72 "," 3,665.38 "," 1,117.33 "," 1,357.49 ", 262.74 , 336.26 ," 14,415.58 "," 10,254.38 ", 324.10 ," 8,801.18 "," 6,117.66 ", 935.31 
14," 1,205.06 ", 458.77 , 470.39 ," 2,042.61 "," 1,555.53 ", 43.49 ," 2,320.85 "," 3,626.58 "," 1,429.75 "," 1,453.24 ", 313.41 , 293.60 ," 14,309.40 "," 10,241.17 ", 336.90 ," 9,124.02 "," 6,089.26 "," 1,248.56 "
