CW, biomass , hydro , wind off , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gass , hydro pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWh 
1," 1,240.99 ", 347.57 ," 1,221.35 "," 4,483.12 ", 317.89 , 54.58 ," 1,953.54 "," 2,231.43 ", 649.74 ," 1,205.24 ", 274.58 , 393.16 ," 13,301.38 "," 7,279.36 ", 392.45 ," 6,433.11 "," 7,940.06 "," 1,458.24 "
2," 1,238.55 ", 349.83 ," 1,118.21 "," 3,994.21 ", 267.96 , 53.72 ," 1,967.02 "," 2,753.19 "," 1,476.21 "," 1,897.00 ", 279.72 , 388.45 ," 14,983.52 "," 9,603.45 ", 282.54 ," 8,481.87 "," 7,302.22 "," 1,330.54 "
3," 1,210.83 ", 341.22 ," 1,253.10 "," 5,529.21 ", 469.24 , 53.29 ," 1,938.42 "," 2,466.73 "," 1,188.28 "," 1,636.81 ", 309.39 , 393.18 ," 15,567.31 "," 8,316.12 ", 341.68 ," 7,623.42 "," 9,166.27 "," 1,663.24 "
4," 1,245.36 ", 347.84 , 790.87 ," 1,578.17 ", 402.35 , 54.97 ," 2,012.96 "," 3,518.32 "," 2,827.69 "," 2,812.47 ", 326.06 , 371.07 ," 15,558.49 "," 12,787.40 ", 298.54 ," 11,542.51 "," 4,745.60 "," 1,243.95 "
5," 1,229.95 ", 339.20 ," 1,231.13 "," 6,334.64 ", 360.37 , 52.10 ," 1,859.77 "," 2,016.91 "," 1,023.58 "," 1,553.23 ", 318.13 , 388.35 ," 15,739.97 "," 7,814.11 ", 391.90 ," 6,841.84 "," 9,865.52 "," 1,581.90 "
6," 1,227.35 ", 462.44 , 808.42 ," 4,054.94 ", 597.70 , 51.30 ," 1,953.65 "," 2,568.98 "," 1,187.18 "," 1,901.23 ", 339.87 , 368.22 ," 15,481.21 "," 10,020.43 ", 341.17 ," 7,979.27 "," 7,542.02 ", 704.17 
7," 1,208.95 ", 455.70 ," 1,083.63 "," 6,818.26 ", 613.40 , 49.40 ," 1,810.25 "," 1,618.04 ", 849.49 ," 1,291.53 ", 332.55 , 314.23 ," 15,806.62 "," 7,291.60 ", 369.91 ," 5,883.55 "," 10,561.89 "," 1,357.76 "
8," 1,211.03 ", 429.09 ," 1,289.36 "," 7,804.63 ", 649.66 , 47.07 ," 1,774.91 "," 1,329.47 ", 614.12 ," 1,143.52 ", 314.42 , 305.69 ," 15,602.73 "," 5,859.37 ", 390.36 ," 5,167.72 "," 11,745.25 "," 1,766.37 "
9," 1,220.13 ", 458.17 ," 1,067.97 "," 5,831.67 ", 577.68 , 49.26 ," 1,900.49 "," 1,846.00 ", 784.28 ," 1,556.35 ", 353.06 , 319.42 ," 15,230.16 "," 7,753.16 ", 346.50 ," 6,406.55 "," 9,557.94 "," 1,282.86 "
10," 1,201.01 ", 450.75 , 633.20 ," 3,556.31 ", 798.02 , 52.41 ," 1,974.82 "," 2,557.14 "," 1,489.12 "," 2,016.67 ", 362.70 , 361.10 ," 14,955.42 "," 9,968.18 ", 340.39 ," 8,398.84 "," 7,054.40 ", 934.48 
11," 1,190.79 ", 457.04 ," 1,145.00 "," 5,664.96 "," 1,004.31 ", 50.50 ," 1,899.22 "," 1,533.76 ", 806.49 ," 1,381.70 ", 348.18 , 347.78 ," 15,163.19 "," 7,349.22 ", 371.71 ," 5,968.95 "," 9,860.79 ", 994.35 
12," 1,199.50 ", 437.39 , 876.93 ," 2,840.76 "," 1,449.95 ", 46.84 ," 1,880.13 "," 2,304.90 "," 1,025.50 "," 1,421.91 ", 307.69 , 344.03 ," 14,185.11 "," 9,017.84 ", 332.43 ," 6,976.46 "," 7,159.06 ", 260.93 
13," 1,204.95 ", 406.03 , 911.47 ," 3,836.69 "," 2,225.48 ", 48.38 ," 1,592.25 "," 1,920.15 ", 512.40 ," 1,012.32 ", 333.46 , 343.88 ," 13,688.39 "," 6,715.06 ", 373.06 ," 5,381.01 "," 8,966.47 "," 1,015.81 "
14," 1,208.98 ", 393.99 , 939.07 ," 2,768.14 "," 1,755.44 ", 49.94 ," 1,634.14 "," 2,038.05 ", 473.52 ," 1,324.30 ", 359.07 , 330.79 ," 13,636.92 "," 8,174.56 ", 359.34 ," 5,800.79 "," 7,474.64 ", 60.51 
15," 1,190.32 ", 363.50 , 462.09 ," 1,882.47 "," 2,375.20 ", 42.20 ," 1,790.76 "," 1,619.02 ", 398.44 ," 1,159.24 ", 348.38 , 343.53 ," 12,313.61 "," 7,594.14 ", 420.29 ," 5,310.99 "," 6,664.17 ",-125.30 
16," 1,165.70 ", 378.45 , 669.91 ," 2,134.68 "," 2,155.68 ", 42.56 ," 1,570.35 "," 1,203.23 ", 470.48 ," 1,083.66 ", 341.75 , 344.82 ," 12,181.96 "," 7,222.04 ", 412.15 ," 4,672.53 "," 6,888.73 ",-510.01 
17," 1,168.68 ", 413.28 , 770.10 ," 3,770.84 "," 2,484.22 ", 40.14 ," 1,577.44 "," 1,076.24 ", 481.35 , 909.26 , 363.63 , 340.07 ," 12,859.18 "," 5,834.35 ", 458.21 ," 4,384.37 "," 9,010.88 ", 617.66 
18," 1,175.01 ", 442.28 , 354.91 ," 2,097.49 "," 1,702.07 ", 41.03 ," 1,610.71 "," 1,636.71 ", 479.60 ," 1,286.36 ", 319.41 , 342.79 ," 12,295.68 "," 8,141.53 ", 387.31 ," 5,356.16 "," 6,132.21 ",-726.50 
19," 1,184.09 ", 464.52 , 285.24 ," 1,298.89 "," 2,220.39 ", 45.03 ," 1,559.71 "," 1,795.56 ", 450.72 ," 1,563.06 ", 304.27 , 370.12 ," 12,676.48 "," 8,872.27 ", 362.84 ," 5,739.17 "," 5,802.43 ","-1,217.04 "
20," 1,192.16 ", 522.81 , 787.33 ," 2,405.17 "," 1,799.31 ", 45.55 ," 1,290.47 "," 1,506.95 ", 627.76 ," 1,401.42 ", 298.57 , 370.90 ," 13,019.46 "," 8,027.99 ", 346.08 ," 5,197.49 "," 7,050.89 ",-859.39 
21," 1,177.38 ", 489.30 , 668.89 ," 1,791.42 "," 2,136.52 ", 38.97 ," 1,275.23 "," 1,342.52 ", 547.89 ," 1,321.71 ", 342.86 , 353.82 ," 12,173.45 "," 7,576.97 ", 354.77 ," 4,841.16 "," 6,645.34 ",-744.16 
22," 1,189.24 ", 461.86 , 391.44 ," 2,206.34 "," 2,273.72 ", 36.67 ," 1,566.53 "," 1,345.40 ", 529.33 ," 1,545.08 ", 342.53 , 325.08 ," 12,700.48 "," 7,829.31 ", 356.45 ," 5,311.42 "," 6,901.80 ",-585.05 
23," 1,172.64 ", 428.93 , 714.83 ," 2,311.55 "," 2,152.45 ", 37.46 ," 1,887.13 "," 1,324.24 ", 475.05 ," 1,371.89 ", 302.49 , 265.42 ," 12,381.45 "," 7,202.98 ", 356.56 ," 5,323.74 "," 7,120.36 ", 184.23 
24," 1,095.41 ", 520.65 , 587.32 ," 1,407.98 "," 1,722.55 ", 37.45 ," 1,887.96 "," 1,864.32 ", 425.67 ," 1,810.32 ", 232.67 , 235.51 ," 12,368.14 "," 8,650.62 ", 255.89 ," 6,223.77 "," 5,604.03 ",-188.33 
25," 1,079.81 ", 572.72 , 282.60 ," 1,310.37 "," 1,598.04 ", 37.87 ," 1,546.80 "," 2,553.10 ", 574.73 ," 2,084.35 ", 230.93 , 275.53 ," 12,766.73 "," 9,576.04 ", 211.92 ," 7,034.52 "," 5,112.35 ",-357.57 
26," 1,114.63 ", 564.45 , 276.96 ," 1,315.42 "," 2,548.03 ", 37.20 ," 1,311.53 "," 2,436.72 ", 558.16 ," 1,979.51 ", 238.39 , 249.62 ," 12,776.55 "," 8,636.48 ", 230.50 ," 6,535.54 "," 6,095.08 ", 1.97 
27," 1,116.89 ", 577.84 , 725.37 ," 3,024.46 "," 2,028.36 ", 36.72 ," 1,271.67 "," 1,861.11 ", 441.27 ," 1,661.66 ", 302.57 , 228.11 ," 13,005.10 "," 7,227.24 ", 332.86 ," 5,463.82 "," 7,812.23 ", 376.51 
28," 1,116.04 ", 550.58 , 699.43 ," 2,985.72 "," 1,898.14 ", 36.84 ," 1,220.62 "," 1,958.01 ", 569.56 ," 1,765.48 ", 292.14 , 281.53 ," 13,225.78 "," 7,642.80 ", 353.79 ," 5,795.20 "," 7,578.89 ", 239.20 
29," 1,135.23 ", 529.78 , 176.80 , 560.89 ," 2,021.68 ", 37.49 ," 1,356.91 "," 2,430.27 ", 794.88 ," 2,147.13 ", 280.52 , 320.73 ," 12,719.82 "," 9,960.76 ", 287.78 ," 7,049.93 "," 4,742.39 ",-879.21 
30," 1,124.40 ", 506.16 , 361.36 ," 1,067.57 "," 2,276.40 ", 39.98 ," 1,614.17 "," 2,306.55 ", 401.56 ," 2,163.07 ", 265.19 , 352.58 ," 12,604.13 "," 8,899.17 ", 326.89 ," 6,837.93 "," 5,641.05 ",-239.80 
31," 1,111.16 ", 458.44 , 841.75 ," 2,075.77 "," 2,288.02 ", 36.82 ," 1,597.15 "," 1,924.47 ", 384.65 ," 1,906.89 ", 314.87 , 352.57 ," 12,744.70 "," 7,539.51 ", 384.61 ," 6,165.73 "," 7,126.82 ", 299.63 
32," 1,111.95 ", 498.78 , 301.47 , 863.67 ," 2,104.55 ", 36.23 ," 1,748.27 "," 2,592.08 ", 452.69 ," 2,182.93 ", 311.59 , 335.38 ," 12,574.23 "," 9,304.85 ", 349.07 ," 7,311.34 "," 5,228.24 ",-248.42 
33," 1,099.48 ", 509.54 , 615.17 ," 1,301.08 "," 1,955.06 ", 35.75 ," 1,931.62 "," 2,849.72 ", 775.11 ," 1,830.33 ", 319.78 , 330.41 ," 13,210.40 "," 9,339.42 ", 351.32 ," 7,717.18 "," 5,835.86 ", 130.29 
34," 1,094.41 ", 476.91 , 515.33 ," 1,529.26 "," 1,875.28 ", 36.63 ," 1,935.13 "," 2,689.42 ", 828.21 ," 1,658.49 ", 320.25 , 312.02 ," 13,150.80 "," 9,231.24 ", 329.24 ," 7,423.26 "," 5,848.08 ",-49.51 
35," 1,111.75 ", 434.12 , 666.64 ," 3,461.86 "," 1,525.17 ", 36.85 ," 1,916.76 "," 2,400.45 ", 825.00 ," 1,337.32 ", 245.16 , 301.96 ," 13,250.81 "," 7,597.50 ", 327.29 ," 6,781.50 "," 7,481.55 "," 1,188.42 "
36," 1,112.30 ", 544.94 , 593.02 ," 1,380.39 "," 1,422.79 ", 42.49 ," 1,972.66 "," 2,981.31 "," 1,251.04 "," 1,639.12 ", 280.24 , 308.37 ," 13,160.78 "," 9,764.90 ", 279.32 ," 8,152.51 "," 5,376.15 ", 581.48 
37," 1,114.11 ", 506.88 , 778.67 ," 1,666.50 "," 1,814.74 ", 44.38 ," 1,965.88 "," 2,780.91 "," 1,278.34 "," 1,531.81 ", 269.67 , 316.08 ," 13,368.28 "," 9,108.71 ", 301.66 ," 7,873.02 "," 6,194.95 ", 725.32 
38," 1,106.16 ", 434.26 , 517.13 ," 1,677.28 "," 1,979.66 ", 42.97 ," 1,911.37 "," 2,561.42 "," 1,507.97 "," 1,612.95 ", 268.85 , 336.74 ," 13,356.11 "," 9,182.35 ", 312.40 ," 7,930.46 "," 6,026.32 ", 690.11 
39," 1,110.18 ", 426.77 , 519.97 ," 1,972.40 "," 1,373.18 ", 45.97 ," 1,644.32 "," 2,478.51 "," 1,252.48 "," 1,753.82 ", 287.06 , 357.05 ," 13,389.43 "," 9,524.17 ", 328.60 ," 7,486.18 "," 5,735.51 ",-119.20 
40," 1,091.97 ", 495.36 , 813.19 ," 1,906.82 "," 1,061.46 ", 47.89 ," 1,656.97 "," 2,760.21 "," 1,461.73 "," 1,638.99 ", 309.56 , 389.10 ," 13,673.25 "," 9,892.09 ", 320.58 ," 7,907.01 "," 5,726.25 ", 136.29 
41," 1,119.63 ", 490.07 ," 1,161.45 "," 4,203.30 ", 847.34 , 46.61 ," 1,638.03 "," 2,743.04 ", 774.78 ," 1,416.85 ", 292.59 , 402.32 ," 14,293.02 "," 8,081.20 ", 376.37 ," 6,975.01 "," 8,160.99 "," 1,151.55 "
42," 1,164.11 ", 465.86 , 681.81 ," 2,047.42 ", 640.87 , 51.15 ," 1,672.98 "," 3,561.16 "," 1,845.98 "," 1,954.02 ", 295.78 , 417.42 ," 14,262.56 "," 10,892.79 ", 305.84 ," 9,451.55 "," 5,347.00 ", 743.77 
43," 1,183.33 ", 419.88 ," 1,034.95 "," 3,672.54 ", 723.76 , 48.85 ," 1,724.22 "," 3,307.91 "," 1,298.67 "," 1,405.00 ", 300.44 , 386.75 ," 14,439.89 "," 9,008.97 ", 352.90 ," 8,122.55 "," 7,383.74 "," 1,257.67 "
44," 1,175.39 ", 465.97 ," 1,178.72 "," 4,638.10 ", 555.59 , 47.28 ," 1,889.25 "," 3,088.14 ", 700.79 ," 1,109.12 ", 270.54 , 388.21 ," 14,557.39 "," 8,185.30 ", 351.52 ," 7,175.51 "," 8,331.58 "," 1,282.80 "
45," 1,130.04 ", 464.76 , 964.31 ," 3,473.13 ", 687.42 , 48.74 ," 1,642.46 "," 3,007.05 "," 1,286.90 "," 1,636.21 ", 295.66 , 408.86 ," 14,602.24 "," 9,477.70 ", 356.83 ," 7,981.48 "," 7,064.05 ", 843.53 
46," 1,184.56 ", 410.48 , 524.89 ," 1,470.80 ", 538.33 , 55.88 ," 1,698.12 "," 3,792.61 "," 1,975.42 "," 2,206.41 ", 276.70 , 394.74 ," 14,440.72 "," 11,907.01 ", 249.03 ," 10,067.30 "," 4,461.64 ", 520.54 
47," 1,158.09 ", 371.06 ," 1,292.02 "," 5,190.69 ", 518.56 , 53.13 ," 1,607.31 "," 2,733.73 "," 1,004.97 "," 1,464.48 ", 245.49 , 376.71 ," 15,049.23 "," 8,048.25 ", 269.95 ," 7,187.19 "," 8,829.03 "," 1,483.52 "
48," 1,168.97 ", 374.64 , 877.64 ," 2,332.08 ", 380.30 , 58.13 ," 1,651.64 "," 3,706.98 "," 2,413.28 "," 2,732.30 ", 270.41 , 368.53 ," 15,279.80 "," 11,690.08 ", 281.01 ," 10,872.73 "," 5,462.17 "," 1,607.83 "
49," 1,158.89 ", 353.82 , 796.09 ," 2,125.83 ", 262.04 , 57.74 ," 1,899.68 "," 3,648.21 "," 2,464.19 "," 2,863.65 ", 286.71 , 387.22 ," 15,603.07 "," 12,419.39 ", 334.43 ," 11,262.95 "," 5,041.12 "," 1,292.29 "
50," 1,173.52 ", 373.21 , 665.25 ," 1,654.09 ", 165.50 , 56.29 ," 2,000.93 "," 3,847.47 "," 2,546.52 "," 2,903.97 ", 290.46 , 418.18 ," 15,534.42 "," 13,049.85 ", 316.92 ," 11,717.06 "," 4,378.34 "," 1,002.94 "
51," 1,160.43 ", 335.93 ," 1,128.56 "," 3,145.00 ", 302.84 , 55.60 ," 1,969.30 "," 3,324.92 "," 1,504.71 "," 2,011.43 ", 265.11 , 407.96 ," 14,961.45 "," 10,385.36 ", 320.83 ," 9,218.31 "," 6,393.46 "," 1,180.53 "
52," 1,169.86 ", 333.71 ," 1,056.95 "," 3,886.14 ", 215.48 , 52.42 ," 1,971.47 "," 1,858.02 ", 635.20 ," 1,286.13 ", 277.09 , 392.40 ," 12,826.07 "," 7,667.79 ", 338.65 ," 6,143.21 "," 6,991.65 ", 863.47 
