CW, biomass , hydro , wind off , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gas , hydro pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWh 
1," 1,181.91 ", 291.36 , 158.88 , 714.86 , 194.86 , 57.79 ," 2,035.91 "," 3,016.04 ", 873.38 ," 1,780.11 ", 217.74 , 416.72 ," 11,835.47 "," 10,767.13 ", 300.32 ," 8,122.14 "," 2,817.40 ",-115.72 
2," 1,175.44 ", 322.17 , 752.59 ," 1,847.38 ", 85.73 , 57.21 ," 1,982.25 "," 3,456.47 "," 2,138.71 "," 2,389.81 ", 334.67 , 423.02 ," 14,899.30 "," 12,213.90 ", 307.74 ," 10,390.25 "," 4,575.18 ", 991.81 
3," 1,169.75 ", 321.42 , 913.15 ," 3,724.22 ", 200.16 , 56.28 ," 1,974.22 "," 3,435.50 "," 1,877.43 "," 2,193.04 ", 291.10 , 392.77 ," 16,073.28 "," 11,236.00 ", 337.89 ," 9,872.95 "," 6,676.07 "," 1,366.53 "
4," 1,163.91 ", 322.07 ," 1,068.54 "," 5,123.07 ", 264.46 , 55.00 ," 1,959.33 "," 3,175.56 "," 1,389.10 "," 1,733.47 ", 268.54 , 408.36 ," 15,908.89 "," 9,453.09 ", 330.28 ," 8,665.81 "," 8,265.59 "," 1,852.08 "
5," 1,163.68 ", 369.76 , 541.49 ," 2,533.39 ", 242.83 , 56.49 ," 2,028.75 "," 3,844.91 "," 1,826.95 "," 2,161.66 ", 312.03 , 400.59 ," 15,691.20 "," 12,373.76 ", 301.07 ," 10,262.86 "," 5,219.68 ", 807.60 
6," 1,166.85 ", 379.16 ," 1,022.16 "," 3,072.42 ", 335.40 , 54.71 ," 1,976.05 "," 3,189.08 "," 1,410.06 "," 1,972.15 ", 300.34 , 386.99 ," 15,602.67 "," 11,172.98 ", 305.26 ," 8,934.32 "," 6,331.04 ", 784.20 
7," 1,150.50 ", 433.93 , 849.98 ," 2,772.37 ", 298.80 , 55.26 ," 1,998.88 "," 3,249.86 "," 1,957.10 "," 2,514.47 ", 318.29 , 407.81 ," 16,256.23 "," 12,335.39 ", 305.72 ," 10,128.11 "," 5,879.13 ", 862.07 
8," 1,139.38 ", 387.41 ," 1,267.38 "," 3,977.76 ", 823.55 , 54.90 ," 1,984.89 "," 2,785.51 "," 1,007.63 "," 1,922.36 ", 248.42 , 385.52 ," 15,692.61 "," 9,624.25 ", 290.84 ," 8,085.92 "," 7,898.80 "," 1,383.16 "
9," 1,117.92 ", 370.76 , 968.67 ," 2,800.26 "," 1,348.99 ", 49.17 ," 1,995.84 "," 2,370.19 ", 648.03 ," 1,688.11 ", 256.76 , 374.29 ," 14,688.54 "," 9,570.93 ", 324.54 ," 7,076.45 "," 6,912.53 ", 49.08 
10," 1,163.65 ", 377.16 , 351.50 ," 1,385.62 "," 1,409.89 ", 53.11 ," 2,021.90 "," 3,342.80 "," 1,173.91 "," 2,259.43 ", 292.46 , 403.08 ," 14,849.68 "," 11,702.99 ", 306.44 ," 9,201.12 "," 5,033.40 ", 204.52 
11," 1,150.15 ", 362.01 , 946.68 ," 4,798.26 "," 1,141.93 ", 52.20 ," 1,937.31 "," 2,407.50 "," 1,144.02 "," 1,732.06 ", 261.00 , 390.26 ," 15,448.31 "," 8,561.80 ", 317.00 ," 7,611.14 "," 8,712.23 "," 1,545.78 "
12," 1,161.36 ", 380.78 , 745.07 ," 3,074.02 "," 1,082.47 ", 54.89 ," 1,952.39 "," 2,481.39 "," 1,261.18 "," 1,921.77 ", 278.21 , 373.37 ," 15,256.37 "," 10,355.16 ", 276.91 ," 7,990.11 "," 6,776.80 ", 297.58 
13," 1,109.32 ", 343.98 , 911.76 ," 2,844.77 "," 1,456.98 ", 51.34 ," 1,643.74 "," 2,665.55 "," 1,272.03 "," 2,057.39 ", 257.77 , 415.42 ," 14,896.82 "," 9,683.59 ", 324.56 ," 8,054.12 "," 6,975.92 ", 731.54 
14," 1,146.40 ", 385.12 ," 1,000.72 "," 2,744.70 "," 2,074.96 ", 46.38 ," 1,636.55 "," 1,809.96 ", 660.18 ," 1,385.50 ", 313.36 , 398.29 ," 13,685.11 "," 7,865.06 ", 371.37 ," 5,890.48 "," 7,711.63 ", 186.06 
15," 1,155.23 ", 363.82 , 920.85 ," 4,595.66 "," 1,478.83 ", 42.18 ," 1,631.01 "," 1,828.28 ", 850.08 ," 1,409.34 ", 318.61 , 373.83 ," 14,346.70 "," 7,351.67 ", 361.98 ," 6,092.55 "," 8,875.19 "," 1,005.92 "
16," 1,151.62 ", 360.91 , 562.55 ," 2,168.07 "," 1,655.19 ", 44.91 ," 1,724.44 "," 2,996.51 "," 1,656.03 "," 2,234.32 ", 207.74 , 390.24 ," 14,816.46 "," 10,430.94 ", 260.01 ," 9,001.55 "," 6,151.00 ", 877.23 
17," 1,142.42 ", 318.04 , 448.95 ," 1,824.46 "," 2,180.72 ", 43.64 ," 1,944.78 "," 2,680.37 "," 1,384.34 "," 1,872.24 ", 224.63 , 382.50 ," 14,255.77 "," 9,801.95 ", 253.95 ," 8,264.24 "," 6,182.86 ", 565.16 
18," 1,155.26 ", 357.06 , 313.10 ," 1,783.24 "," 2,245.19 ", 44.52 ," 1,890.56 "," 2,692.67 "," 1,159.07 "," 1,592.03 ", 239.01 , 383.88 ," 13,802.53 "," 9,461.31 ", 274.33 ," 7,718.23 "," 6,137.38 ", 371.91 
19," 1,147.63 ", 459.42 , 626.60 ," 4,399.26 "," 1,821.02 ", 45.53 ," 1,614.83 "," 1,801.32 ", 963.22 ," 1,223.58 ", 237.23 , 396.97 ," 14,431.66 "," 7,585.09 ", 279.24 ," 5,999.92 "," 8,736.69 ", 650.93 
20," 1,170.77 ", 527.14 , 306.20 ," 2,076.80 "," 1,820.86 ", 42.42 ," 1,632.07 "," 1,948.53 ", 771.84 ," 1,042.72 ", 212.12 , 398.87 ," 13,102.97 "," 8,899.43 ", 257.84 ," 5,794.04 "," 6,156.32 ","-1,004.61 "
21," 1,154.27 ", 523.37 , 391.96 ," 2,876.93 "," 2,023.52 ", 41.61 ," 1,869.45 "," 1,746.52 ", 798.70 , 992.94 , 228.18 , 390.10 ," 13,817.06 "," 8,525.02 ", 282.50 ," 5,797.70 "," 7,239.85 ",-654.00 
22," 1,182.22 ", 546.68 , 552.64 ," 3,302.57 "," 1,983.56 ", 37.45 ," 1,944.48 "," 2,080.53 ", 755.74 , 943.81 , 238.59 , 343.49 ," 13,305.91 "," 7,467.45 ", 256.55 ," 6,068.05 "," 7,843.71 ", 794.20 
23," 1,097.19 ", 546.40 , 301.60 ," 1,282.48 "," 2,776.08 ", 36.50 ," 1,929.63 "," 2,364.75 ", 618.50 ," 1,118.27 ", 249.74 , 370.29 ," 13,037.58 "," 8,677.77 ", 269.77 ," 6,401.45 "," 6,289.99 ",-358.41 
24," 1,084.32 ", 592.31 , 257.17 ," 1,041.00 "," 2,312.13 ", 35.28 ," 1,830.72 "," 2,721.51 "," 1,038.71 "," 1,643.95 ", 246.06 , 376.94 ," 13,613.15 "," 10,003.18 ", 236.35 ," 7,611.82 "," 5,568.28 ",-494.64 
25," 1,052.19 ", 578.91 , 421.61 ," 1,321.04 "," 3,043.82 ", 33.93 ," 1,586.27 "," 2,691.32 "," 1,172.30 "," 1,477.33 ", 274.94 , 386.11 ," 13,987.12 "," 9,200.98 ", 286.43 ," 7,313.33 "," 6,726.44 ",-37.48 
26," 1,029.81 ", 575.13 , 338.40 ," 1,064.18 "," 2,128.28 ", 33.87 ," 1,637.64 "," 3,087.22 "," 1,282.07 "," 1,629.29 ", 236.45 , 364.71 ," 13,749.60 "," 10,219.10 ", 248.54 ," 8,000.93 "," 5,406.11 ",-329.41 
27," 1,036.32 ", 589.27 , 350.99 ," 1,176.75 "," 2,112.50 ", 35.19 ," 1,635.14 "," 2,995.07 "," 1,288.86 "," 1,560.42 ", 219.91 , 351.59 ," 13,819.47 "," 10,179.53 ", 223.74 ," 7,831.08 "," 5,520.93 ",-264.64 
