CW,biomass,hydro,windoff,windon,solar,otherrenewable,nuclear,browncoal,hardcoal,fossilgas,hydropumpedstorage,otherconventional,totalgridload,residualload,reversehydropumped,sumconventional,sumrenewable,netexpMWh
1,1000.78,366.07,1375.34,4117.02,358.75,37.32,835.73,1224.55,686.85,688.64,308.53,371.55,11175.24,5324.45,338.74,3807.32,7563.82,702.26
2,1016.90,357.45,1332.85,5557.27,261.92,45.74,977.72,2692.17,1798.85,1202.91,282.24,369.70,14947.97,7796.21,363.00,7041.34,8854.35,2050.75
3,1051.68,348.62,752.08,2393.78,355.04,51.22,923.90,3458.92,2699.67,2370.89,313.13,332.93,15782.63,12282.02,318.99,9786.31,5265.55,378.80
4,1055.27,312.37,1194.14,4782.05,343.06,51.12,1013.26,3107.87,2465.10,1864.80,286.67,372.75,16201.55,9882.62,358.96,8823.79,8024.69,1533.77
5,1055.55,298.96,890.45,4203.98,324.94,49.25,1014.57,2923.98,2472.37,2145.40,299.78,366.33,15981.20,10562.15,344.97,8922.64,7122.91,1044.57
6,1051.25,256.85,1123.23,6602.47,432.15,44.19,998.85,2457.31,1654.53,1566.70,257.70,369.37,16007.55,7850.05,376.47,7046.75,9767.85,1890.61
7,1052.73,269.14,1121.27,5892.98,690.91,45.95,1001.44,2547.20,1984.10,1501.42,245.84,372.57,15893.11,8188.28,356.36,7406.74,9318.81,1745.07
8,1039.89,280.33,1161.78,7802.26,829.65,42.58,1001.79,1830.93,1581.23,1233.10,289.32,363.43,15723.02,5929.62,417.66,6010.48,11445.81,2095.86
9,1042.16,283.88,1059.84,6901.05,958.61,43.27,1004.57,2475.99,1751.18,1198.65,301.95,379.40,15674.22,6754.98,411.69,6809.78,10590.77,2363.88
10,1058.65,274.38,559.80,1676.31,1741.21,47.82,1008.47,3382.20,2673.00,1769.62,281.32,406.26,15156.02,11178.97,374.50,9239.55,5639.49,871.25
11,1051.90,245.68,591.87,3002.18,2040.26,46.25,1005.52,3003.40,2447.13,1393.91,317.31,402.74,15043.59,9409.55,431.33,8252.69,7295.43,1235.93
