datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2015-04-01T00:00:00;995;461;247;6371;0;32;2369;2479;698;433;367;1321;13513;6895;139;7300;8473
2015-04-01T00:15:00;998;483;246;6246;0;32;2368;2517;661;438;270;1340;13345;6853;134;7324;8275
2015-04-01T00:30:00;997;477;250;6249;0;32;2372;2577;662;444;214;1132;13115;6616;200;7187;8219
2015-04-01T00:45:00;998;471;258;6252;0;32;2399;2646;649;447;138;1163;13029;6520;334;7304;8149
2015-04-01T01:00:00;997;477;259;6184;0;32;2430;2643;627;450;125;1216;12850;6407;269;7366;8074
2015-04-01T01:15:00;998;470;258;6151;0;32;2430;2633;620;451;94;1264;12719;6311;405;7398;8003
2015-04-01T01:30:00;998;479;259;6152;0;32;2430;2622;621;451;87;1260;12640;6230;543;7384;8007
2015-04-01T01:45:00;998;472;259;6176;0;32;2427;2611;621;452;79;1266;12588;6154;548;7377;8016
2015-04-01T02:00:00;998;471;258;6116;0;32;2410;2610;622;448;269;1298;12493;6119;539;7388;8144
2015-04-01T02:15:00;998;474;260;6053;0;32;2398;2623;619;446;244;1267;12488;6176;535;7353;8061
2015-04-01T02:30:00;999;476;265;5897;0;32;2389;2617;622;448;230;1284;12471;6309;534;7360;7899
2015-04-01T02:45:00;1000;481;266;5826;0;32;2395;2627;622;452;101;1170;12566;6475;442;7266;7706
2015-04-01T03:00:00;998;480;269;5805;0;32;2404;2639;628;454;75;1093;12570;6496;493;7218;7659
2015-04-01T03:15:00;1000;495;270;5851;0;32;2414;2640;626;456;91;1100;12636;6515;489;7236;7739
2015-04-01T03:30:00;1005;477;270;5896;0;32;2430;2665;627;455;241;1114;12667;6502;473;7291;7921
2015-04-01T03:45:00;1004;476;270;5839;0;32;2448;2702;632;455;250;1125;12707;6598;528;7362;7871
2015-04-01T04:00:00;1004;497;269;5817;0;32;2458;2757;631;457;75;1195;12861;6775;557;7498;7694
2015-04-01T04:15:00;1001;493;270;5839;0;32;2467;2786;634;459;77;1255;12964;6854;594;7601;7712
