datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2015-08-01T00:00:00;925;380;36;989;0;23;1949;4084;1244;505;138;850;11265;10241;167;8632;2491
2015-08-01T00:15:00;926;378;38;993;0;23;1942;4086;1204;285;100;826;11102;10071;211;8343;2458
2015-08-01T00:30:00;923;376;42;959;0;24;1934;4069;1156;286;158;922;10946;9946;260;8367;2482
2015-08-01T00:45:00;923;372;39;948;0;24;1925;4032;1065;286;156;958;10798;9811;316;8266;2462
2015-08-01T01:00:00;925;380;39;947;0;24;1933;3973;925;288;192;890;10691;9704;164;8009;2507
2015-08-01T01:15:00;926;377;45;953;0;24;1931;3912;852;288;52;917;10528;9531;200;7900;2377
2015-08-01T01:30:00;926;376;44;963;0;24;1934;3879;775;288;118;996;10439;9432;246;7872;2451
2015-08-01T01:45:00;926;371;44;959;0;24;1927;3865;768;288;57;994;10347;9344;297;7842;2381
2015-08-01T02:00:00;926;369;46;959;0;24;1921;3866;771;289;82;1037;10235;9231;225;7884;2406
2015-08-01T02:15:00;925;368;48;962;0;24;1913;3860;756;289;111;1036;10168;9158;264;7854;2438
2015-08-01T02:30:00;927;364;52;971;0;24;1911;3847;755;288;224;1039;10152;9130;304;7840;2562
2015-08-01T02:45:00;926;361;55;1001;0;24;1910;3838;752;288;233;1036;10154;9098;304;7824;2600
2015-08-01T03:00:00;919;361;62;1017;0;24;1915;3825;738;288;247;1010;10096;9017;304;7776;2630
2015-08-01T03:15:00;915;360;67;1036;0;24;1911;3808;735;288;213;947;10011;8909;291;7689;2615
2015-08-01T03:30:00;915;360;71;1050;0;24;1886;3787;737;288;216;948;9966;8846;295;7646;2636
2015-08-01T03:45:00;915;363;71;1076;0;24;1894;3777;736;288;163;927;9944;8796;403;7622;2612
2015-08-01T04:00:00;915;358;74;1096;0;24;1944;3796;732;290;154;870;9963;8794;547;7632;2621
2015-08-01T04:15:00;915;355;76;1111;0;24;1957;3791;736;290;136;854;9951;8765;567;7628;2617
2015-08-01T04:30:00;917;356;79;1111;0;24;1944;3791;734;290;127;859;9964;8774;547;7618;2614
2015-08-01T04:45:00;920;357;83;1104;0;24;1942;3791;733;290;99;803;10036;8849;456;7559;2587
2015-08-01T05:00:00;921;361;88;1093;0;24;1951;3797;733;290;144;801;10136;8956;404;7572;2631
2015-08-01T05:15:00;932;360;88;1094;1;24;1953;3778;727;290;119;801;10078;8897;361;7549;2618
2015-08-01T05:30:00;933;359;88;1110;4;24;1954;3782;728;290;68;811;10026;8825;397;7565;2586
2015-08-01T05:45:00;936;360;89;1114;16;24;1951;3764;724;290;140;821;10083;8864;370;7550;2679
2015-08-01T06:00:00;937;362;96;1113;60;24;1949;3773;718;289;108;833;10307;9039;272;7562;2700
2015-08-01T06:15:00;940;363;101;1098;137;24;1962;3773;729;289;87;825;10405;9070;265;7578;2750
2015-08-01T06:30:00;939;366;105;1095;250;24;1971;3772;747;289;55;838;10602;9152;226;7617;2834
2015-08-01T06:45:00;941;367;112;1077;392;24;1973;3776;764;289;186;859;10805;9225;221;7661;3099
2015-08-01T07:00:00;942;367;112;1033;556;24;1968;3790;773;288;163;870;11097;9396;190;7689;3197
2015-08-01T07:15:00;940;368;108;989;760;24;1975;3792;784;288;48;975;11327;9469;224;7814;3237
2015-08-01T07:30:00;939;376;106;917;990;24;1975;3798;798;289;189;925;11596;9584;131;7785;3541
2015-08-01T07:45:00;937;392;108;795;1235;24;1979;3810;812;289;127;901;11939;9802;69;7791;3618
2015-08-01T08:00:00;936;399;105;664;1462;24;1978;3838;831;288;250;987;12292;10062;40;7922;3840
2015-08-01T08:15:00;935;386;101;550;1725;24;1978;3883;848;288;183;1008;12486;10110;5;8005;3904
2015-08-01T08:30:00;935;378;100;452;2020;24;1979;3924;851;288;402;1001;12721;10149;5;8043;4311
2015-08-01T08:45:00;935;379;97;388;2225;24;1979;3991;835;292;214;1010;12845;10136;4;8107;4262
2015-08-01T09:00:00;936;388;92;347;2493;24;1971;4074;812;292;384;1057;13130;10197;4;8206;4664
2015-08-01T09:15:00;936;385;88;328;2728;24;1963;4088;762;292;601;1046;13295;10152;4;8151;5090
2015-08-01T09:30:00;937;383;85;319;2939;24;1945;4089;756;292;621;993;13419;10076;9;8075;5308
2015-08-01T09:45:00;936;386;85;320;3177;24;1948;4082;731;293;348;974;13528;9947;15;8028;5276
2015-08-01T10:00:00;935;391;83;319;3399;24;1956;4060;719;289;314;918;13560;9760;5;7942;5465
2015-08-01T10:15:00;936;396;81;314;3622;24;1971;4058;718;284;176;922;13647;9630;4;7953;5549
2015-08-01T10:30:00;936;392;79;320;3826;23;1961;4054;716;284;232;890;13715;9490;11;7905;5808
2015-08-01T10:45:00;937;395;77;321;4008;23;1953;4015;711;508;74;888;13768;9362;72;8075;5835
2015-08-01T11:00:00;935;402;73;333;4178;23;1956;3904;717;283;283;822;13805;9221;49;7682;6227
2015-08-01T11:15:00;935;406;68;337;4311;23;1945;3816;716;508;375;812;13897;9182;49;7797;6455
2015-08-01T11:30:00;937;405;63;337;4423;23;1944;3762;715;507;351;819;13939;9116;49;7747;6539
2015-08-01T11:45:00;933;402;57;328;4504;23;1931;3674;709;283;212;809;13832;8943;43;7406;6459
2015-08-01T12:00:00;931;397;55;327;4601;23;1908;3507;710;502;236;810;13632;8649;49;7437;6570
2015-08-01T12:15:00;931;400;52;315;4639;23;1893;3499;706;503;74;827;13493;8487;51;7428;6434
2015-08-01T12:30:00;932;406;47;307;4697;23;1895;3497;700;281;78;799;13396;8345;157;7172;6490
2015-08-01T12:45:00;932;398;43;299;4751;23;1886;3473;694;493;255;754;13263;8170;231;7300;6701
2015-08-01T13:00:00;932;403;39;285;4801;23;1877;3493;690;495;199;792;13108;7983;317;7347;6682
2015-08-01T13:15:00;932;403;35;273;4866;23;1867;3489;682;498;26;777;13053;7879;335;7313;6558
2015-08-01T13:30:00;932;399;32;259;4909;23;1871;3463;678;499;159;876;12983;7784;500;7387;6713
2015-08-01T13:45:00;928;397;27;241;4957;23;1864;3454;670;501;150;856;12921;7696;553;7345;6723
2015-08-01T14:00:00;926;401;24;236;4945;23;1848;3463;672;283;148;876;12889;7684;535;7142;6703
2015-08-01T14:15:00;922;410;24;224;4897;23;1839;3495;669;284;247;854;12904;7759;487;7141;6747
2015-08-01T14:30:00;923;411;20;214;4716;23;1857;3501;668;283;59;871;12855;7905;450;7180;6366
2015-08-01T14:45:00;926;405;17;202;4538;23;1882;3500;667;283;251;906;12703;7947;438;7238;6362
2015-08-01T15:00:00;922;413;15;203;4335;23;1870;3505;665;277;274;735;12653;8100;302;7052;6185
2015-08-01T15:15:00;921;421;11;196;4182;23;1908;3518;663;277;277;699;12659;8270;204;7065;6031
2015-08-01T15:30:00;921;411;10;188;3964;23;1914;3540;669;277;331;773;12596;8435;199;7173;5848
2015-08-01T15:45:00;919;403;8;192;3745;23;1912;3564;662;278;369;840;12476;8532;101;7256;5659
2015-08-01T16:00:00;917;401;7;189;3492;23;1896;3626;654;278;403;855;12429;8741;47;7309;5432
2015-08-01T16:15:00;918;400;6;182;3217;23;1876;3715;684;278;520;847;12339;8935;36;7400;5266
2015-08-01T16:30:00;917;404;6;186;2959;23;1866;3811;697;281;526;863;12353;9203;37;7518;5021
2015-08-01T16:45:00;917;409;6;198;2742;24;1895;3970;736;282;541;859;12365;9420;40;7742;4837
2015-08-01T17:00:00;918;398;7;189;2523;24;1899;4066;768;284;437;889;12519;9800;291;7906;4496
2015-08-01T17:15:00;918;402;8;201;2290;24;1920;4095;821;285;384;901;12608;10111;122;8022;4227
2015-08-01T17:30:00;917;408;9;205;2029;25;1923;4097;854;285;293;943;12642;10399;31;8102;3886
2015-08-01T17:45:00;919;407;9;219;1788;25;1930;4096;901;284;492;899;12606;10590;31;8110;3859
2015-08-01T18:00:00;922;392;10;236;1557;25;1937;4108;936;279;340;935;12613;10810;22;8195;3482
2015-08-01T18:15:00;924;405;11;239;1333;24;1943;4102;1024;279;368;940;12618;11035;14;8288;3304
