datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable;price;priceNeighboringCountry;netExport
2022-08-01T00:00:00;1020;321;784;1536;0;27;989;3014;1672;985;100;186;10450;8131;264;6846;3788;385,06;335,46;-12
2022-08-01T00:15:00;1020;315;798;1578;0;27;987;2987;1700;1018;16;186;10319;7944;385;6878;3754;385,06;335,46;-11
2022-08-01T00:30:00;1014;315;783;1579;0;27;989;2992;1721;942;12;186;10376;8015;514;6830;3730;385,06;335,46;-11
2022-08-01T00:45:00;1019;314;784;1635;0;27;988;2998;1744;912;5;186;10430;8011;714;6828;3784;385,06;335,46;-13
2022-08-01T01:00:00;1020;318;831;1668;0;27;990;3003;1755;848;31;188;10291;7793;528;6784;3895;344,06;299,57;327
2022-08-01T01:15:00;1021;315;872;1691;0;27;990;3011;1761;817;18;188;10264;7701;528;6767;3944;344,06;299,57;327
2022-08-01T01:30:00;1021;313;905;1733;0;27;990;3006;1760;820;18;188;10266;7628;623;6764;4017;344,06;299,57;318
2022-08-01T01:45:00;1021;311;912;1788;0;27;989;2997;1777;821;12;188;10263;7564;795;6772;4071;344,06;299,57;325
2022-08-01T02:00:00;1018;310;898;1819;0;27;991;3006;1807;813;11;188;10240;7523;790;6805;4083;338,81;296,5;293
2022-08-01T02:15:00;1019;308;908;1821;0;27;991;3000;1821;813;4;188;10387;7659;877;6813;4087;338,81;296,5;294
2022-08-01T02:30:00;1018;315;869;1793;0;27;992;2999;1824;819;29;188;10398;7736;942;6822;4051;338,81;296,5;294
2022-08-01T02:45:00;1017;306;843;1818;0;27;992;3000;1819;823;5;188;10346;7685;956;6822;4016;338,81;296,5;294
2022-08-01T03:00:00;1017;310;816;1853;0;27;992;2991;1784;797;34;188;10427;7759;899;6752;4057;320,86;281,48;190
2022-08-01T03:15:00;1018;309;785;1810;0;27;992;2984;1766;804;18;188;10435;7841;874;6734;3967;320,86;281,48;192
2022-08-01T03:30:00;1018;314;783;1769;0;27;992;2987;1764;812;25;188;10484;7933;840;6743;3936;320,86;281,48;192
2022-08-01T03:45:00;1017;308;802;1781;0;27;992;2988;1777;830;6;188;10450;7867;885;6775;3941;320,86;281,48;195
2022-08-01T04:00:00;1016;308;795;1770;0;27;993;2999;1827;874;7;186;10494;7930;799;6879;3923;329,72;290,13;207
2022-08-01T04:15:00;1016;308;784;1755;0;27;992;3016;1852;879;7;186;10617;8079;715;6925;3897;329,72;290,13;208
2022-08-01T04:30:00;1016;307;772;1774;0;27;992;3013;1855;883;5;186;10627;8081;543;6929;3901;329,72;290,13;208
2022-08-01T04:45:00;1015;316;751;1754;0;27;992;3050;1860;889;29;186;10677;8172;512;6977;3892;329,72;290,13;208
2022-08-01T05:00:00;1013;305;718;1753;0;27;992;3167;1870;1045;14;183;10954;8484;556;7257;3830;380;327,03;-3
2022-08-01T05:15:00;1013;305;705;1750;1;27;992;3181;1864;1102;27;183;11022;8566;501;7322;3828;380;327,03;6
2022-08-01T05:30:00;1014;322;706;1729;5;27;993;3199;1878;1136;50;183;11251;8812;349;7389;3853;380;327,03;6
2022-08-01T05:45:00;1012;328;688;1770;19;27;993;3190;1887;1181;36;183;11436;8960;167;7434;3880;380;327,03;8
2022-08-01T06:00:00;1012;310;655;1780;49;27;992;3143;1911;1263;45;184;12001;9517;198;7493;3878;429,66;370,49;-961
2022-08-01T06:15:00;1012;325;634;1778;127;27;993;3137;1904;1273;72;184;12336;9798;50;7491;3975;429,66;370,49;-947
2022-08-01T06:30:00;1012;335;628;1735;244;27;994;3138;1901;1340;110;184;12612;10005;24;7557;4091;429,66;370,49;-943
2022-08-01T06:45:00;1011;345;613;1683;395;27;994;3165;1893;1385;209;184;12903;10212;6;7621;4283;429,66;370,49;-942
2022-08-01T07:00:00;1014;322;572;1616;588;27;994;3190;1875;1461;214;184;13256;10480;8;7704;4353;467,91;432,67;-1.118
2022-08-01T07:15:00;1014;330;550;1565;808;27;995;3199;1871;1543;340;184;13490;10568;19;7792;4634;467,91;432,67;-1.106
2022-08-01T07:30:00;1014;350;525;1521;1062;27;995;3199;1871;1580;376;184;13841;10734;20;7829;4875;467,91;432,67;-1.106
2022-08-01T07:45:00;1014;366;494;1473;1366;27;995;3195;1877;1576;412;184;14124;10792;8;7827;5152;467,91;432,67;-1.103
2022-08-01T08:00:00;1014;364;456;1446;1705;27;994;3185;1876;1612;1081;185;14459;10853;3;7852;6093;474,9;430,71;-614
2022-08-01T08:15:00;1015;377;438;1465;2083;27;995;3192;1877;1617;979;185;14634;10648;3;7866;6384;474,9;430,71;-611
2022-08-01T08:30:00;1015;361;436;1457;2473;27;995;3192;1877;1620;825;185;14861;10495;3;7869;6594;474,9;430,71;-611
2022-08-01T08:45:00;1016;331;423;1487;2850;27;995;3175;1879;1619;596;185;14915;10155;3;7853;6730;474,9;430,71;-613
2022-08-01T09:00:00;1018;368;406;1477;3192;27;994;3167;1882;1611;826;185;15103;10029;3;7839;7314;459,05;413,16;-97
2022-08-01T09:15:00;1017;366;391;1489;3613;27;993;3158;1877;1605;633;185;15318;9824;5;7818;7536;459,05;413,16;-93
2022-08-01T09:30:00;1017;347;372;1476;3963;27;994;3157;1878;1584;482;185;15512;9700;22;7798;7684;459,05;413,16;-90
