datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2016-02-01T00:00:00;1172;437;209;3366;0;46;2598;3673;591;468;218;934;11954;8378;485;8264;5448
2016-02-01T00:15:00;1171;431;191;3337;0;46;2605;3678;572;471;237;845;11755;8227;535;8171;5413
2016-02-01T00:30:00;1172;426;176;3353;0;46;2607;3689;568;467;234;855;11594;8065;713;8186;5407
2016-02-01T00:45:00;1174;436;184;3366;0;46;2603;3700;576;467;52;908;11472;7922;839;8254;5258
2016-02-01T01:00:00;1168;449;172;3336;0;46;2614;3714;604;462;88;849;11407;7899;659;8243;5259
2016-02-01T01:15:00;1167;446;150;3311;0;45;2617;3698;607;460;91;840;11276;7814;677;8222;5210
2016-02-01T01:30:00;1166;450;135;3277;0;45;2616;3684;616;459;93;934;11285;7872;737;8309;5166
2016-02-01T01:45:00;1165;447;127;3245;0;45;2606;3632;617;456;96;887;11264;7893;671;8198;5125
2016-02-01T02:00:00;1164;436;129;3225;0;45;2608;3597;618;440;76;893;11102;7749;810;8156;5075
2016-02-01T02:15:00;1164;448;126;3194;0;43;2606;3538;615;424;77;899;11145;7825;768;8082;5052
2016-02-01T02:30:00;1164;451;118;3160;0;40;2614;3507;624;425;33;908;11147;7869;763;8078;4966
2016-02-01T02:45:00;1164;451;117;3117;0;39;2606;3447;634;416;30;922;11171;7938;664;8025;4918
2016-02-01T03:00:00;1161;449;118;3038;0;38;2596;3411;638;402;38;926;11233;8077;820;7973;4842
2016-02-01T03:15:00;1162;451;123;3005;0;36;2598;3400;638;397;84;896;11239;8110;803;7929;4861
2016-02-01T03:30:00;1162;453;120;2975;0;35;2599;3434;631;397;80;985;11309;8215;836;8046;4825
2016-02-01T03:45:00;1162;463;121;2959;0;34;2601;3488;636;398;104;955;11447;8367;798;8078;4843
2016-02-01T04:00:00;1160;464;101;2949;0;34;2590;3515;691;395;230;949;11569;8519;848;8140;4938
2016-02-01T04:15:00;1161;470;95;2897;0;34;2594;3540;714;395;242;941;11707;8715;754;8184;4899
2016-02-01T04:30:00;1160;469;98;2872;0;34;2596;3519;787;407;241;920;11911;8942;595;8229;4874
2016-02-01T04:45:00;1162;473;103;2861;0;36;2602;3544;847;423;222;958;12051;9087;599;8374;4857
2016-02-01T05:00:00;1167;475;104;2868;0;39;2605;3601;905;424;54;1045;12441;9469;760;8580;4707
2016-02-01T05:15:00;1167;478;99;2896;0;39;2599;3672;974;427;112;987;12582;9587;663;8659;4791
2016-02-01T05:30:00;1165;478;107;2927;0;39;2607;3715;1044;434;117;1009;13036;10001;528;8809;4833
2016-02-01T05:45:00;1164;476;133;2913;0;40;2621;3806;1122;466;71;1055;13513;10467;386;9070;4797
2016-02-01T06:00:00;1162;479;146;2869;0;43;2618;3874;1250;492;186;1166;14336;11321;425;9400;4885
2016-02-01T06:15:00;1162;477;164;2851;0;45;2624;3879;1378;499;242;1249;14990;11976;29;9629;4941
2016-02-01T06:30:00;1163;490;187;2843;0;45;2627;3862;1556;502;451;1341;15530;12500;11;9888;5179
2016-02-01T06:45:00;1163;477;208;2849;0;46;2626;3865;1748;524;762;1418;16090;13033;11;10181;5505
2016-02-01T07:00:00;1167;472;215;2855;0;46;2605;3880;1978;539;912;1427;16642;13572;47;10429;5667
2016-02-01T07:15:00;1170;474;263;2879;0;46;2614;3896;2096;549;975;1432;17010;13868;51;10587;5807
2016-02-01T07:30:00;1171;477;326;2908;0;46;2617;3905;2175;553;935;1473;17226;13992;34;10723;5863
2016-02-01T07:45:00;1172;479;402;2943;2;46;2620;3902;2212;577;979;1507;17375;14029;58;10818;6023
2016-02-01T08:00:00;1175;473;450;3051;11;46;2601;3910;2234;613;884;1582;17560;14049;36;10940;6090
2016-02-01T08:15:00;1173;469;504;3186;27;46;2588;3913;2253;616;827;1546;17659;13943;31;10916;6232
2016-02-01T08:30:00;1170;471;551;3322;52;46;2587;3912;2279;616;681;1534;17777;13852;46;10928;6293
2016-02-01T08:45:00;1172;469;589;3500;92;46;2589;3884;2284;618;614;1496;17738;13557;111;10871;6482
2016-02-01T09:00:00;1170;468;604;3659;133;46;2589;3858;2233;621;636;1463;17624;13229;96;10764;6716
2016-02-01T09:15:00;1172;470;617;3731;177;46;2590;3865;2232;621;605;1442;17700;13175;75;10750;6818
2016-02-01T09:30:00;1171;467;636;3838;282;46;2592;3885;2233;614;595;1448;17877;13121;90;10772;7035
2016-02-01T09:45:00;1172;463;644;4005;354;46;2583;3891;2230;612;526;1420;17932;12929;98;10736;7210
2016-02-01T10:00:00;1169;473;654;4188;405;46;2589;3853;2198;609;688;1461;18088;12841;54;10710;7623
2016-02-01T10:15:00;1169;465;658;4367;435;46;2589;3845;2162;607;699;1490;18082;12623;80;10693;7839
2016-02-01T10:30:00;1166;431;666;4552;462;46;2588;3841;2122;612;671;1442;18153;12474;80;10605;7994
2016-02-01T10:45:00;1165;474;668;4651;498;46;2592;3703;1720;555;630;1455;18296;12480;110;10025;8132
2016-02-01T11:00:00;1162;488;667;4817;542;45;2594;3725;2071;626;1011;1429;18460;12435;45;10445;8732
2016-02-01T11:15:00;1160;469;669;4933;575;46;2589;3723;2074;631;984;1470;18542;12365;44;10487;8836
2016-02-01T11:30:00;1159;456;674;5073;595;46;2589;3724;2051;632;855;1501;18686;12344;21;10497;8858
2016-02-01T11:45:00;1160;454;677;5286;621;45;2586;3700;2057;624;719;1504;18715;12132;12;10471;8962
2016-02-01T12:00:00;1162;468;676;5466;643;44;2571;3574;2035;609;758;1390;18611;11826;12;10179;9217
2016-02-01T12:15:00;1164;460;675;5698;664;42;2569;3521;2027;607;555;1332;18535;11499;12;10056;9258
2016-02-01T12:30:00;1164;460;675;5920;668;42;2570;3502;1996;607;454;1343;18580;11317;54;10018;9383
2016-02-01T12:45:00;1164;455;677;6069;685;42;2570;3488;2016;598;447;1356;18658;11227;55;10028;9539
2016-02-01T13:00:00;1163;477;679;6145;714;40;2577;3379;2030;580;641;1313;18747;11210;25;9879;9859
2016-02-01T13:15:00;1163;470;685;6211;703;37;2571;3308;2038;569;532;1321;18665;11066;12;9807;9801
2016-02-01T13:30:00;1163;463;695;6403;687;34;2566;3284;1950;596;601;1319;18517;10732;80;9715;10046
2016-02-01T13:45:00;1165;451;697;6581;644;33;2561;3262;1835;597;347;1358;18398;10475;84;9613;9918
2016-02-01T14:00:00;1156;461;692;6708;628;33;2571;3264;1768;590;637;1215;18428;10400;54;9408;10315
2016-02-01T14:15:00;1158;456;692;6801;595;33;2571;3294;1729;589;456;1268;18414;10326;55;9451;10191
2016-02-01T14:30:00;1157;456;695;6882;547;33;2570;3313;1697;591;303;1302;18370;10246;54;9473;10073
2016-02-01T14:45:00;1161;451;694;6989;486;33;2564;3299;1678;589;112;1285;18270;10102;88;9415;9926
2016-02-01T15:00:00;1162;449;691;7077;436;33;2562;3287;1627;586;301;1218;18164;9960;147;9280;10149
2016-02-01T15:15:00;1163;449;691;7175;394;33;2566;3273;1601;573;443;1213;18110;9850;157;9226;10348
2016-02-01T15:30:00;1161;448;689;7245;334;33;2565;3300;1542;579;406;1229;18076;9808;159;9215;10316
2016-02-01T15:45:00;1163;450;687;7239;278;33;2577;3288;1473;593;215;1244;17945;9742;162;9175;10065
2016-02-01T16:00:00;1165;449;678;7280;203;33;2610;3260;1421;617;529;1237;17846;9685;163;9145;10337
2016-02-01T16:15:00;1170;449;677;7306;118;33;2628;3290;1433;618;380;1171;17860;9759;166;9140;10133
2016-02-01T16:30:00;1172;449;688;7363;64;33;2631;3312;1467;616;349;1172;17861;9746;161;9198;10118
2016-02-01T16:45:00;1173;449;683;7402;23;33;2631;3316;1526;618;444;1130;17882;9775;168;9221;10207
2016-02-01T17:00:00;1168;446;669;7361;6;33;2619;3281;1569;634;507;1279;18211;10175;107;9382;10190
2016-02-01T17:15:00;1171;449;678;7335;3;33;2627;3268;1625;633;463;1214;18558;10542;13;9367;10132
2016-02-01T17:30:00;1173;468;661;7345;2;33;2638;3282;1674;634;803;1172;18769;10761;11;9400;10485
2016-02-01T17:45:00;1176;460;644;7368;0;33;2637;3288;1669;635;962;1207;18927;10915;10;9436;10643
2016-02-01T18:00:00;1175;449;649;7344;0;33;2626;3323;1602;635;709;1295;18893;10900;21;9481;10359
2016-02-01T18:15:00;1174;450;661;7406;0;33;2622;3316;1609;633;558;1311;18801;10734;29;9491;10282
2016-02-01T18:30:00;1176;450;678;7413;0;33;2620;3318;1595;626;583;1274;18806;10715;11;9433;10333
2016-02-01T18:45:00;1177;451;689;7422;0;33;2626;3287;1595;605;518;1260;18768;10657;11;9373;10290
2016-02-01T19:00:00;1176;452;703;7479;0;33;2631;3223;1583;547;470;1316;18557;10375;44;9300;10313
2016-02-01T19:15:00;1177;450;705;7491;0;33;2626;3145;1525;529;411;1306;18323;10126;39;9131;10267
2016-02-01T19:30:00;1176;447;710;7545;0;34;2616;3128;1452;529;327;1309;18223;9968;43;9034;10239
2016-02-01T19:45:00;1175;448;710;7520;0;34;2619;3117;1403;521;242;1323;18047;9818;59;8983;10129
2016-02-01T20:00:00;1175;453;710;7508;0;34;2635;3049;1283;506;432;1192;17678;9461;16;8665;10312
2016-02-01T20:15:00;1174;448;711;7512;0;33;2629;3007;1140;502;159;1209;17231;9008;92;8487;10037
2016-02-01T20:30:00;1170;445;704;7501;0;33;2628;3006;1084;500;78;1189;16964;8759;114;8407;9931
2016-02-01T20:45:00;1169;445;699;7489;0;33;2618;3014;1063;483;145;1255;16713;8525;243;8433;9980
2016-02-01T21:00:00;1164;455;685;7498;0;33;2632;3022;1071;449;161;1188;16618;8435;16;8362;9996
2016-02-01T21:15:00;1167;446;698;7459;0;33;2620;3006;1038;450;239;1140;16357;8201;45;8254;10042
2016-02-01T21:30:00;1168;446;698;7453;0;33;2606;3002;1000;450;157;1204;16127;7976;178;8262;9955
2016-02-01T21:45:00;1168;445;701;7478;0;34;2576;2997;987;450;21;1247;15845;7667;402;8257;9847
2016-02-01T22:00:00;1164;456;708;7241;0;34;2592;3020;963;445;161;1203;15934;7985;58;8223;9764
2016-02-01T22:15:00;1163;446;710;7236;0;34;2598;3032;922;443;107;1251;15726;7780;193;8246;9696
2016-02-01T22:30:00;1162;443;707;7229;0;34;2592;2998;918;441;53;1255;15332;7395;411;8204;9628
2016-02-01T22:45:00;1161;453;709;7229;0;34;2572;2767;903;438;36;1274;14951;7013;485;7954;9622
2016-02-01T23:00:00;1165;456;706;7244;0;34;2595;2541;885;437;110;1192;14682;6732;313;7650;9715
2016-02-01T23:15:00;1165;445;695;7245;0;34;2569;2487;866;437;86;1190;14241;6302;581;7549;9670
2016-02-01T23:30:00;1165;455;693;7226;0;34;2576;2387;841;437;21;1165;13837;5918;778;7406;9594
2016-02-01T23:45:00;1165;456;683;7165;0;34;2564;2227;791;436;157;1166;13642;5794;770;7184;9660
2016-02-02T00:00:00;1160;465;696;7157;0;34;2583;2116;591;439;38;1046;13494;5641;620;6775;9550
2016-02-02T00:15:00;1161;450;701;7102;0;34;2512;2030;580;437;32;924;13195;5392;654;6483;9480
2016-02-02T00:30:00;1161;454;696;7137;0;34;2444;1992;588;437;72;941;13058;5225;735;6402;9554
2016-02-02T00:45:00;1159;463;674;7090;0;34;2439;1957;596;435;99;1032;12892;5128;997;6459;9519
2016-02-02T01:00:00;1154;467;656;7064;0;34;2470;1920;595;437;134;1012;12788;5068;802;6434;9509
2016-02-02T01:15:00;1153;446;682;7055;0;34;2454;1901;600;437;143;1031;12624;4886;887;6423;9513
2016-02-02T01:30:00;1155;444;674;7017;0;34;2413;1901;602;438;140;1033;12512;4821;917;6387;9464
2016-02-02T01:45:00;1156;440;649;6997;0;35;2369;1884;600;436;149;1025;12457;4811;891;6314;9426
2016-02-02T02:00:00;1155;448;645;6988;0;34;2317;1876;602;436;132;1046;12300;4668;1036;6277;9402
2016-02-02T02:15:00;1156;443;673;6962;0;35;2303;1851;608;425;34;1055;12265;4631;1098;6242;9303
2016-02-02T02:30:00;1154;459;661;6935;0;34;2293;1823;616;420;139;1056;12319;4723;1029;6208;9382
2016-02-02T02:45:00;1155;445;649;6920;0;34;2284;1808;610;412;72;1061;12301;4733;1003;6175;9275
2016-02-02T03:00:00;1155;440;667;6918;0;34;2243;1801;604;410;130;1054;12302;4717;1018;6112;9344
2016-02-02T03:15:00;1155;450;679;6921;0;34;2236;1803;598;409;140;1047;12429;4830;944;6093;9379
2016-02-02T03:30:00;1154;439;685;6910;0;34;2240;1810;597;412;35;1051;12441;4846;909;6110;9257
2016-02-02T03:45:00;1153;446;626;6900;0;34;2234;1819;593;411;135;1009;12530;5004;826;6066;9294
2016-02-02T04:00:00;1153;440;569;6852;0;35;2292;1845;595;414;65;1006;12618;5197;847;6152;9114
2016-02-02T04:15:00;1154;449;555;6867;0;35;2321;1853;606;417;35;1085;12753;5330;903;6282;9095
2016-02-02T04:30:00;1150;446;578;6871;0;35;2383;1871;610;419;75;1041;12957;5509;718;6324;9155
2016-02-02T04:45:00;1150;449;570;6869;0;35;2423;1952;612;429;69;960;13125;5685;542;6376;9142
2016-02-02T05:00:00;1148;437;512;6901;0;35;2464;2102;619;442;76;1039;13392;5979;647;6666;9109
2016-02-02T05:15:00;1149;437;570;6901;0;35;2488;2233;631;451;37;1056;13616;6145;672;6859;9129
2016-02-02T05:30:00;1148;438;566;6908;0;35;2537;2406;639;464;80;1004;14002;6528;608;7050;9175
2016-02-02T05:45:00;1150;439;583;6876;0;36;2587;2544;648;468;40;1054;14442;6984;530;7301;9124
2016-02-02T06:00:00;1153;436;573;7068;0;36;2606;2615;672;487;166;1026;15085;7445;669;7406;9432
2016-02-02T06:15:00;1154;447;567;7064;0;36;2623;2697;711;506;199;1062;15720;8089;253;7599;9467
2016-02-02T06:30:00;1156;457;606;7058;0;36;2626;2753;741;519;292;1151;16260;8596;22;7790;9605
2016-02-02T06:45:00;1157;443;613;7034;0;36;2623;2804;770;523;655;1251;16680;9033;30;7971;9938
2016-02-02T07:00:00;1156;435;603;6974;0;36;2621;2958;845;550;357;1300;17286;9710;19;8274;9561
2016-02-02T07:15:00;1157;435;594;6866;0;36;2632;2999;888;561;735;1317;17641;10181;12;8397;9823
2016-02-02T07:30:00;1157;437;589;6893;2;36;2630;3057;937;568;842;1336;17882;10399;11;8528;9956
2016-02-02T07:45:00;1158;438;554;6889;2;36;2631;3126;965;571;835;1360;17959;10514;11;8653;9912
2016-02-02T08:00:00;1160;438;548;6806;25;36;2627;3256;982;573;802;1326;18157;10779;2;8764;9815
2016-02-02T08:15:00;1163;440;546;6738;72;36;2630;3329;1014;575;764;1352;18298;10942;1;8900;9759
2016-02-02T08:30:00;1163;437;581;6709;138;36;2632;3373;1031;577;741;1337;18329;10901;5;8950;9805
2016-02-02T08:45:00;1164;432;554;6725;204;36;2633;3379;1039;578;710;1365;18327;10845;11;8994;9825
2016-02-02T09:00:00;1166;427;554;6695;282;36;2635;3322;1036;579;728;1241;18237;10707;14;8813;9888
2016-02-02T09:15:00;1161;430;567;6678;371;36;2638;3307;1013;578;664;1268;18299;10683;1;8804;9907
2016-02-02T09:30:00;1161;428;562;6695;498;36;2635;3307;1006;580;617;1257;18360;10606;1;8785;9997
2016-02-02T09:45:00;1161;429;574;6704;589;36;2636;3312;1017;576;595;1209;18445;10578;1;8750;10088
2016-02-02T10:00:00;1159;427;571;6672;667;36;2638;3339;1035;576;674;1136;18471;10560;2;8724;10206
2016-02-02T10:15:00;1159;426;588;6594;748;36;2636;3338;1024;578;634;1149;18538;10609;1;8725;10185
2016-02-02T10:30:00;1160;428;565;6645;826;36;2642;3328;1012;582;553;1187;18615;10580;2;8751;10213
2016-02-02T10:45:00;1159;429;583;6690;923;36;2632;3323;1009;582;545;1173;18632;10436;2;8719;10365
2016-02-02T11:00:00;1155;431;576;6707;1015;36;2641;3353;1029;576;409;1229;18732;10434;12;8828;10329
2016-02-02T11:15:00;1159;432;540;6703;1109;36;2645;3366;1033;575;344;1315;18853;10500;3;8934;10323
2016-02-02T11:30:00;1161;430;534;6729;1158;36;2644;3371;1028;576;286;1335;18912;10490;3;8954;10334
2016-02-02T11:45:00;1161;429;529;6717;1207;36;2645;3380;1003;571;263;1298;18846;10393;3;8897;10342
2016-02-02T12:00:00;1161;432;523;6712;1268;36;2642;3386;1004;569;297;1216;18648;10145;25;8817;10429
2016-02-02T12:15:00;1168;433;501;6687;1282;36;2638;3382;982;565;161;1225;18643;10174;26;8792;10268
2016-02-02T12:30:00;1168;433;474;6655;1247;35;2640;3381;980;568;311;1257;18695;10319;4;8826;10323
2016-02-02T12:45:00;1166;449;473;6609;1182;35;2637;3376;965;568;284;1248;18611;10348;6;8794;10198
2016-02-02T13:00:00;1166;462;467;6585;1116;35;2640;3393;959;573;529;1155;18549;10382;1;8720;10360
2016-02-02T13:15:00;1164;450;462;6604;1112;35;2637;3384;952;575;383;1124;18464;10286;1;8672;10210
2016-02-02T13:30:00;1165;449;452;6658;1092;35;2638;3372;949;574;312;1145;18345;10142;19;8678;10163
2016-02-02T13:45:00;1167;447;445;6669;1067;35;2637;3377;945;571;238;1213;18202;10021;32;8743;10068
2016-02-02T14:00:00;1165;448;440;6597;989;35;2638;3370;927;567;256;1182;18152;10127;17;8684;9930
2016-02-02T14:15:00;1164;458;426;6594;920;35;2639;3373;941;566;274;1181;18144;10205;13;8700;9871
2016-02-02T14:30:00;1164;457;425;6590;836;35;2639;3369;945;568;187;1165;18115;10265;12;8686;9694
2016-02-02T14:45:00;1163;454;426;6543;746;35;2641;3369;942;559;298;1126;18084;10368;13;8637;9665
2016-02-02T15:00:00;1162;454;432;6549;664;35;2642;3375;943;552;462;1144;18110;10466;10;8656;9758
2016-02-02T15:15:00;1164;455;432;6488;580;35;2643;3391;958;553;344;1171;17996;10495;14;8716;9498
2016-02-02T15:30:00;1164;456;443;6464;482;35;2644;3401;969;554;486;1190;17922;10534;1;8758;9530
2016-02-02T15:45:00;1168;455;447;6421;383;35;2641;3385;983;552;533;1169;17855;10605;1;8730;9442
2016-02-02T16:00:00;1167;449;446;6409;281;35;2641;3333;1001;559;494;1163;17739;10604;1;8697;9281
