datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2020-01-01T00:00:00;1230;344;125;1476;0;56;2024;2320;496;1269;266;406;10964;9363;49;6515;3497
2020-01-01T00:15:00;1228;340;125;1472;0;56;2021;2326;487;1238;127;406;10909;9312;66;6478;3348
2020-01-01T00:30:00;1225;339;135;1528;0;56;2021;2334;486;1214;102;407;10833;9171;97;6462;3385
2020-01-01T00:45:00;1224;338;164;1560;0;56;2020;2337;493;1196;53;406;10788;9065;129;6452;3395
2020-01-01T01:00:00;1224;344;223;1521;0;56;2023;2352;484;1147;23;403;10756;9013;235;6409;3391
2020-01-01T01:15:00;1219;339;289;1435;0;56;2022;2356;460;1145;20;403;10705;8981;271;6386;3358
2020-01-01T01:30:00;1222;338;312;1444;0;56;2023;2355;440;1134;17;402;10615;8859;280;6354;3389
2020-01-01T01:45:00;1224;338;346;1451;0;56;2022;2356;441;1117;14;397;10537;8741;366;6333;3429
2020-01-01T02:00:00;1224;355;383;1448;0;56;2024;2364;449;1091;86;396;10493;8662;429;6324;3552
2020-01-01T02:15:00;1222;342;415;1429;0;56;2023;2351;448;1090;75;398;10423;8580;502;6310;3539
2020-01-01T02:30:00;1222;344;422;1438;0;56;2020;2350;448;1090;45;398;10318;8458;515;6306;3527
2020-01-01T02:45:00;1221;344;446;1427;0;56;2017;2361;454;1098;12;399;10255;8382;514;6329;3506
2020-01-01T03:00:00;1223;358;476;1379;0;57;2021;2373;474;1097;19;397;10181;8326;552;6362;3512
2020-01-01T03:15:00;1220;342;519;1347;0;57;2019;2374;476;1098;12;399;10099;8233;575;6366;3497
2020-01-01T03:30:00;1224;342;529;1359;0;57;2018;2373;476;1099;12;399;10036;8148;602;6365;3523
2020-01-01T03:45:00;1221;339;539;1393;0;57;2016;2378;474;1095;11;401;9987;8055;621;6364;3560
2020-01-01T04:00:00;1222;339;563;1372;0;57;2019;2387;477;1074;15;403;10102;8167;705;6360;3568
2020-01-01T04:15:00;1222;332;583;1365;0;57;2019;2383;480;1072;28;405;10072;8125;726;6359;3587
2020-01-01T04:30:00;1221;331;578;1383;0;57;2018;2393;480;1072;19;404;10073;8113;757;6367;3589
2020-01-01T04:45:00;1224;331;568;1392;0;57;2018;2388;486;1076;19;404;10050;8090;811;6372;3591
2020-01-01T05:00:00;1226;331;564;1393;0;56;2018;2372;491;1085;27;404;10078;8122;823;6370;3597
2020-01-01T05:15:00;1228;331;551;1397;0;56;2017;2365;497;1085;21;404;10012;8064;752;6368;3584
2020-01-01T05:30:00;1226;331;533;1427;0;56;2018;2370;499;1093;29;405;10012;8051;814;6385;3602
2020-01-01T05:45:00;1225;332;512;1430;0;56;2018;2361;498;1094;43;404;9947;8005;887;6375;3598
2020-01-01T06:00:00;1231;335;483;1444;0;56;2019;2363;498;1098;73;402;9760;7833;747;6380;3622
2020-01-01T06:15:00;1226;334;471;1419;0;56;2018;2350;501;1105;62;403;9727;7837;751;6377;3568
2020-01-01T06:30:00;1230;335;487;1398;0;56;2018;2326;502;1100;81;403;9716;7831;682;6349;3587
2020-01-01T06:45:00;1231;335;502;1369;0;56;2021;2300;507;1111;122;403;9763;7892;548;6342;3615
2020-01-01T07:00:00;1241;335;522;1356;0;56;2024;2302;504;1146;66;404;9819;7941;326;6380;3576
2020-01-01T07:15:00;1241;337;533;1356;0;56;2025;2309;504;1141;135;403;9885;7997;384;6382;3658
2020-01-01T07:30:00;1241;333;542;1322;0;56;2021;2320;502;1152;123;404;9877;8013;282;6399;3617
2020-01-01T07:45:00;1240;329;558;1287;0;56;2023;2392;503;1158;107;405;9890;8045;221;6481;3577
2020-01-01T08:00:00;1248;329;561;1269;2;56;2024;2440;510;1157;54;405;9952;8121;370;6536;3519
2020-01-01T08:15:00;1251;328;566;1278;26;56;2025;2453;512;1171;34;404;10003;8133;488;6565;3539
2020-01-01T08:30:00;1252;331;577;1277;105;56;2025;2452;514;1180;81;405;10048;8089;486;6576;3679
2020-01-01T08:45:00;1253;334;579;1264;243;56;2024;2457;515;1187;46;404;10196;8111;469;6587;3775
2020-01-01T09:00:00;1248;340;581;1282;431;56;2024;2472;517;1191;78;398;10379;8086;398;6602;4016
2020-01-01T09:15:00;1248;333;576;1274;660;56;2026;2485;517;1187;49;400;10535;8025;406;6615;4196
2020-01-01T09:30:00;1248;332;583;1261;886;56;2025;2501;516;1190;43;403;10673;7943;441;6635;4409
2020-01-01T09:45:00;1256;334;602;1282;1132;56;2024;2504;517;1193;60;403;10902;7886;584;6641;4722
2020-01-01T10:00:00;1251;333;629;1256;1366;56;2021;2518;512;1193;27;403;11004;7753;724;6647;4918
