datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2019-07-01T00:00:00;1086;617;1013;2081;0;31;1896;2144;329;1189;238;265;11733;8639;231;5823;5066
2019-07-01T00:15:00;1082;573;1028;1910;0;31;1893;2090;307;1185;299;266;11575;8638;191;5741;4923
2019-07-01T00:30:00;1081;590;1040;1787;0;31;1892;2061;304;1195;193;267;11455;8629;290;5719;4722
2019-07-01T00:45:00;1082;577;1064;1704;0;31;1893;2040;303;1217;129;267;11307;8540;312;5720;4587
2019-07-01T01:00:00;1080;581;1079;1606;0;32;1897;2010;299;1253;57;266;11195;8510;577;5725;4435
2019-07-01T01:15:00;1082;584;1061;1525;0;32;1893;1966;301;1252;51;267;11098;8512;636;5679;4335
2019-07-01T01:30:00;1083;588;1043;1451;0;32;1894;1931;299;1261;56;267;10989;8495;618;5652;4253
2019-07-01T01:45:00;1084;553;1057;1406;0;32;1892;1923;299;1254;40;266;10969;8506;626;5634;4172
2019-07-01T02:00:00;1086;575;1076;1371;0;32;1898;1930;294;1270;57;267;10893;8446;753;5659;4197
2019-07-01T02:15:00;1084;529;1116;1371;0;32;1896;1979;297;1268;32;265;10840;8353;709;5705;4164
2019-07-01T02:30:00;1086;533;1144;1347;0;32;1897;2020;297;1257;33;267;10856;8365;845;5738;4175
2019-07-01T02:45:00;1085;525;1138;1348;0;32;1897;2042;296;1226;32;267;10824;8338;868;5728;4160
2019-07-01T03:00:00;1085;555;1117;1302;0;32;1899;2060;296;1184;39;267;10878;8460;975;5706;4130
2019-07-01T03:15:00;1086;584;1076;1293;0;32;1899;2060;296;1191;50;267;10872;8503;987;5713;4121
2019-07-01T03:30:00;1085;596;1030;1288;0;32;1898;2047;297;1252;64;268;10855;8538;983;5762;4095
2019-07-01T03:45:00;1085;585;999;1282;0;32;1899;2051;296;1278;57;266;10843;8562;980;5790;4040
2019-07-01T04:00:00;1086;552;954;1317;0;32;1899;2056;301;1287;53;268;10939;8668;890;5811;3994
2019-07-01T04:15:00;1092;558;902;1327;0;32;1897;2097;309;1297;49;267;10973;8744;889;5867;3960
2019-07-01T04:30:00;1092;557;871;1345;0;32;1899;2127;307;1320;49;268;11056;8841;886;5921;3946
2019-07-01T04:45:00;1090;565;827;1375;3;32;1901;2139;308;1343;53;268;11156;8952;821;5959;3945
2019-07-01T05:00:00;1095;557;795;1425;11;32;1903;2210;353;1363;54;267;11512;9281;742;6096;3969
2019-07-01T05:15:00;1095;526;800;1532;28;32;1899;2248;361;1359;34;266;11701;9341;650;6133;4047
2019-07-01T05:30:00;1100;556;781;1530;73;32;1898;2284;396;1340;34;265;11953;9570;526;6183;4106
2019-07-01T05:45:00;1098;559;793;1514;146;32;1899;2291;457;1339;47;268;12389;9936;245;6254;4189
2019-07-01T06:00:00;1110;570;783;1561;243;34;1903;2327;529;1446;252;280;13232;10645;73;6485;4553
2019-07-01T06:15:00;1113;605;793;1571;372;34;1904;2385;570;1498;419;281;13756;11020;14;6638;4907
2019-07-01T06:30:00;1117;611;801;1525;523;34;1903;2373;613;1524;788;281;14291;11442;1;6694;5399
2019-07-01T06:45:00;1117;601;809;1482;706;34;1902;2369;629;1530;1089;280;14768;11771;1;6710;5838
2019-07-01T07:00:00;1128;584;820;1453;913;34;1900;2332;661;1583;1479;277;15136;11951;0;6753;6411
2019-07-01T07:15:00;1130;593;829;1429;1121;34;1900;2339;672;1590;1500;277;15324;11945;0;6778;6636
2019-07-01T07:30:00;1134;584;879;1346;1357;34;1901;2336;710;1620;1490;276;15568;11987;0;6843;6824
2019-07-01T07:45:00;1131;583;922;1210;1622;34;1902;2352;768;1653;1423;276;15904;12151;0;6951;6925
2019-07-01T08:00:00;1137;583;882;1159;1903;34;1897;2348;826;1674;1627;277;16219;12277;0;7022;7325
2019-07-01T08:15:00;1141;599;872;1155;2213;34;1899;2337;835;1687;1550;277;16340;12100;0;7035;7564
2019-07-01T08:30:00;1143;574;882;1184;2516;34;1897;2329;843;1728;1297;287;16515;11933;0;7084;7630
2019-07-01T08:45:00;1141;576;914;1252;2800;34;1897;2303;854;1737;1033;289;16571;11605;13;7080;7750
2019-07-01T09:00:00;1136;576;951;1303;3111;34;1896;2328;848;1742;868;279;16624;11259;3;7093;7979
2019-07-01T09:15:00;1133;560;997;1375;3424;34;1894;2343;849;1764;604;273;16757;10962;1;7123;8127
2019-07-01T09:30:00;1131;555;1034;1505;3712;34;1889;2319;811;1758;436;272;16932;10682;2;7049;8407
2019-07-01T09:45:00;1131;544;1043;1634;3963;34;1890;2307;808;1739;353;272;17109;10470;66;7016;8702
2019-07-01T10:00:00;1121;609;1058;1821;4188;34;1892;2284;806;1751;438;277;17186;10119;30;7010;9269
2019-07-01T10:15:00;1118;547;1087;2061;4423;35;1897;2286;813;1745;159;280;17345;9774;43;7021;9430
2019-07-01T10:30:00;1116;560;1116;2283;4651;35;1902;2280;827;1734;134;279;17527;9478;197;7022;9895
2019-07-01T10:45:00;1114;573;1140;2496;4863;35;1902;2266;834;1739;123;280;17654;9155;347;7021;10344
2019-07-01T11:00:00;1112;580;1169;2653;5001;35;1900;2194;843;1715;122;279;17716;8894;187;6931;10672
2019-07-01T11:15:00;1111;575;1193;2792;5151;35;1900;2149;830;1696;123;280;17799;8663;245;6855;10980
2019-07-01T11:30:00;1109;549;1207;2893;5373;36;1899;2088;826;1662;97;279;17923;8451;317;6754;11264
