"datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable"
"2022-07-01T00:00:00;1022;475;329;3447;0;28;992;3439;1620;1241;74;206;12463;8686;580;7498;5375"
"2022-07-01T00:15:00;1022;454;364;3365;0;28;993;3459;1642;1151;44;206;12272;8543;571;7451;5277"
"2022-07-01T00:30:00;1016;472;370;3273;0;28;993;3451;1653;1127;24;205;12243;8600;706;7429;5183"
"2022-07-01T00:45:00;1021;480;356;3181;0;28;993;3445;1651;1099;31;205;12172;8634;927;7393;5097"
"2022-07-01T01:00:00;1022;486;338;3128;0;28;994;3467;1651;1143;49;206;12048;8582;728;7461;5051"
"2022-07-01T01:15:00;1021;510;335;3076;0;28;996;3461;1649;1139;100;206;12068;8657;737;7451;5070"
"2022-07-01T01:30:00;1022;507;342;3038;0;28;996;3465;1640;1129;72;206;12022;8642;830;7436;5009"
"2022-07-01T01:45:00;1022;482;292;2983;0;28;996;3469;1638;1124;7;205;12026;8752;818;7432;4814"
"2022-07-01T02:00:00;1026;496;282;2951;0;28;996;3484;1637;1143;27;205;12060;8827;1004;7465;4810"
"2022-07-01T02:15:00;1025;496;286;2878;0;28;997;3490;1637;1163;25;206;12030;8867;999;7493;4738"
"2022-07-01T02:30:00;1026;511;252;2833;0;28;997;3502;1637;1142;25;206;11981;8896;1003;7484;4675"
"2022-07-01T02:45:00;1024;519;213;2818;0;28;998;3509;1638;1139;14;206;12010;8980;1057;7490;4616"
"2022-07-01T03:00:00;1026;467;288;2813;0;28;998;3528;1632;1122;7;206;11984;8882;1124;7486;4629"
"2022-07-01T03:15:00;1026;466;332;2747;0;28;998;3517;1634;1114;1;206;11976;8897;1145;7469;4600"
"2022-07-01T03:30:00;1026;458;467;2690;0;28;998;3522;1632;1141;1;205;12041;8883;1185;7498;4670"
"2022-07-01T03:45:00;1025;451;524;2689;0;28;998;3536;1639;1138;1;207;11919;8707;1266;7518;4718"
"2022-07-01T04:00:00;1024;462;690;2643;0;28;998;3540;1644;1120;2;206;12078;8746;1322;7508;4849"
"2022-07-01T04:15:00;1025;501;674;2560;0;28;998;3536;1624;1123;15;205;12091;8857;1273;7486;4803"
"2022-07-01T04:30:00;1024;468;764;2574;1;28;999;3537;1638;1132;2;205;12187;8849;1239;7511;4861"
"2022-07-01T04:45:00;1023;464;797;2637;3;28;999;3531;1670;1150;1;206;12156;8720;1239;7556;4953"
"2022-07-01T05:00:00;1023;486;805;2720;15;28;999;3527;1712;1175;18;206;12403;8863;1292;7619;5095"
"2022-07-01T05:15:00;1022;473;828;2811;40;28;999;3535;1722;1197;8;206;12612;8934;1162;7659;5210"
"2022-07-01T05:30:00;1021;471;849;2789;74;28;1000;3527;1738;1247;1;206;12659;8947;1141;7718;5233"
"2022-07-01T05:45:00;1020;478;851;2831;127;28;1000;3508;1770;1351;0;207;12805;8996;1019;7836;5335"
"2022-07-01T06:00:00;1022;487;896;2775;202;28;1000;3524;1752;1629;0;207;13370;9498;892;8112;5410"
"2022-07-01T06:15:00;1021;471;890;2782;294;28;1000;3519;1776;1835;1;206;13624;9658;627;8336;5487"
"2022-07-01T06:30:00;1021;481;899;2748;404;28;1000;3536;1776;1859;4;206;14106;10056;450;8377;5585"
"2022-07-01T06:45:00;1018;505;941;2706;522;28;1000;3552;1787;1887;107;204;14480;10311;310;8430;5827"
"2022-07-01T07:00:00;1020;498;880;2591;655;28;1001;3542;1800;1918;174;198;14645;10520;165;8459;5846"
"2022-07-01T07:15:00;1021;521;864;2621;801;28;1001;3551;1792;1890;358;198;14938;10653;83;8432;6214"
"2022-07-01T07:30:00;1021;526;874;2573;931;28;1001;3546;1827;1882;420;198;15244;10866;25;8454;6373"
"2022-07-01T07:45:00;1022;535;853;2517;1107;28;1000;3526;1828;1908;522;201;15453;10977;21;8463;6584"
"2022-07-01T08:00:00;1025;543;808;2493;1268;28;1001;3462;1876;1941;691;204;15664;11095;21;8484;6856"
"2022-07-01T08:15:00;1026;506;775;2382;1437;28;1000;3447;1922;1930;712;205;15903;11310;9;8504;6866"
