datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2017-06-01T00:00:00;1121;553;370;1681;0;44;1920;3726;1913;620;138;1074;12149;10099;224;9253;3907
2017-06-01T00:15:00;1121;545;355;1647;0;44;1919;3723;1850;625;45;1012;11977;9976;238;9129;3757
2017-06-01T00:30:00;1120;544;352;1593;0;44;1918;3728;1819;625;67;962;11790;9845;480;9052;3720
2017-06-01T00:45:00;1120;538;343;1549;0;44;1918;3724;1788;623;71;950;11632;9740;527;9003;3665
2017-06-01T01:00:00;1118;553;328;1526;0;44;1923;3733;1712;626;92;939;11566;9713;514;8933;3661
2017-06-01T01:15:00;1119;544;313;1515;0;44;1923;3736;1683;626;48;911;11433;9605;561;8879;3583
2017-06-01T01:30:00;1117;554;290;1507;0;44;1924;3733;1638;623;73;958;11453;9656;539;8876;3585
2017-06-01T01:45:00;1118;546;283;1485;0;44;1919;3716;1600;609;40;952;11327;9560;524;8796;3516
2017-06-01T02:00:00;1117;546;282;1453;0;44;1923;3747;1531;601;54;996;11180;9446;554;8798;3496
2017-06-01T02:15:00;1116;537;265;1431;0;44;1922;3743;1498;603;24;992;11073;9377;543;8758;3417
2017-06-01T02:30:00;1115;548;258;1376;0;44;1921;3736;1489;601;31;994;11116;9482;533;8741;3372
2017-06-01T02:45:00;1116;551;259;1324;0;44;1924;3738;1466;600;32;995;11175;9592;487;8723;3326
2017-06-01T03:00:00;1117;548;256;1281;0;44;1925;3742;1374;600;60;939;11233;9697;529;8580;3306
2017-06-01T03:15:00;1115;541;251;1278;0;44;1925;3738;1351;602;39;870;11188;9659;449;8486;3268
2017-06-01T03:30:00;1115;540;246;1285;0;44;1926;3740;1347;604;50;857;11187;9656;479;8474;3280
2017-06-01T03:45:00;1115;542;246;1288;0;44;1924;3740;1346;607;30;794;11151;9618;428;8411;3265
2017-06-01T04:00:00;1115;542;242;1292;0;44;1925;3745;1368;612;24;842;11243;9709;473;8492;3259
2017-06-01T04:15:00;1115;544;251;1293;0;44;1918;3739;1390;625;21;844;11235;9692;479;8516;3268
2017-06-01T04:30:00;1115;559;262;1292;0;44;1919;3741;1420;640;30;858;11329;9775;435;8578;3302
2017-06-01T04:45:00;1120;562;264;1279;3;44;1921;3743;1443;632;31;845;11495;9950;318;8584;3303
2017-06-01T05:00:00;1119;550;258;1263;10;44;1916;3735;1456;630;28;833;11573;10042;657;8570;3272
2017-06-01T05:15:00;1121;541;257;1248;24;44;1919;3746;1484;629;25;914;11663;10135;724;8692;3260
2017-06-01T05:30:00;1118;542;249;1192;65;44;1923;3739;1574;625;28;1055;11965;10459;675;8916;3238
2017-06-01T05:45:00;1119;545;239;1161;140;44;1923;3736;1729;623;270;1137;12360;10821;570;9148;3518
2017-06-01T06:00:00;1123;545;224;1126;252;44;1918;3733;1931;644;87;1097;13112;11511;380;9323;3401
2017-06-01T06:15:00;1126;561;217;1087;395;45;1929;3733;2084;673;224;1091;13725;12027;286;9510;3655
2017-06-01T06:30:00;1129;568;206;1025;576;45;1929;3737;2257;680;222;1103;14163;12356;130;9706;3771
2017-06-01T06:45:00;1132;574;195;942;796;45;1930;3748;2402;698;201;1196;14660;12727;89;9974;3885
2017-06-01T07:00:00;1136;567;185;883;1042;47;1960;3740;2550;731;418;1141;15065;12956;43;10122;4278
2017-06-01T07:15:00;1140;559;172;855;1325;47;1981;3752;2595;742;467;1152;15365;13013;31;10222;4565
2017-06-01T07:30:00;1140;555;171;838;1631;47;1995;3747;2611;745;450;1166;15612;12973;23;10264;4832
2017-06-01T07:45:00;1139;556;172;840;1951;47;2011;3743;2616;743;334;1187;15851;12889;24;10300;5039
2017-06-01T08:00:00;1141;556;168;893;2257;47;2024;3732;2620;750;625;1257;16065;12747;23;10383;5687
2017-06-01T08:15:00;1143;557;159;971;2592;48;2043;3738;2629;753;360;1339;16303;12581;24;10502;5830
2017-06-01T08:30:00;1145;553;147;1004;2939;48;2061;3742;2576;753;228;1344;16434;12344;65;10476;6064
2017-06-01T08:45:00;1141;564;147;1006;3281;48;2081;3735;2494;736;209;1425;16392;11958;273;10471;6396
2017-06-01T09:00:00;1138;570;136;1004;3625;48;2104;3715;2422;719;408;1427;16364;11600;83;10387;6929
2017-06-01T09:15:00;1141;576;126;977;3971;48;2126;3699;2426;722;188;1305;16360;11286;71;10278;7027
2017-06-01T09:30:00;1138;574;119;940;4281;48;2141;3687;2381;716;263;1301;16473;11133;103;10226;7363
2017-06-01T09:45:00;1139;563;120;904;4610;48;2132;3693;2316;713;280;1309;16490;10857;293;10163;7664
2017-06-01T10:00:00;1137;555;117;891;4945;48;2098;3686;2203;731;74;1252;16550;10597;163;9970;7767
2017-06-01T10:15:00;1134;558;115;877;5209;48;2090;3682;2079;737;237;1330;16692;10492;195;9918;8178
2017-06-01T10:30:00;1128;563;106;895;5466;47;2095;3688;1939;729;201;1299;16855;10388;163;9750;8406
2017-06-01T10:45:00;1125;567;92;901;5672;46;2097;3677;1797;721;201;1237;16866;10201;184;9529;8604
2017-06-01T11:00:00;1124;574;84;919;5854;46;2097;3537;1789;712;282;1215;16971;10115;113;9350;8883
2017-06-01T11:15:00;1127;577;75;937;6022;46;2096;3490;1829;706;193;1173;17014;9980;104;9294;8977
2017-06-01T11:30:00;1129;578;74;937;6144;46;2095;3493;1853;700;167;1249;17163;10007;122;9390;9075
2017-06-01T11:45:00;1130;560;69;926;6220;46;2094;3491;1849;693;231;1215;17099;9885;199;9342;9182
2017-06-01T12:00:00;1127;558;64;925;6328;46;2094;3518;1843;678;157;1255;17038;9722;185;9388;9205
2017-06-01T12:15:00;1126;558;67;894;6377;46;2094;3538;1826;663;148;1252;17010;9673;257;9373;9216
2017-06-01T12:30:00;1128;558;72;876;6367;46;2094;3550;1786;663;146;1245;16990;9675;243;9338;9193
2017-06-01T12:45:00;1127;557;78;851;6397;46;2094;3541;1734;657;174;1205;16917;9592;224;9231;9230
2017-06-01T13:00:00;1126;561;78;839;6415;46;2099;3575;1723;654;215;1163;16964;9633;169;9214;9280
2017-06-01T13:15:00;1126;559;77;828;6422;46;2116;3562;1731;655;141;1110;16827;9501;212;9174;9199
2017-06-01T13:30:00;1124;561;67;824;6351;46;2136;3562;1692;659;112;1088;16697;9455;195;9137;9085
2017-06-01T13:45:00;1126;560;63;821;6293;46;2156;3548;1602;660;139;1031;16542;9365;190;8997;9048
2017-06-01T14:00:00;1127;561;62;812;6252;46;2171;3520;1627;680;241;1056;16567;9441;91;9054;9101
2017-06-01T14:15:00;1127;561;61;789;6170;46;2176;3510;1689;687;150;1060;16514;9494;86;9122;8904
2017-06-01T14:30:00;1125;560;61;770;6065;46;2177;3497;1721;678;144;1071;16459;9563;85;9144;8771
2017-06-01T14:45:00;1125;561;61;750;5961;46;2175;3500;1739;677;171;1059;16446;9674;84;9150;8675
2017-06-01T15:00:00;1121;560;61;719;5854;46;2175;3514;1758;689;152;1118;16386;9753;84;9254;8513
2017-06-01T15:15:00;1123;564;59;708;5683;46;2175;3520;1795;704;153;1115;16289;9839;81;9309;8336
2017-06-01T15:30:00;1123;567;58;724;5532;46;2172;3530;1838;714;141;1066;16206;9893;82;9320;8191
2017-06-01T15:45:00;1128;570;57;713;5334;46;2171;3532;1880;715;141;1123;16129;10025;67;9421;7989
2017-06-01T16:00:00;1127;563;57;704;5113;46;2172;3639;1946;704;330;1157;16033;10159;94;9618;7940
2017-06-01T16:15:00;1130;565;54;681;4846;46;2182;3705;2002;708;302;1156;15986;10406;61;9753;7624
2017-06-01T16:30:00;1133;567;52;677;4611;46;2187;3733;2074;721;332;1107;15890;10550;88;9822;7418
