datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2021-05-01T00:00:00;1123;455;16;549;0;46;1679;3243;1075;1790;390;409;11507;10942;18;8196;2579
2021-05-01T00:15:00;1124;460;20;552;0;46;1679;3244;1060;1700;318;410;11313;10741;13;8093;2520
2021-05-01T00:30:00;1124;425;21;563;0;46;1678;3234;1055;1639;175;410;11150;10567;14;8016;2354
2021-05-01T00:45:00;1127;435;20;556;0;46;1674;3241;1050;1584;118;411;11055;10480;43;7960;2302
2021-05-01T01:00:00;1115;472;21;558;0;46;1675;3233;1022;1552;322;411;10897;10318;19;7893;2534
2021-05-01T01:15:00;1115;431;21;566;0;46;1674;3225;1011;1507;183;410;10752;10166;24;7827;2362
2021-05-01T01:30:00;1119;435;18;551;0;46;1674;3227;1003;1447;208;410;10647;10078;23;7761;2377
2021-05-01T01:45:00;1121;435;17;536;0;46;1674;3212;990;1400;190;408;10577;10024;28;7684;2345
2021-05-01T02:00:00;1119;436;17;528;0;46;1674;3194;972;1382;250;409;10466;9922;35;7631;2396
2021-05-01T02:15:00;1117;444;15;517;0;46;1674;3134;972;1375;177;409;10407;9875;36;7564;2316
2021-05-01T02:30:00;1120;443;14;516;0;46;1674;3046;975;1376;170;410;10374;9844;21;7481;2309
2021-05-01T02:45:00;1121;458;14;520;0;46;1674;2970;979;1377;119;408;10397;9863;52;7408;2278
2021-05-01T03:00:00;1125;449;14;531;0;46;1674;2872;976;1372;107;409;10374;9830;264;7303;2272
2021-05-01T03:15:00;1122;440;14;545;0;46;1675;2847;975;1325;87;405;10324;9765;296;7227;2254
2021-05-01T03:30:00;1118;453;20;555;0;46;1674;2801;974;1275;81;407;10302;9727;235;7131;2273
2021-05-01T03:45:00;1122;451;30;564;0;46;1674;2688;965;1216;91;406;10283;9690;151;6949;2304
2021-05-01T04:00:00;1125;453;37;583;0;46;1675;2409;921;1152;77;408;10338;9718;176;6565;2321
2021-05-01T04:15:00;1122;440;52;604;0;46;1675;2394;903;1153;49;410;10324;9668;235;6535;2313
2021-05-01T04:30:00;1118;450;70;612;0;46;1675;2377;896;1153;34;408;10322;9640;241;6509;2330
2021-05-01T04:45:00;1108;444;80;621;0;46;1675;2352;889;1159;30;408;10333;9632;265;6483;2329
2021-05-01T05:00:00;1122;456;82;630;0;47;1675;2310;864;1152;55;407;10365;9653;270;6408;2392
2021-05-01T05:15:00;1125;435;82;627;1;47;1675;2293;822;1153;33;407;10258;9549;298;6350;2350
2021-05-01T05:30:00;1130;448;75;640;1;47;1676;2277;808;1158;28;405;10133;9417;338;6324;2369
2021-05-01T05:45:00;1131;425;79;652;17;47;1679;2251;785;1138;21;407;10011;9263;464;6260;2372
2021-05-01T06:00:00;1144;440;90;660;48;47;1679;2257;768;1147;28;405;9941;9144;474;6256;2457
2021-05-01T06:15:00;1145;440;101;679;82;47;1677;2253;767;1143;32;405;9974;9112;506;6245;2526
2021-05-01T06:30:00;1148;438;108;692;171;47;1676;2255;750;1143;32;405;10054;9084;503;6229;2636
2021-05-01T06:45:00;1156;445;104;701;306;47;1677;2254;738;1144;32;405;10150;9039;492;6218;2791
2021-05-01T07:00:00;1168;459;96;686;468;47;1679;2267;748;1133;58;404;10264;9015;342;6231;2982
2021-05-01T07:15:00;1171;444;93;635;643;46;1683;2272;770;1157;76;405;10307;8937;264;6287;3108
2021-05-01T07:30:00;1172;438;100;591;846;46;1682;2280;739;1159;100;404;10497;8960;183;6264;3293
2021-05-01T07:45:00;1176;445;96;538;1062;46;1684;2284;765;1164;105;404;10688;8992;141;6301;3468
2021-05-01T08:00:00;1182;430;88;487;1304;46;1683;2317;817;1176;67;407;10936;9058;180;6400;3604
2021-05-01T08:15:00;1184;435;79;438;1561;46;1684;2310;805;1170;58;408;11218;9141;182;6377;3801
2021-05-01T08:30:00;1186;431;78;404;1822;46;1683;2309;794;1175;49;406;11418;9114;158;6367;4016
2021-05-01T08:45:00;1187;426;72;380;2093;46;1684;2293;794;1151;31;405;11586;9041;138;6327;4235
2021-05-01T09:00:00;1186;447;77;371;2377;46;1683;2296;802;1135;64;408;11859;9035;80;6324;4568
2021-05-01T09:15:00;1179;441;84;382;2667;46;1683;2295;806;1149;36;408;12079;8946;78;6341;4835
