datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2019-03-01T00:00:00;1198;417;68;2349;0;47;2346;3844;1650;1250;107;448;12859;10441;349;9538;4186
2019-03-01T00:15:00;1195;421;60;2355;0;47;2347;3851;1645;1234;88;442;12698;10284;297;9519;4166
2019-03-01T00:30:00;1194;416;61;2334;0;47;2343;3846;1641;1238;37;441;12571;10176;492;9509;4089
2019-03-01T00:45:00;1197;419;65;2278;0;47;2340;3826;1623;1227;23;441;12473;10131;637;9457;4029
2019-03-01T01:00:00;1191;432;70;2221;0;47;2342;3779;1591;1226;56;442;12372;10080;672;9380;4017
2019-03-01T01:15:00;1190;428;87;2212;0;47;2338;3773;1584;1226;42;442;12282;9983;720;9363;4006
2019-03-01T01:30:00;1192;432;101;2168;0;47;2338;3765;1562;1234;40;442;12249;9980;701;9341;3980
2019-03-01T01:45:00;1198;423;111;2104;0;47;2336;3767;1551;1227;10;442;12158;9944;724;9323;3893
2019-03-01T02:00:00;1192;417;133;2095;0;47;2343;3780;1549;1228;55;441;12049;9820;720;9341;3939
2019-03-01T02:15:00;1195;416;152;2067;0;47;2340;3783;1554;1223;38;442;11994;9776;754;9342;3915
2019-03-01T02:30:00;1198;419;166;2018;0;47;2337;3773;1558;1230;39;441;12055;9871;707;9339;3887
2019-03-01T02:45:00;1196;425;182;1990;0;47;2335;3760;1538;1220;22;441;12048;9876;701;9294;3862
2019-03-01T03:00:00;1190;429;198;1980;0;47;2341;3756;1455;1223;11;439;12018;9841;703;9214;3855
2019-03-01T03:15:00;1193;428;215;1951;0;47;2337;3740;1454;1216;3;438;12068;9901;723;9185;3837
2019-03-01T03:30:00;1189;432;224;1928;0;47;2337;3733;1494;1223;39;435;12110;9958;785;9222;3859
2019-03-01T03:45:00;1193;438;257;1917;0;47;2335;3721;1515;1219;45;438;12190;10017;775;9228;3897
2019-03-01T04:00:00;1197;420;284;1899;0;47;2340;3780;1516;1216;2;438;12326;10144;929;9290;3849
2019-03-01T04:15:00;1194;420;301;1873;0;47;2346;3796;1578;1214;2;438;12436;10263;912;9372;3837
2019-03-01T04:30:00;1199;425;329;1830;0;47;2345;3794;1593;1228;32;440;12578;10419;757;9400;3862
2019-03-01T04:45:00;1194;433;355;1819;0;49;2345;3795;1615;1242;30;443;12709;10535;803;9440;3880
