datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2019-05-01T00:00:00;1182;545;320;1633;0;40;1660;2829;887;1054;272;332;11345;9392;77;6762;3992
2019-05-01T00:15:00;1182;518;315;1607;0;40;1658;2811;851;1003;489;332;11260;9339;47;6655;4151
2019-05-01T00:30:00;1182;523;299;1548;0;40;1657;2823;815;973;431;332;11115;9268;45;6600;4023
2019-05-01T00:45:00;1180;554;289;1538;0;41;1656;2794;759;906;432;332;10952;9125;46;6447;4034
2019-05-01T01:00:00;1174;542;291;1494;0;41;1659;2756;749;903;417;334;10764;8980;75;6402;3959
2019-05-01T01:15:00;1175;535;284;1490;0;41;1656;2755;719;896;323;335;10679;8905;83;6361;3848
2019-05-01T01:30:00;1179;541;293;1480;0;41;1657;2761;699;900;298;332;10588;8816;109;6348;3832
2019-05-01T01:45:00;1179;518;302;1458;0;41;1655;2763;684;896;245;335;10475;8716;131;6333;3743
2019-05-01T02:00:00;1178;509;320;1439;0;41;1660;2772;651;900;258;337;10284;8525;132;6320;3745
2019-05-01T02:15:00;1182;505;338;1426;0;42;1657;2758;650;895;164;337;10243;8479;139;6297;3657
2019-05-01T02:30:00;1182;537;355;1443;0;42;1659;2773;653;899;65;337;10190;8392;220;6321;3624
2019-05-01T02:45:00;1182;519;374;1465;0;42;1659;2788;651;864;23;337;10173;8334;325;6298;3605
2019-05-01T03:00:00;1179;541;378;1515;0;42;1661;2777;645;803;67;336;10183;8290;458;6222;3722
2019-05-01T03:15:00;1180;533;365;1530;0;42;1658;2776;643;804;29;335;10147;8252;469;6216;3679
2019-05-01T03:30:00;1179;521;377;1557;0;42;1659;2779;618;802;18;336;10102;8168;494;6194;3694
2019-05-01T03:45:00;1179;509;383;1570;0;42;1659;2752;619;799;12;334;10079;8126;525;6163;3695
2019-05-01T04:00:00;1176;545;397;1606;0;42;1660;2639;622;788;35;339;10082;8079;460;6048;3801
2019-05-01T04:15:00;1179;550;413;1627;0;42;1659;2560;629;778;59;337;10078;8038;455;5962;3870
2019-05-01T04:30:00;1177;534;430;1656;0;42;1659;2546;629;779;63;338;10102;8016;479;5951;3902
2019-05-01T04:45:00;1180;507;432;1701;0;42;1660;2523;628;764;23;339;10108;7975;466;5914;3885
2019-05-01T05:00:00;1183;505;441;1726;0;42;1661;2471;630;786;12;333;10141;7975;125;5881;3909
2019-05-01T05:15:00;1179;497;460;1766;0;42;1656;2463;626;787;7;330;10041;7815;162;5862;3951
2019-05-01T05:30:00;1180;485;479;1826;1;42;1649;2436;618;783;5;334;9908;7603;222;5820;4018
2019-05-01T05:45:00;1182;480;476;1864;8;42;1646;2320;611;784;6;334;9730;7382;336;5696;4058
2019-05-01T06:00:00;1187;485;496;1903;32;42;1641;2164;607;775;13;331;9619;7189;379;5518;4158
2019-05-01T06:15:00;1192;490;511;1896;87;42;1643;2070;609;770;15;334;9586;7092;357;5426;4233
2019-05-01T06:30:00;1194;490;518;1913;184;42;1644;1993;607;773;15;336;9678;7063;266;5353;4356
2019-05-01T06:45:00;1195;489;547;1887;322;42;1643;1959;609;767;15;334;9808;7052;273;5313;4497
2019-05-01T07:00:00;1201;488;594;1872;501;42;1636;1955;605;765;18;334;9971;7005;248;5294;4716
2019-05-01T07:15:00;1204;487;597;1884;709;42;1636;1957;603;771;14;336;10160;6970;263;5302;4937
2019-05-01T07:30:00;1202;489;596;1869;942;42;1637;1959;598;770;24;333;10369;6963;261;5297;5164
2019-05-01T07:45:00;1205;483;591;1907;1219;42;1641;1974;599;771;21;335;10587;6871;311;5320;5468
2019-05-01T08:00:00;1212;490;586;1916;1499;42;1653;2000;615;767;30;335;10816;6814;107;5370;5775
2019-05-01T08:15:00;1213;498;581;1904;1787;42;1654;2010;617;767;21;336;11022;6751;137;5384;6046
2019-05-01T08:30:00;1217;492;585;1872;2078;42;1653;2021;614;771;24;336;11228;6692;149;5395;6310
2019-05-01T08:45:00;1221;486;575;1865;2403;42;1656;1977;616;767;24;336;11443;6600;158;5352;6616
2019-05-01T09:00:00;1217;500;570;1876;2729;42;1643;1929;629;765;24;336;11631;6456;115;5303;6958
2019-05-01T09:15:00;1217;476;576;1886;3058;42;1644;1936;627;768;23;337;11833;6313;193;5313;7278
2019-05-01T09:30:00;1220;472;588;1880;3382;42;1640;1964;627;765;13;337;12005;6156;300;5332;7597
2019-05-01T09:45:00;1221;472;590;1845;3702;42;1625;1952;627;764;13;338;12148;6011;454;5306;7885
2019-05-01T10:00:00;1217;491;604;1863;3999;42;1650;1962;637;740;12;337;12287;5821;232;5326;8228
2019-05-01T10:15:00;1214;488;600;1852;4292;42;1651;1940;637;740;14;338;12401;5658;370;5306;8502
2019-05-01T10:30:00;1217;487;618;1882;4534;42;1644;1874;635;742;11;338;12587;5554;528;5233;8791
2019-05-01T10:45:00;1216;477;592;1913;4751;42;1642;1802;634;738;11;334;12663;5407;535;5151;9002
2019-05-01T11:00:00;1208;484;582;2017;4944;42;1644;1712;630;746;5;336;12676;5134;547;5068;9282
2019-05-01T11:15:00;1207;485;583;2044;5104;42;1645;1718;626;746;4;336;12803;5072;630;5071;9469
2019-05-01T11:30:00;1206;485;603;2061;5251;42;1642;1703;623;747;1;336;12882;4966;710;5051;9649
2019-05-01T11:45:00;1206;487;619;2082;5391;42;1644;1647;616;747;1;334;12893;4801;834;4987;9828
2019-05-01T12:00:00;1196;492;609;2134;5487;41;1644;1587;590;724;1;335;12692;4463;826;4880;9960
2019-05-01T12:15:00;1197;470;630;2189;5589;41;1638;1549;590;720;1;335;12619;4212;957;4832;10117
2019-05-01T12:30:00;1194;472;640;2225;5582;41;1636;1533;588;719;1;335;12522;4074;1038;4811;10155
2019-05-01T12:45:00;1192;468;656;2248;5612;41;1626;1531;586;711;1;333;12425;3909;1099;4787;10218
2019-05-01T13:00:00;1191;484;664;2305;5670;38;1578;1512;580;695;0;329;12275;3636;1126;4695;10352
2019-05-01T13:15:00;1192;474;670;2378;5699;37;1500;1500;579;687;0;325;12083;3337;1170;4591;10450
2019-05-01T13:30:00;1192;462;680;2472;5678;35;1434;1495;573;680;0;322;11989;3159;1281;4504;10519
2019-05-01T13:45:00;1191;470;692;2516;5636;35;1375;1474;571;675;0;322;11896;3052;1338;4417;10540
2019-05-01T14:00:00;1189;470;713;2573;5644;35;1372;1451;572;670;0;319;11738;2808;1202;4384;10624
2019-05-01T14:15:00;1188;458;724;2648;5606;35;1359;1432;569;666;0;319;11635;2658;1259;4344;10659
2019-05-01T14:30:00;1188;452;746;2740;5509;35;1345;1429;572;668;0;319;11609;2614;1308;4332;10670
2019-05-01T14:45:00;1187;452;751;2841;5419;35;1328;1425;572;665;0;319;11530;2519;1342;4309;10685
2019-05-01T15:00:00;1187;450;748;2879;5304;35;1325;1425;573;663;0;319;11577;2646;1460;4305;10603
2019-05-01T15:15:00;1184;450;763;2839;5167;35;1284;1433;571;666;0;320;11513;2743;1594;4274;10438
2019-05-01T15:30:00;1173;450;788;2807;4974;35;1274;1435;565;664;0;318;11584;3016;1571;4256;10227
2019-05-01T15:45:00;1170;449;804;2824;4766;35;1288;1454;540;663;0;320;11506;3111;1508;4265;10048
2019-05-01T16:00:00;1172;481;810;2830;4553;35;1308;1491;526;663;0;322;11506;3313;1429;4311;9881
2019-05-01T16:15:00;1182;457;856;3028;4262;35;1305;1511;528;658;1;321;11412;3266;1408;4322;9821
2019-05-01T16:30:00;1190;465;868;3049;3981;35;1321;1511;528;663;1;321;11371;3473;1307;4345;9589
2019-05-01T16:45:00;1190;472;869;3138;3694;36;1386;1529;531;669;2;322;11379;3678;1146;4438;9401
2019-05-01T17:00:00;1189;465;875;3133;3402;38;1417;1599;530;678;3;327;11473;4064;1170;4550;9105
2019-05-01T17:15:00;1197;479;884;3115;3081;38;1454;1608;534;681;55;327;11608;4527;901;4604;8849
2019-05-01T17:30:00;1202;470;894;3127;2753;38;1512;1670;533;679;115;328;11574;4801;704;4723;8599
2019-05-01T17:45:00;1203;467;898;3105;2425;38;1583;1811;546;686;88;328;11552;5125;549;4954;8224
2019-05-01T18:00:00;1202;457;901;3117;2083;38;1585;2002;566;726;20;327;11731;5630;752;5206;7818
2019-05-01T18:15:00;1205;473;914;3022;1744;38;1604;2130;568;728;11;328;11841;6161;750;5358;7407
2019-05-01T18:30:00;1208;483;903;3000;1406;38;1625;2158;568;734;46;328;11855;6546;518;5413;7084
2019-05-01T18:45:00;1211;480;910;2974;1105;38;1632;2223;570;736;276;328;11878;6890;398;5488;6994
2019-05-01T19:00:00;1214;455;918;2954;825;39;1621;2331;565;784;16;330;12072;7375;236;5630;6421
2019-05-01T19:15:00;1216;460;921;2883;596;39;1626;2405;554;782;59;331;12030;7630;130;5697;6174
2019-05-01T19:30:00;1216;460;896;2780;401;39;1650;2466;580;791;110;332;12030;7954;71;5818;5902
2019-05-01T19:45:00;1220;475;881;2732;239;40;1654;2554;594;812;326;334;12011;8160;63;5948;5913
2019-05-01T20:00:00;1218;444;882;2609;126;41;1650;2648;643;867;248;335;12030;8413;31;6142;5568
2019-05-01T20:15:00;1218;453;908;2643;41;41;1654;2691;649;867;179;335;11997;8405;13;6196;5483
2019-05-01T20:30:00;1218;456;912;2647;8;41;1655;2717;667;877;152;335;11987;8420;4;6251;5434
2019-05-01T20:45:00;1218;454;902;2685;1;41;1656;2749;662;871;185;335;12041;8453;4;6273;5486
