datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2015-11-01T00:00:00;1006;287;107;1819;0;24;2681;3792;1673;401;114;949;11132;9205;155;9496;3357
2015-11-01T00:15:00;1005;287;107;1815;0;24;2682;3770;1561;400;141;883;10953;9031;195;9296;3379
2015-11-01T00:30:00;1004;285;104;1833;0;24;2681;3761;1478;399;33;902;10858;8922;201;9221;3283
2015-11-01T00:45:00;1003;284;95;1822;0;24;2679;3747;1411;401;86;935;10678;8761;286;9173;3314
2015-11-01T01:00:00;998;285;88;1806;0;24;2689;3791;1307;399;41;924;10549;8655;233;9110;3242
2015-11-01T01:15:00;994;280;88;1778;0;24;2684;3767;1236;401;90;892;10460;8595;171;8980;3254
2015-11-01T01:30:00;991;280;87;1755;0;24;2688;3755;1213;399;82;859;10379;8537;229;8914;3219
2015-11-01T01:45:00;991;280;84;1729;0;24;2683;3786;1204;401;85;813;10248;8436;366;8887;3193
2015-11-01T02:00:00;993;279;78;1719;0;24;2689;3738;1242;401;74;794;10199;8403;260;8864;3167
2015-11-01T02:15:00;991;278;71;1710;0;24;2684;3698;1258;397;77;783;10143;8363;286;8820;3151
2015-11-01T02:30:00;989;279;64;1720;0;24;2689;3670;1273;397;86;778;10150;8366;282;8807;3162
2015-11-01T02:45:00;989;278;58;1701;0;24;2686;3636;1278;398;43;788;10109;8350;298;8786;3093
2015-11-01T03:00:00;990;279;48;1680;0;24;2688;3642;1283;401;56;841;10118;8391;492;8855;3077
2015-11-01T03:15:00;990;278;49;1661;0;24;2687;3640;1268;399;247;852;10124;8414;510;8846;3249
2015-11-01T03:30:00;990;278;48;1647;0;24;2683;3638;1243;397;246;853;10149;8454;456;8814;3233
2015-11-01T03:45:00;989;276;45;1604;0;24;2686;3643;1203;396;50;872;10146;8497;415;8800;2988
2015-11-01T04:00:00;988;275;46;1567;0;24;2688;3675;1189;400;38;883;10178;8565;433;8835;2938
2015-11-01T04:15:00;986;273;46;1519;0;24;2689;3685;1196;400;147;877;10180;8614;424;8847;2995
2015-11-01T04:30:00;985;298;42;1475;0;24;2691;3690;1221;401;141;873;10299;8782;352;8876;2965
2015-11-01T04:45:00;989;280;42;1405;0;24;2692;3718;1232;402;47;858;10262;8815;352;8902;2787
2015-11-01T05:00:00;990;275;39;1357;0;24;2694;3765;1231;405;70;814;10281;8885;243;8909;2755
2015-11-01T05:15:00;989;268;38;1298;0;24;2692;3811;1214;405;72;763;10217;8881;235;8885;2689
2015-11-01T05:30:00;991;272;41;1259;0;24;2696;3824;1214;406;80;750;10187;8887;222;8890;2667
2015-11-01T05:45:00;988;276;37;1226;0;24;2693;3836;1243;406;74;725;10174;8912;210;8903;2625
2015-11-01T06:00:00;994;266;31;1199;0;24;2689;3890;1243;409;55;806;10098;8867;267;9037;2569
2015-11-01T06:15:00;996;267;28;1190;0;25;2690;3920;1244;412;5;812;10117;8899;278;9078;2511
2015-11-01T06:30:00;998;267;26;1208;1;26;2692;3935;1257;412;31;859;10191;8956;255;9155;2557
2015-11-01T06:45:00;1000;267;25;1218;1;26;2695;3943;1268;412;15;875;10245;9002;275;9193;2552
2015-11-01T07:00:00;1000;263;22;1219;16;26;2689;3968;1275;416;42;885;10357;9100;434;9233;2588
2015-11-01T07:15:00;1000;263;16;1216;94;26;2641;3947;1231;416;49;881;10477;9151;289;9116;2664
2015-11-01T07:30:00;1004;263;15;1197;244;26;2568;3925;1226;417;11;906;10613;9157;258;9042;2760
2015-11-01T07:45:00;1007;267;15;1186;466;26;2548;3899;1212;417;135;884;10822;9156;252;8960;3102
2015-11-01T08:00:00;1007;276;18;1148;710;26;2562;3830;1224;416;215;818;11111;9236;208;8850;3400
2015-11-01T08:15:00;1007;265;25;1097;977;26;2562;3807;1197;416;17;844;11320;9221;282;8826;3414
2015-11-01T08:30:00;1009;262;23;1035;1244;26;2568;3807;1173;416;16;893;11536;9234;325;8857;3615
2015-11-01T08:45:00;1012;262;21;972;1516;26;2561;3822;1148;416;18;896;11716;9208;344;8843;3827
