datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2020-10-01T00:00:00;1082;494;1331;1713;0;47;1658;3153;875;1659;34;389;11908;8864;706;7734;4701
2020-10-01T00:15:00;1081;487;1344;1775;0;47;1656;3120;833;1596;48;389;11776;8657;771;7594;4782
2020-10-01T00:30:00;1080;474;1364;1838;0;47;1657;3083;818;1578;38;389;11684;8483;1009;7525;4841
2020-10-01T00:45:00;1078;483;1359;1854;0;47;1656;3009;805;1576;22;387;11597;8385;1056;7433;4843
2020-10-01T01:00:00;1076;503;1357;1841;0;46;1659;2977;787;1582;15;385;11541;8343;1039;7390;4838
2020-10-01T01:15:00;1077;490;1349;1871;0;45;1659;2943;773;1574;17;384;11442;8223;1071;7333;4849
2020-10-01T01:30:00;1077;488;1329;1884;0;45;1659;2944;754;1545;3;385;11338;8125;1088;7287;4826
2020-10-01T01:45:00;1077;488;1301;1904;0;46;1659;2881;742;1537;3;387;11271;8066;1090;7206;4819
2020-10-01T02:00:00;1076;492;1270;1890;0;47;1660;2760;708;1439;37;388;11241;8082;1145;6955;4812
2020-10-01T02:15:00;1075;487;1238;1919;0;47;1661;2689;702;1433;30;387;11220;8064;1116;6872;4796
2020-10-01T02:30:00;1075;478;1201;1928;0;47;1662;2693;710;1433;10;390;11143;8014;1089;6888;4739
2020-10-01T02:45:00;1075;474;1202;1972;0;47;1662;2707;743;1424;7;389;11155;7980;1070;6925;4777
2020-10-01T03:00:00;1075;481;1240;1988;0;47;1663;2692;777;1462;8;388;11142;7914;1034;6982;4839
2020-10-01T03:15:00;1075;473;1263;2008;0;47;1662;2697;785;1476;3;386;11172;7901;1045;7006;4869
2020-10-01T03:30:00;1075;473;1235;2023;0;47;1663;2696;782;1483;3;386;11208;7951;1055;7010;4856
2020-10-01T03:45:00;1075;475;1196;2033;0;47;1664;2707;770;1494;3;387;11269;8040;1045;7022;4829
