datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2019-09-01T00:00:00;966;457;413;3634;0;35;1910;2159;566;1099;11;314;11042;6995;228;6048;5516
2019-09-01T00:15:00;964;447;390;3703;0;35;1906;2063;605;1078;44;313;10894;6801;219;5965;5583
2019-09-01T00:30:00;961;451;355;3689;0;35;1904;1981;607;1062;56;315;10794;6751;286;5869;5547
2019-09-01T00:45:00;961;461;319;3598;0;35;1911;1956;602;1061;102;315;10694;6777;249;5845;5476
2019-09-01T01:00:00;957;455;330;3575;0;35;1916;1888;599;1101;282;316;10432;6528;188;5820;5634
2019-09-01T01:15:00;955;436;338;3524;0;35;1918;1859;596;1104;237;316;10289;6427;252;5793;5525
2019-09-01T01:30:00;955;434;343;3451;0;35;1918;1858;591;1110;178;316;10182;6389;225;5793;5396
2019-09-01T01:45:00;956;441;344;3235;0;35;1919;1861;583;1113;208;317;10070;6491;197;5793;5219
2019-09-01T02:00:00;956;446;339;2989;0;35;1917;1855;560;1093;188;317;9903;6575;418;5742;4953
2019-09-01T02:15:00;955;440;356;2792;0;35;1916;1842;567;1090;192;316;9752;6604;430;5731;4770
2019-09-01T02:30:00;955;445;400;2603;0;35;1917;1838;587;1093;179;318;9664;6662;416;5753;4617
2019-09-01T02:45:00;956;453;422;2429;0;35;1918;1847;581;1097;135;318;9739;6888;458;5761;4430
2019-09-01T03:00:00;957;441;448;2281;0;36;1919;1836;581;1106;141;317;9643;6914;574;5759;4304
2019-09-01T03:15:00;953;464;484;2181;0;36;1919;1831;579;1112;155;318;9652;6987;554;5759;4273
2019-09-01T03:30:00;954;438;531;2135;0;36;1919;1833;550;1114;132;318;9596;6930;634;5734;4226
2019-09-01T03:45:00;953;437;593;2126;0;36;1921;1837;550;1103;112;317;9532;6813;694;5728;4257
2019-09-01T04:00:00;955;428;623;2106;0;36;1929;1889;550;1089;46;317;9556;6827;758;5774;4194
