datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage
2015-01-01T00:00:00;1006;288;130;2028;0;33;2686;3965;806;317;391;1235;11210;9052;123
2015-01-01T00:15:00;1007;288;129;2023;0;33;2646;3951;833;316;373;1214;11119;8967;154
2015-01-01T00:30:00;1007;293;129;2040;0;33;2661;3912;806;314;427;1219;11145;8976;161
2015-01-01T00:45:00;1005;290;129;2037;0;33;2718;3860;775;279;335;1242;11127;8962;164
2015-01-01T01:00:00;999;295;129;2046;0;33;2772;3888;634;262;248;1247;11010;8835;88
2015-01-01T01:15:00;995;301;129;2075;0;33;2775;3881;577;209;290;1220;10923;8719;86
2015-01-01T01:30:00;995;300;129;2074;0;29;2774;3810;570;202;296;1208;10817;8614;86
2015-01-01T01:45:00;994;292;129;2102;0;28;2765;3744;571;198;246;1258;10705;8474;87
2015-01-01T02:00:00;1001;293;129;2135;0;27;2774;3766;555;208;244;1264;10650;8387;86
2015-01-01T02:15:00;1006;284;129;2134;0;23;2763;3729;553;203;207;1257;10547;8284;94
2015-01-01T02:30:00;1006;280;128;2129;0;22;2750;3688;552;200;174;1252;10438;8181;121
2015-01-01T02:45:00;1007;282;128;2143;0;22;2739;3635;568;198;162;1269;10329;8058;221
2015-01-01T03:00:00;1008;284;129;2150;0;22;2759;3565;583;209;90;1315;10258;7980;285
2015-01-01T03:15:00;1011;280;130;2125;0;22;2755;3517;587;206;70;1287;10178;7923;293
2015-01-01T03:30:00;1012;279;130;2122;0;22;2761;3496;586;206;74;1264;10119;7868;327
2015-01-01T03:45:00;1011;279;130;2156;0;22;2753;3497;584;200;54;1218;10063;7777;324
2015-01-01T04:00:00;1009;279;130;2184;0;22;2767;3532;579;209;88;1244;10035;7722;430
2015-01-01T04:15:00;1010;278;130;2181;0;22;2751;3540;633;208;88;1249;9963;7653;435
2015-01-01T04:30:00;1011;278;130;2150;0;22;2736;3528;630;207;83;1280;9980;7700;447
2015-01-01T04:45:00;1009;277;130;2129;0;22;2709;3516;620;207;88;1298;9958;7700;509
2015-01-01T05:00:00;1007;278;129;2201;0;22;2704;3460;552;212;241;1276;9940;7610;562
