New date;Biomass avg;Hydrop avg;windOFFshore avg;windONshore avg;photovoltaics avg;other renewable avg;nuclear avg;brown coal avg;hard coal avg;fossil gas avg;hydro pumped storage avg;other conventional avg;total grid load avg;residual load avg;reverse hydro pumbed avg;sum conventional avg;sum renewable avg
2017-01-01T00:00:00;1187.88;282.75;823.96;2946.88;0;47.38;1620.71;3473.83;1169.75;551.88;52.63;1091.42;11009.29;7238.58;467.54;7907.58;5341.46
2017-01-01T06:00:00;1198.54;275.83;659.83;3045.46;577.83;47.58;1627.42;3382.21;1092.63;555.46;35.04;1208.71;10788.54;6505.75;491.79;7866.42;5840.13
2017-01-01T12:00:00;1207.17;275.25;239.79;2253.29;892.75;47.33;1626.38;3293.54;1575;572.33;445.83;1350.54;12449.5;9063.71;79.46;8417.79;5361.42
2017-01-01T18:00:00;1209.08;288.29;434;2354.71;0;48;1622.83;3126.67;2176.79;607.79;518.71;1452.54;13050.25;10261.88;105.25;8986.63;4852.79
2017-02-01T00:00:00;1204.04;290.71;630.75;2410.88;0;48;1610.5;3435;1603.79;602.92;56.5;1121.79;11109.17;8067.96;743.13;8374;4640.88
2017-02-01T06:00:00;1206.88;290.42;529.92;2167.38;204.58;48;1609.33;3496.33;3470.29;955.71;582.38;1882.38;15806.79;12905.25;111.58;11414.04;5029.54
2017-02-01T12:00:00;1199.79;281.63;672.13;1977.71;315.63;48;1609.33;3447.13;3836.38;1309.83;609.29;1888.46;16976.42;14011.08;24.42;12091.13;5104.17
2017-02-01T18:00:00;1201.04;281.54;702.88;2843.92;0;48;1608;3530.96;3366.46;992.42;294.5;1848.88;15921.33;12374.92;110.79;11346.71;5371.88
2017-03-01T00:00:00;1183;293.21;675.75;3745.42;0;48;1570.88;3051.67;1898.46;655.21;32.25;1443.17;12716.33;8295.38;593.42;8619.38;5977.63
2017-03-01T06:00:00;1194.88;293.96;801.46;5039.5;149.71;48;1514.21;3128.46;2657.54;819.46;350.25;1815.25;16806.29;10815.96;42.21;9934.92;7877.75
2017-03-01T12:00:00;1193.38;288.75;814;6838.79;240.13;44.08;1478.63;3062.79;2133.38;906.54;300.13;1720.58;17908.33;10015.75;25.17;9301.92;9719.25
