New date,Biomass avg,Hydrop avg,windOFFshore avg,windONshore avg,photovoltaics avg,other renewable avg,nuclear avg,brown coal avg,hard coal avg,fossil gas avg,hydro pumped storage avg,other conventional avg,total grid load avg,residual load avg,reverse hydro pumbed avg,sum conventional avg,sum renewable avg
2020-01-01T00:00:00,1223.63,339.33,412.5,1427.75,0,56.33,2019.96,2361.63,474.75,1119.54,45.63,402.08,10343.54,8503.58,503.25,6377.96,3505.17
2020-01-01T06:00:00,1242.5,336.13,584.29,1278.83,831.92,56,2009.75,2449.08,509.29,1166.79,61.17,403.29,10525.29,7830.42,613.83,6538.21,4390.83
2020-01-01T12:00:00,1237.54,344.79,834.25,1220.46,1288.67,56,1997.63,2690.29,525.75,1227.33,314.46,404.17,12103,8760.04,325.21,6845.17,5296.17
2020-01-01T18:00:00,1247.38,338.79,1049.83,2265.25,0,56.17,2019.79,2775.67,466.42,1303.25,656.54,404.96,12466.29,9151.67,109.54,6970.08,5613.96
2020-02-01T00:00:00,1215.33,337.5,1230.71,1754.46,0,56.63,2023.21,2564,407.75,1136.04,25.25,403.88,10789.29,7804.46,815.33,6534.88,4619.88
2020-02-01T06:00:00,1251.33,341.63,1447.46,2115.75,744.96,56,2005.04,2745.25,617.25,1497.38,681.42,402.71,14371.63,10063.71,111.29,7267.63,6638.54
2020-02-01T12:00:00,1251.38,343.75,1621.96,2263.83,911.46,55.42,2002.5,2661.92,752,1573.58,424.17,398.5,15458.13,10661.25,46.33,7388.5,6871.96
2020-02-01T18:00:00,1251.63,352.58,1702.38,4212.58,0,56,1974.13,2583.58,692.38,1326.21,274.88,398.79,14764.25,8849.54,203.17,6975.08,7850.04
2020-03-01T00:00:00,1214.83,347.96,1671.83,5520.13,0,56,1955.67,1691.63,578.04,938.21,9.75,392.5,12020,4828.33,1205.5,5556.04,8820.5
2020-03-01T06:00:00,1248,345.04,1501.17,6870.08,377.58,55.58,1929.63,2009.63,758.42,1275.92,185.75,392.92,15171.17,6422.71,263.54,6366.5,10583.21
2020-03-01T12:00:00,1260.63,359.83,1282.96,6985.63,383.5,54.54,1913.33,2325.63,797.79,1250.08,379.08,392.25,15928.29,7276.83,94.88,6679.08,10706.17
2020-03-01T18:00:00,1264.42,353.46,1469.33,7108.17,0,48.42,1870.04,1630.08,835.04,1097.38,625.83,378.79,14533.13,5955.88,63.67,5811.33,10869.63
2020-04-01T00:00:00,1216.88,357.58,1251.58,6456.13,0,45.29,1930.5,1451.92,606.04,882.79,90.54,364.17,11669.96,3962.38,790.33,5235.42,9418
2020-04-01T06:00:00,1241.67,350.5,1245.04,8061.33,256.33,54.88,1856.29,1479.75,762.58,1065.08,62.54,383.54,13606.17,4043.75,603.21,5547.25,11272.29
2020-04-01T12:00:00,1234.63,349.83,1402.83,8330.67,291.79,55,1827.58,1831.96,830.54,1143.63,129.5,383.08,15105,5080.29,433.75,6016.79,11794.25
2020-04-01T18:00:00,1254,362.33,833.54,5858.83,0,55,1921.58,2450.83,781.88,1280.58,426.71,385,13966.88,7274.92,96.29,6819.88,8790.42
2020-05-01T00:00:00,1221.21,344.08,393.67,2945.83,0,55,1993.75,2534.63,499.63,1111.5,54.75,386.71,10926.88,7587.5,472.83,6526.21,5014.54
2020-05-01T06:00:00,1254.38,334.5,827.46,1677.83,482.25,55,2017.92,2665.17,584.42,1349.33,106.29,388.17,11732.88,8745.88,174.5,7005,4737.71
2020-05-01T12:00:00,1220.08,326.96,1214.83,1781.17,556.08,55,2006.96,2733.17,685.63,1555.54,290.17,388.17,13363.33,9811.58,41.38,7369.46,5444.29
2020-05-01T18:00:00,1251.13,334.71,1405.88,2985.17,0,55.29,1957.63,2679.88,745.71,1692.33,504.83,385.08,13424.96,9034.08,76,7460.63,6537
2020-06-01T00:00:00,1219.46,328.25,1485.29,2837.96,0,54.04,1939.79,2401.08,799.38,1576.08,23.29,386.54,11482.5,7159.63,1022.83,7102.88,5948.29
2020-06-01T06:00:00,1253.38,327.33,1353.29,2211.42,607.96,55,1949.42,2626.17,1572.38,2157.54,418.21,389.33,15104.79,10932.71,78.92,8694.83,6226.58
2020-06-01T12:00:00,1241.96,325.42,1567.33,1905.75,981.75,55,2014.25,2630.17,1712.96,2346.13,348.25,386.04,15929.83,11475.33,31.04,9089.54,6425.46
2020-06-01T18:00:00,1243.96,335.79,1466.96,3617.42,0,55.63,2018,2618.17,1711.33,2108.83,342.46,368.21,15252.96,10168.96,148.88,8824.54,7062.21
2020-07-01T00:00:00,1210,335.83,1323.58,4082,0,55.79,2013.29,2562.5,1139.58,1698.33,14.21,381.79,12751.21,7345.79,950.88,7795.5,7021.42
2020-07-01T06:00:00,1243.21,353.75,755.92,3277.63,228.42,54.17,2016.38,3064.58,2370.67,2593.92,852.42,374.71,17159.54,12898.08,45.21,10420.25,6765.5
2020-07-01T12:00:00,1242.29,347.83,1466.67,2848.88,409.21,54.92,1957.21,3072.92,2534.21,2595.71,376.42,379.58,17652.96,12928.75,75.21,10539.63,6746.21
2020-07-01T18:00:00,1239.13,361.58,1273,5389.58,0,54.83,1893.29,2924.79,1772.96,2027.17,200.04,378.54,16322.96,9660.54,224.46,8996.75,8518.17
2020-08-01T00:00:00,1189.21,379.67,1287.13,6456.96,0,50.13,1922.17,1871.54,1129.92,1074.25,15.25,366.83,13420.04,5676.33,1087.04,6364.71,9378.33
2020-08-01T06:00:00,1229.54,360.29,1520.33,6215.83,173.04,54.71,1927.5,2954.25,2169.13,2300.88,266.42,376.5,17906.96,9998.17,89.08,9728.25,9820.17
2020-08-01T12:00:00,1248.17,362.63,1002.67,4491.71,233.33,54.83,1971.42,3146.17,2731.63,2661.29,514.38,378.67,18125.38,12397.96,10.46,10889.17,7907.71
2020-08-01T18:00:00,1246.79,360.04,429.38,2563.08,0,53.71,2010.25,3119,2617.88,2612.5,500.25,404.96,15941.5,12949.25,88.92,10764.58,5153.25
2020-09-01T00:00:00,1211.88,372.5,165.96,1898.17,0,50.46,2013.88,3036.83,1438.67,1868.5,25.58,389.83,12400.17,10336.25,618.83,8747.71,3724.54
2020-09-01T06:00:00,1249.13,346.58,1036.54,4691.83,378.71,54.5,1992.71,3002.13,1930.71,2024.92,445.88,402.29,17433.63,11326.92,89.08,9352.75,8203.17
2020-09-01T12:00:00,1243.75,345.04,1546.38,6294.96,633.96,52.79,1949.83,2710.21,1579.42,1959,169.88,394.29,18102.83,9627.92,93.88,8592.75,10286.75
2020-09-01T18:00:00,1245.58,357.63,1218.92,5239.38,0,53.29,1980.58,2757.75,1535.17,1766.83,222.71,395.38,16307.08,9848.96,186.08,8435.71,8337.5
2020-10-01T00:00:00,1213.67,381.54,424.25,5333.21,0,49.75,1999.58,2530.21,979.21,1296.58,28.29,388.58,12848.63,7091.58,976.17,7194.17,7430.71
2020-10-01T06:00:00,1254.5,351.08,1058.29,5670.25,596,50.17,1957.5,2963.96,1743.17,1938.08,380.83,390.04,17367.42,10043.25,75.33,8992.75,9361.13
2020-10-01T12:00:00,1248,347.46,1430.67,5905.33,680.92,48.63,1845.67,2888.92,1895.54,2065.29,239.21,378.08,17550.88,9534.25,158.83,9073.5,9900.21
2020-10-01T18:00:00,1263.75,373.71,589.96,5060.21,0,52.83,1947.54,3007.79,1557.17,1899.08,521.25,393.21,15681.63,10031.58,93.96,8804.79,7861.71
2020-11-01T00:00:00,1227.17,379.04,946.5,3255.13,0,52.21,2005.5,2758.67,795.96,1679.92,59.67,404.25,12062.83,7861.33,716.88,7644.29,5919.71
2020-11-01T06:00:00,1257.63,352.33,1363.13,2968.88,615.13,54.96,1984.17,2786.96,970.08,1819.33,330.54,411.04,13820.63,8873.67,133.71,7971.58,6942.58
2020-11-01T12:00:00,1254.25,337.33,1470.71,4223.46,926.13,55.5,1905.17,2682.25,1049.46,1840.33,206.04,410.04,14970.08,8350.08,94.83,7887.25,8473.42
2020-11-01T18:00:00,1256.29,332.46,1285.29,6008.96,0,56,1885.17,2359.46,1082.04,1496.71,374.79,399.79,14494.13,7200.29,55.88,7223.17,9313.79
2020-12-01T00:00:00,1193.67,333.5,1235.04,6041.58,0,56,1889.58,1439.58,735.21,970.63,25.67,390.42,11798.38,4522.17,801.17,5425.42,8885.46
2020-12-01T06:00:00,1216.38,315.08,1352.75,6635.13,650.75,55.88,1882.54,1488.71,772.04,1061.58,51.75,394,13090.46,4452.33,531,5598.88,10277.71
