CW,Biomass,hydro,windoffshore,windonshore,solar,otherrenewable,nuclear,browncoal,hardcoal,fossilgas,hydroppumpedstorage,otherconventional,totalgridload,residualload,reversehydropumped,sumconventional,sumrenewable,newexpMWh
1,1001.91,297.65,121.47,4678.80,111.42,28.98,2483.35,3016.35,713.15,290.11,262.40,1466.02,12496.88,7585.48,270.30,7968.97,6502.62,2441.22,2015
2,1003.26,399.33,96.12,3857.14,197.07,33.10,2775.44,3721.42,1686.83,380.24,281.47,1883.90,14945.02,10794.98,221.40,10447.82,5867.49,2125.76,2015
3,1012.62,420.65,109.25,4565.56,239.04,31.99,2746.91,3685.50,1763.59,340.21,280.76,1069.79,15436.87,10523.30,221.17,9606.01,6659.86,1982.31,2015
4,1013.84,413.77,39.96,679.89,173.88,34.82,2838.41,4655.42,2935.65,743.47,317.22,2310.58,15730.58,14837.17,207.64,13483.52,2673.38,1254.32,2015
5,1015.02,366.54,93.03,2406.59,175.32,33.87,2780.51,4205.30,2814.30,504.11,292.10,2179.75,15708.90,13034.28,196.46,12483.97,4382.45,2175.46,2015
6,1018.02,343.35,68.20,1449.04,337.32,35.18,2830.24,4353.62,3028.73,744.41,278.62,2253.83,15931.81,14077.59,183.28,13210.84,3529.72,1742.43,2015
7,1011.58,317.52,95.28,1711.57,434.46,33.86,2790.63,4142.92,2990.91,647.35,284.27,2223.93,15736.20,13495.17,204.76,12795.74,3888.54,1839.79,2015
8,996.25,309.71,125.94,2038.76,587.10,30.63,2781.32,4031.80,2983.19,546.98,272.90,2093.76,15497.13,12745.64,209.97,12437.05,4361.29,2225.57,2015
9,994.40,318.81,131.83,2041.77,681.53,25.73,2757.23,4212.86,2734.16,465.57,289.77,2083.50,15477.45,12622.65,196.01,12253.32,4483.84,2182.05,2015
10,998.28,355.04,179.33,3315.65,777.87,26.25,2696.88,4277.86,2135.73,433.67,312.49,1812.37,15323.47,11050.90,225.26,11356.51,5964.91,2238.08,2015
11,986.52,330.19,129.82,1251.73,1036.77,20.07,2485.64,4275.23,2900.05,438.67,274.37,2067.95,14955.60,12537.58,188.50,12167.54,4029.47,2051.26,2015
12,986.83,329.05,127.60,1533.41,1185.27,25.39,2452.68,4185.45,2574.76,476.92,311.68,1921.66,14765.88,11919.93,223.53,11611.47,4499.23,2034.26,2015
13,993.78,347.96,101.54,1260.17,959.99,25.67,2264.85,4157.12,2862.29,520.62,318.08,1786.22,14738.19,12416.82,215.82,11591.09,4007.19,1596.05,2015
14,995.79,426.63,198.61,4148.06,917.94,31.07,2364.06,3295.17,1116.45,383.47,297.09,1332.07,14251.64,8987.37,223.37,8491.21,7015.20,2088.42,2015
15,998.16,403.11,60.59,1103.35,1514.38,36.92,2309.52,3799.01,2126.35,334.21,253.54,1710.49,13604.22,10926.22,193.74,10279.58,4370.05,1632.56,2015
16,985.62,438.98,198.21,2095.76,1618.53,28.97,2369.84,3466.40,1987.88,289.84,313.55,1470.77,14116.91,10204.75,241.64,9584.72,5679.62,1560.34,2015
17,986.05,420.00,123.32,1000.21,1847.40,31.63,2424.90,3465.26,2275.27,237.25,280.95,1660.09,13799.72,10829.11,199.83,10062.78,4689.57,1383.03,2015
18,992.67,460.00,101.56,1008.51,1366.42,33.12,2400.85,3258.41,2097.39,252.32,281.99,1442.72,13328.70,10852.53,179.52,9451.69,4244.27,912.23,2015
19,981.80,502.76,268.27,2252.11,1387.39,28.83,2363.42,3196.49,1449.38,264.75,307.87,1242.84,13889.90,9982.44,183.20,8516.88,5729.04,784.27,2015
